日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2021-01-11,5888793,6612008,723215,0,0,0
2021-01-12,7839593,7928819,5978019,0,0,0
2021-01-13,11794695,14773072,10817970,0,0,0
2021-01-14,37074010,39541230,14261915,0,0,0
2021-01-15,34637189,22513292,24950113,0,0,0
2021-01-18,40039497,24490646,19088338,1000000,1000000,0
2021-01-19,40155174,22466212,22350535,5608915,5608915,1000000
2021-01-20,47001170,24421444,17575448,7808911,2199996,0
2021-01-21,55066665,27886524,19821029,15199693,9790782,2400000
2021-01-22,43088105,15170486,27193374,11195833,2800093,6803953
2021-01-25,55505660,28359505,15941950,10595873,1199982,1799942
2021-01-26,55570968,19936794,19871486,12786839,5391001,3200035
2021-01-27,58288690,18802031,16084309,11586891,200000,1399948
2021-01-28,69621090,31714073,20381673,29193794,17606903,0
2021-01-29,72401864,15092987,12312213,19136899,1806046,11862941
2021-02-01,77048070,13221746,8575540,20136851,1399952,400000
2021-02-02,75970000,11200174,12957758,21136751,1199906,200006
2021-02-03,73360133,10176940,12786807,20336851,100,800000
2021-02-04,74579871,16202361,14982623,20536851,1000000,800000
2021-02-05,74165618,9463785,9878038,21529951,1000000,6900
2021-02-08,83007552,23337430,14495496,19729997,0,1799954
2021-02-09,92912387,28404749,18618805,19929997,1000000,800000
2021-02-10,83829393,13809210,22892204,19330032,800020,1399985
2021-02-18,87550523,18337941,14616811,15730032,0,3600000
2021-02-19,89815743,13385499,11120279,14936857,400000,1193175
2021-02-22,91815970,17313013,15312786,14736857,0,200000
2021-02-23,90105805,9961287,11671452,15736857,1200000,200000
2021-02-24,108651148,30991397,12446054,17380133,1643276,0
2021-02-25,112245107,15584766,11761017,22799956,5463023,43200
2021-02-26,108239745,18055912,22061274,22799956,0,0
2021-03-01,107767832,14940309,15412222,22199956,0,600000
2021-03-02,106650028,14888735,16006539,21399956,600000,1400000
2021-03-03,108134376,12315912,10831564,21399956,0,0
2021-03-04,117661774,20780130,11252732,22000743,1200787,600000
2021-03-05,120812039,16106856,12956591,22200743,200000,0
2021-03-08,135417522,28491628,13886145,23407634,1206891,0
2021-03-09,137420339,17942157,15939340,24407634,1400000,400000
2021-03-10,135681662,10834975,12573652,23807634,0,600000
2021-03-11,131762652,9807112,13726122,22600834,0,1206800
2021-03-12,129170120,7051567,9644099,22000834,0,600000
2021-03-15,139827542,18176066,7499270,19282468,481634,3200000
2021-03-16,142894380,10460423,7393585,20202502,2200034,1280000
2021-03-17,138047390,6660425,11507415,18802541,800000,2199961
2021-03-18,135196731,6427499,9278158,21402522,3400000,800019
2021-03-19,136101979,8960063,8054815,19002500,599976,2999998
2021-03-22,142245146,14813806,8670639,19402500,1200000,800000
2021-03-23,135321728,8212874,15136292,19602549,1600000,1399951
2021-03-24,137102204,9049293,7268817,19802549,1400000,1200000
2021-03-25,138770240,8692109,7024073,18802549,800000,1800000
2021-03-26,131699816,6121117,13191541,20802569,2000020,0
2021-03-29,131998780,7436417,7137453,18974545,1600000,3428024
2021-03-30,130826565,8036951,9209166,17974518,800000,1800027
2021-03-31,132671907,7922924,6077582,20802518,3628000,800000
2021-04-01,126763235,7570939,13479611,18802518,800000,2800000
2021-04-02,115389065,6994816,18368986,19602518,1600000,800000
2021-04-06,110574271,6099052,10913846,20002518,1800000,1400000
2021-04-07,111759826,9634481,8448926,18802511,800000,2000007
2021-04-08,112302088,7020285,6478023,19202525,1200031,800017
2021-04-09,115746825,10459687,7014950,19002525,1000000,1200000
2021-04-12,118267522,10692954,8172257,18802486,599961,800000
2021-04-13,121537486,9899615,6629651,19602516,1600000,799970
2021-04-14,118406858,7185090,10315718,19999964,1022196,624748
2021-04-15,116787697,6785396,8404557,21744980,3744998,1999982
2021-04-16,115293566,7629471,9123602,22645180,2300200,1400000
2021-04-19,108406001,5662340,12549905,23245180,1200000,600000
2021-04-20,108302807,6893524,6996718,23045165,1199985,1400000
2021-04-21,108408559,7023560,6917808,23466526,1621361,1200000
2021-04-22,108311808,6934693,7031444,22579148,600000,1487378
2021-04-23,104521525,7147645,10937928,23834048,1986900,732000
2021-04-26,99345826,8181361,13357060,24758248,2909100,1984900
2021-04-27,100393791,6706490,5658525,23749228,633278,1642298
2021-04-28,99705626,9563809,10251974,23749228,1000000,1000000
2021-04-29,99868756,8689083,8525953,24149228,1300000,900000
2021-04-30,98909051,8788609,9748314,23348193,0,801035
2021-05-06,99669117,7762568,7002502,23348093,0,100
2021-05-07,100913030,11147346,9903433,21844993,100,1503200
2021-05-10,103574848,8737876,6076058,24349877,2504973,89
2021-05-11,105131982,7736781,6179647,24896907,547030,0
2021-05-12,106755801,9278135,7654316,24896907,0,0
2021-05-13,102078378,5532474,10209897,24896907,0,0
2021-05-14,99397467,8482358,11163269,24896907,0,0
2021-05-17,102082866,12618695,9933296,24896907,0,0
