成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
09:25:03,3.12,0.020000000000000018,3499,1091987.52,买盘
09:30:03,3.13,0.009999999999999787,205,64155.0,买盘
09:30:06,3.13,0.0,1696,531141.0,卖盘
09:30:09,3.13,0.0,2613,817910.0,卖盘
09:30:12,3.13,0.0,1333,416554.0,卖盘
09:30:15,3.12,-0.009999999999999787,1352,422224.48,卖盘
09:30:18,3.12,0.0,493,153643.0,买盘
09:30:21,3.11,-0.010000000000000231,298,92687.0,卖盘
09:30:24,3.11,0.0,809,250705.0,买盘
09:30:27,3.1,-0.009999999999999787,18,5580.0,卖盘
09:30:32,3.09,-0.010000000000000231,71,21940.0,卖盘
09:30:35,3.09,0.0,2,618.0,卖盘
09:30:38,3.09,0.0,58,17922.0,卖盘
09:30:45,3.09,0.0,398,122982.0,卖盘
09:30:48,3.09,0.0,128,39669.0,卖盘
09:30:53,3.09,0.0,59,18231.0,卖盘
09:30:56,3.1,0.010000000000000231,182,56265.0,买盘
09:30:59,3.1,0.0,67,20705.0,买盘
09:31:03,3.09,-0.010000000000000231,109,33687.0,中性盘
09:31:06,3.09,0.0,569,175491.0,卖盘
09:31:09,3.1,0.010000000000000231,95,29449.0,买盘
09:31:12,3.1,0.0,52,16120.0,买盘
09:31:14,3.09,-0.010000000000000231,224,69362.0,卖盘
09:31:20,3.11,0.0,40,12434.0,买盘
09:31:27,3.11,0.009999999999999787,248,77202.0,买盘
09:31:30,3.11,0.0,33,10268.0,卖盘
09:31:33,3.1,-0.009999999999999787,32,9950.0,卖盘
09:31:36,3.12,0.020000000000000018,1098,342524.0,买盘
09:31:39,3.12,0.0,128,39936.0,买盘
09:31:42,3.12,0.0,228,71013.0,买盘
09:31:48,3.12,0.0,556,172671.0,买盘
09:31:51,3.11,0.0,161,50071.0,卖盘
09:31:55,3.11,0.0,16,4976.0,买盘
09:31:57,3.11,0.0,94,29234.0,买盘
09:32:03,3.11,0.0,12,3732.0,买盘
09:32:06,3.1,-0.009999999999999787,579,179544.0,卖盘
09:32:08,3.1,0.0,307,95175.0,卖盘
09:32:11,3.1,0.0,1289,399590.0,买盘
09:32:14,3.11,0.009999999999999787,147,45680.0,买盘
09:32:17,3.1,-0.009999999999999787,2,620.0,卖盘
09:32:23,3.1,0.0,116,36073.0,卖盘
09:32:29,3.11,0.0,113,35142.0,买盘
09:32:33,3.11,0.0,184,57354.62000000011,卖盘
09:32:36,3.11,0.0,2294,714870.3799999999,买盘
09:32:39,3.13,0.020000000000000018,364,113239.0,买盘
09:32:45,3.13,0.0,482,150004.0,买盘
09:32:48,3.11,-0.020000000000000018,1,311.0,卖盘
09:32:51,3.12,0.010000000000000231,32,10002.0,买盘
09:32:54,3.12,0.0,5,1556.0,中性盘
09:32:57,3.12,0.0,265,82850.0,卖盘
09:33:00,3.13,0.009999999999999787,20,6260.0,买盘
09:33:03,3.12,-0.009999999999999787,55,17162.0,卖盘
09:33:07,3.13,0.009999999999999787,302,94342.0,买盘
09:33:12,3.13,0.0,393,123009.0,买盘
09:33:15,3.14,0.010000000000000231,903,282730.0,买盘
09:33:21,3.13,-0.010000000000000231,1,313.0,卖盘
09:33:24,3.13,0.0,21,6573.0,卖盘
09:33:27,3.13,0.0,79,24739.0,卖盘
09:33:30,3.13,0.0,169,52976.0,卖盘
09:33:33,3.13,0.0,181,56694.0,卖盘
09:33:35,3.13,0.0,220,68860.0,卖盘
09:33:39,3.13,0.0,677,211901.00000000093,买盘
09:33:42,3.14,0.010000000000000231,236,73974.0,买盘
09:33:48,3.13,-0.010000000000000231,11,3443.0,卖盘
09:33:51,3.14,0.010000000000000231,50,15700.0,买盘
09:33:53,3.14,0.0,160,50240.0,买盘
09:33:57,3.13,-0.010000000000000231,201,62914.0,卖盘
09:33:59,3.13,0.0,100,31300.0,卖盘
09:34:03,3.13,0.0,33,10329.0,卖盘
09:34:06,3.14,0.010000000000000231,30,9420.0,买盘
09:34:09,3.13,-0.010000000000000231,12,3756.0,卖盘
09:34:15,3.14,0.010000000000000231,25,7850.0,买盘
09:34:18,3.14,0.0,142,44588.0,买盘
09:34:21,3.14,0.0,42,13162.0,买盘
09:34:27,3.13,-0.010000000000000231,67,20999.0,卖盘
09:34:32,3.14,0.010000000000000231,106,33284.0,买盘
09:34:36,3.13,-0.010000000000000231,55,17265.0,卖盘
09:34:39,3.14,0.010000000000000231,519,162946.0,买盘
09:34:42,3.14,0.0,514,161393.0,买盘
09:34:47,3.14,0.0,129,40506.0,买盘
09:34:51,3.14,0.0,127,39878.0,买盘
09:34:54,3.14,0.0,178,55823.0,买盘
09:34:59,3.13,-0.010000000000000231,120,37580.0,卖盘
09:35:06,3.14,0.010000000000000231,802,251827.0,买盘
09:35:12,3.13,-0.010000000000000231,120,37560.0,卖盘
09:35:17,3.13,0.0,119,37361.0,卖盘
09:35:21,3.13,0.0,1552,487321.0,卖盘
09:35:24,3.14,0.010000000000000231,254,79756.0,买盘
09:35:29,3.14,0.0,299,93886.0,卖盘
09:35:33,3.15,0.009999999999999787,5834,1840344.0,买盘
09:35:37,3.15,0.0,180,56702.0,卖盘
09:35:42,3.15,0.0,50,15750.0,卖盘
09:35:47,3.16,0.010000000000000231,148,46742.0,买盘
09:35:51,3.15,-0.010000000000000231,1105,348098.0,卖盘
09:35:57,3.15,0.0,248,78108.0,买盘
09:36:00,3.15,0.0,27,8505.0,买盘
09:36:03,3.16,0.010000000000000231,72,22705.0,买盘
09:36:06,3.15,-0.010000000000000231,226,71190.0,卖盘
09:36:09,3.15,0.0,281,88517.0,卖盘
09:36:13,3.17,0.020000000000000018,736,232857.0,买盘
09:36:18,3.16,-0.009999999999999787,411,129655.0,中性盘
09:36:24,3.16,0.0,31,9776.0,买盘
09:36:27,3.15,-0.010000000000000231,308,97076.0,卖盘
09:36:30,3.15,0.0,1397,440266.0,卖盘
09:36:36,3.15,0.0,120,37800.0,买盘
09:36:39,3.15,0.0,651,205065.0,买盘
09:36:42,3.14,-0.009999999999999787,54,17001.0,卖盘
09:36:48,3.15,0.009999999999999787,308,97020.0,买盘
09:36:54,3.15,0.0,1225,385471.0,卖盘
09:36:57,3.15,0.0,517,162855.0,买盘
09:37:00,3.15,0.0,83,26145.0,买盘
09:37:08,3.14,-0.009999999999999787,90,28260.0,卖盘
09:37:11,3.14,0.0,24,7536.0,卖盘
09:37:14,3.14,0.0,130,40820.0,卖盘
09:37:18,3.14,0.0,139,43646.0,卖盘
09:37:21,3.14,0.0,577,181179.0,卖盘
09:37:24,3.14,0.0,34,10676.0,买盘
09:37:30,3.14,0.0,13,4077.0,买盘
09:37:33,3.14,0.0,47,14716.0,买盘
09:37:36,3.14,0.0,50,15700.0,买盘
09:37:39,3.14,0.0,650,204097.0,买盘
09:37:42,3.14,0.0,52,16328.0,买盘
09:37:45,3.14,0.0,10,3140.0,买盘
09:37:48,3.14,0.0,85,26689.0,买盘
09:37:52,3.13,-0.010000000000000231,30,9390.0,卖盘
09:37:56,3.13,0.0,82,25726.0,卖盘
09:38:05,3.13,0.0,11,3453.0,卖盘
09:38:11,3.14,0.010000000000000231,333,104562.0,买盘
09:38:15,3.13,-0.010000000000000231,1756,549665.0,卖盘
09:38:18,3.13,0.0,36,11268.0,中性盘
09:38:21,3.14,0.010000000000000231,1,314.0,买盘
09:38:24,3.13,-0.010000000000000231,6,1883.0,卖盘
09:38:30,3.13,0.0,101,31613.0,卖盘
09:38:33,3.13,0.0,765,240148.0,卖盘
09:38:39,3.13,0.0,24,7531.0,卖盘
09:38:42,3.13,0.0,171,53523.0,卖盘
09:38:45,3.13,0.0,23,7213.0,卖盘
09:38:50,3.13,0.0,35,10955.0,卖盘
09:38:53,3.13,0.0,293,91709.0,卖盘
09:38:56,3.13,0.0,43,13459.0,买盘
09:38:59,3.14,0.010000000000000231,79,24728.0,买盘
09:39:02,3.13,-0.010000000000000231,65,20345.0,卖盘
09:39:05,3.14,0.010000000000000231,29,9099.0,买盘
