成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
09:30:01,3.4,0.0,8536,2901827.0,卖盘
09:30:03,3.42,0.020000000000000018,28097,9587232.0,买盘
09:30:07,3.42,0.0,1606,551262.0,卖盘
09:30:11,3.45,0.03000000000000025,1753,602717.0,买盘
09:30:12,3.43,-0.020000000000000018,1206,415182.0,卖盘
09:30:17,3.47,0.040000000000000036,267,92355.0,买盘
09:30:20,3.48,0.009999999999999787,2509,872391.0,买盘
09:30:23,3.47,-0.009999999999999787,2796,972609.0,中性盘
09:30:27,3.49,0.020000000000000018,2447,850021.0,买盘
09:30:30,3.49,0.0,693,241053.0,买盘
09:30:33,3.47,-0.020000000000000018,1115,388328.0,卖盘
09:30:36,3.48,0.009999999999999787,2628,913468.0,买盘
09:30:39,3.49,0.010000000000000231,1123,391139.0,买盘
09:30:42,3.48,-0.010000000000000231,999,347676.0,卖盘
09:30:48,3.47,-0.009999999999999787,1923,667592.0,卖盘
09:30:51,3.47,0.0,1779,617353.0,买盘
09:30:54,3.47,0.0,2917,1013840.0,买盘
09:30:58,3.48,0.009999999999999787,1242,431488.0,买盘
09:31:01,3.48,0.0,1002,348678.0,买盘
09:31:04,3.48,0.0,647,225209.0,买盘
09:31:08,3.49,0.010000000000000231,1673,583634.0,买盘
09:31:11,3.48,-0.010000000000000231,2398,835265.0,卖盘
09:31:14,3.48,0.0,1402,489172.0,卖盘
09:31:17,3.48,0.0,11023,3851930.0,卖盘
09:31:21,3.51,0.029999999999999805,1457,508411.9200000018,买盘
09:31:24,3.51,0.0,1210,425311.0,卖盘
09:31:27,3.51,0.0,1594,560086.0,卖盘
09:31:30,3.51,0.0,904,317269.0,买盘
09:31:33,3.5,-0.009999999999999787,2592,910039.0,卖盘
09:31:36,3.52,0.020000000000000018,1327,466027.0,买盘
09:31:39,3.52,0.0,1569,552006.0,买盘
09:31:42,3.52,0.0,2700,950102.0,买盘
09:31:45,3.52,0.0,2144,754364.0,买盘
09:31:48,3.53,0.009999999999999787,1967,693727.0,买盘
09:31:51,3.54,0.010000000000000231,963,340394.0,买盘
09:31:55,3.54,0.0,1280,453591.0,买盘
09:31:58,3.54,0.0,670,237285.0,卖盘
09:32:01,3.53,-0.010000000000000231,1366,483365.0,卖盘
09:32:05,3.53,0.0,3597,1268534.0,卖盘
09:32:08,3.52,-0.009999999999999787,1900,669461.0,中性盘
09:32:11,3.51,-0.010000000000000231,2883,1010728.0,卖盘
09:32:14,3.51,0.0,609,214139.0,卖盘
09:32:18,3.51,0.0,2063,724116.0,卖盘
09:32:21,3.52,0.010000000000000231,4107,1442607.0,买盘
