日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2019-12-11,29569026,37999823,8430797,1966876,1966876,0
2019-12-12,47645327,37222404,19146103,1880548,327990,414318
2019-12-13,74818126,41784677,14611878,1628098,39674,292124
2019-12-16,85735727,26453069,15535468,1428868,118287,317517
2019-12-17,109153395,63271081,39853413,1471526,326619,283961
2019-12-18,113188031,72081395,68046759,1511918,369376,328984
2019-12-19,107306272,39798504,45680263,1282839,49017,278096
2019-12-20,129212934,44931887,23025225,1195028,15836,103647
2019-12-23,123936462,20847639,26124111,1160748,45656,79936
2019-12-24,133015193,23247760,14169029,1142516,17668,35900
2019-12-25,141261093,32819145,24573245,1175334,74250,41432
2019-12-26,143245683,19227514,17242924,1059146,20866,137054
2019-12-27,144249803,16006914,15002794,1103575,64529,20100
2019-12-30,134596651,4990783,14661461,1054999,22940,71516
2019-12-31,127171371,8887899,16313179,1052251,36602,39350
2020-01-02,171001820,71899070,28068621,1146186,135515,41580
2020-01-03,198993213,46634124,18642731,1137461,58498,67223
2020-01-06,208560151,35409799,25842861,974172,40872,204161
2020-01-07,211824555,25005662,21741258,357406,31900,648666
2020-01-08,209297028,27161774,29689301,318605,0,38801
2020-01-09,199389786,12595554,22502796,362960,44618,263
2020-01-10,197967779,12511112,13933119,387668,35706,10998
2020-01-13,207740531,25932613,16159861,435671,67219,19216
2020-01-14,156495629,30131379,80958875,449023,55424,42072
2020-01-15,147674813,23286485,32107301,435251,45472,59244
2020-01-16,123786918,13518038,37405933,474920,62576,22907
2020-01-17,114122395,17767419,27431942,454776,35958,56102
2020-01-20,109942216,19375701,23555880,467187,29411,17000
2020-01-21,115256671,17653965,12339510,450301,13462,30348
2020-01-22,118947112,25482239,21791798,396040,9345,63606
2020-01-23,113362571,18508781,24093322,374295,5000,26745
2020-02-03,122042862,23066075,14385784,377595,5000,1700
2020-02-04,125384120,23263335,19922077,377295,0,300
