sid,R_Squared,F_Value,F_P_value,Last Resid
002594,0.9845878577190166,5089.417891095616,3.4576670257945803e-216,9.652020022559185
000799,0.975933696739625,3230.6326262803077,4.630993399862421e-193,21.489635590560113
600196,0.970897854102847,2657.81760505023,3.351027371136586e-183,-2.947989950233783
603198,0.9700520724230071,2580.5062772491374,1.0274974094694612e-181,2.969515123467584
601788,0.9686115716443019,2458.42366916897,2.8157558095130827e-179,-1.1223033625378847
002161,0.9672932930236388,2356.1232379619382,3.840944894955446e-177,-0.13983513741628695
002797,0.9668888733601395,2326.3724733836375,1.667769661902742e-176,0.14465464481122936
601216,0.9660798235414942,2268.9846372002894,2.984084574922807e-175,0.24790215042198582
000505,0.9605819995935807,1941.4065954284067,1.8592709543722194e-167,0.3311341454436256
601908,0.960041559325193,1914.0714602791845,9.461013473507184e-167,0.058278875870746205
601919,0.9599339181359099,1908.715100657314,1.3047592494815483e-166,0.016542831359583232
600316,0.9591500149793178,1870.5584466676899,1.3211444723457059e-165,8.120440533725848
000612,0.9536087735580638,1617.0562684690697,5.235727019921262e-157,-0.38317934102994133
002505,0.953326922338923,1627.2416980479366,1.0855422378679364e-158,-0.08148269292205867
002603,0.9522515415974507,1588.799066719466,1.650468042311562e-157,0.17164307787744093
600895,0.9511082960995434,1549.7849644089818,2.788103063381506e-156,-0.9814777495178397
603919,0.9509251296147825,1537.2442085042576,1.96336027308863e-155,7.972874094510331
600030,0.9492346552197922,1489.6453711337122,2.4921739296039752e-154,-0.5777295774860818
000738,0.9491356661297184,1486.591270964821,3.145251866993713e-154,-1.3602502026191523
600418,0.9471475642049052,1427.674773102142,3.069557625359071e-152,0.6190799857193916
000531,0.9465563443361434,1410.9998245581196,1.1594814374804925e-151,0.6566892516671672
600143,0.9450457329376496,1370.023610819481,3.23965616837072e-150,0.8658889593177683
600268,0.9435597509679021,1331.8555720350064,7.849945214861948e-149,-0.8206164251724672
002304,0.9435580365573405,1331.8126973990707,7.87848392533131e-149,20.757080570211798
601168,0.942820285220801,1313.6013301098392,3.71739705960864e-148,-0.2234173194116007
601636,0.9427068327059134,1310.842366596175,4.710687158349257e-148,1.324274730174146
