day,open,high,low,close,volume
2017-09-04,58.6,60.03,58.41,58.71,1856473
2017-09-05,58.71,58.71,57.92,58.17,1070310
2017-09-06,58.17,58.35,57.48,58.13,1009405
2017-09-07,58.1,58.29,57.56,57.79,1011459
2017-09-08,57.66,57.92,57.41,57.87,972548
2017-09-11,57.82,58.39,57.45,57.88,1053933
2017-09-12,57.71,57.71,56.94,57.11,1866771
2017-09-13,57.16,57.46,56.0,56.89,1236743
2017-09-14,57.0,57.63,56.6,57.11,704238
2017-09-15,57.12,58.06,56.35,56.79,1540815
2017-09-18,56.76,57.09,56.4,56.95,648595
2017-09-19,57.09,57.2,56.77,57.04,608240
2017-09-20,57.07,57.6,57.04,57.41,968228
2017-09-21,57.4,57.6,56.81,56.97,938902
2017-09-22,56.97,57.3,56.8,57.01,743735
2017-09-25,57.2,57.76,57.2,57.34,1016998
2017-09-26,57.5,57.59,56.8,57.14,763860
2017-09-27,57.39,57.5,56.8,57.14,887746
2017-09-28,57.17,57.68,56.8,57.34,1280020
2017-09-29,57.34,57.74,57.12,57.67,1094543
2017-10-09,57.96,58.14,57.61,57.75,1357932
2017-10-10,57.76,58.1,57.51,58.07,1525919
2017-10-11,58.09,59.5,57.88,58.76,2524413
2017-10-12,58.75,62.75,58.58,60.83,4486398
2017-10-13,60.3,61.0,59.56,60.81,1745933
2017-10-16,60.79,63.52,60.18,61.61,3374096
2017-10-17,61.59,62.47,60.25,61.98,2579437
2017-10-18,61.5,62.1,60.53,60.61,1558980
2017-10-19,60.71,60.72,58.87,59.43,1427919
2017-10-20,59.2,59.95,58.94,59.88,1113366
2017-10-23,59.81,60.54,59.62,60.12,820731
2017-10-24,60.1,60.1,58.51,58.85,1041308
2017-10-25,58.98,59.54,58.66,59.33,633105
2017-10-26,59.11,60.1,58.6,59.87,1375655
2017-10-27,59.96,60.06,59.11,59.23,870631
2017-10-30,59.71,60.68,58.6,58.7,1368897
2017-10-31,58.63,60.36,58.59,60.16,1253805
2017-11-01,60.54,61.5,60.04,61.17,1678708
2017-11-02,61.4,61.86,60.8,61.23,1456055
2017-11-03,61.24,61.6,60.53,60.58,1018195
2017-11-06,60.23,62.09,60.23,61.95,1419438
2017-11-07,62.01,62.59,61.4,62.32,1100478
2017-11-08,62.22,63.59,61.82,62.54,1620976
2017-11-09,62.57,63.0,62.02,62.26,1079180
2017-11-10,66.0,68.49,63.53,64.14,5541386
2017-11-13,63.8,67.58,63.8,66.59,3712771
2017-11-14,66.11,73.0,66.11,71.13,5884501
2017-11-15,71.28,73.37,70.0,70.17,4931483
2017-11-16,69.88,70.8,68.35,69.46,3438041
2017-11-17,69.6,70.66,65.6,66.08,4201413
2017-11-20,66.0,66.0,62.58,65.55,2804396
2017-11-21,65.01,67.32,64.49,64.91,2511711
2017-11-22,64.86,68.35,63.86,68.01,4092487
2017-11-23,67.5,68.93,64.1,64.24,3027152
2017-11-24,63.5,65.43,63.5,64.07,1664844
2017-11-27,64.07,66.76,62.83,64.57,2291131
2017-11-28,64.0,66.12,63.66,65.71,1106725
2017-11-29,65.98,65.98,63.8,64.48,1247041
2017-11-30,64.66,66.88,64.19,66.27,2099083
2017-12-01,65.9,66.6,65.55,66.39,1678802
