sid,R_Squared,F_Value,F_P_value,Last Resid
SZ300870,0.9694435629758537,32392.58153744122,0.0,0.6919550881940779
SZ300860,0.934028220527014,14455.314390126101,0.0,-0.431225345610045
SZ300986,0.928232172059501,13205.43027244028,0.0,-3.6176305348683258
sh601012,0.9266898261563373,12906.125615297673,0.0,1.222747563024484
sh600019,0.9189482673517843,11575.892955162219,0.0,0.32879155493593437
SZ000630,0.8707705549510918,6879.676193522242,0.0,0.14504837571263218
SZ002025,0.8677318831418921,6698.169398134615,0.0,3.583675386134928
sh603129,0.8406519967372006,5386.359860770578,0.0,-5.707391592586305
SZ000968,0.768189086292484,3383.4518166570506,0.0,0.8186436387270462
SZ300671,0.7295570653761375,2754.2881265692054,3.4693503070606417e-292,-0.2982712971767256
sh603444,0.6869698980950498,2240.667148899377,9.448527787163513e-260,2.171600570322994
SZ300896,0.6639769940346704,2017.4824308885127,4.9820797208751135e-244,-22.596888230655395
SZ300088,0.6428318500805474,1837.597554765879,1.7161779056133334e-230,1.7944430734104966
SZ300142,0.6288311842898877,1729.7698836354145,5.808242553676078e-222,6.245290813208712
sh600704,0.6230670238433569,1687.704370762456,1.522780141489275e-218,0.3968938574790952
sh600893,0.6109339008414008,1603.2327517304427,1.625529083456708e-211,-1.3260536676243149
sh600196,0.5886127808190103,1460.8466699880898,3.8649215897232983e-199,2.988735575368487
SZ002095,0.573417480421615,1372.440783764676,4.3085360615739114e-191,2.327872640340143
SZ000596,0.5530909774964803,1263.5813098167177,9.171540426847522e-181,3.9058579021980506
SZ002617,0.5130897399628955,1075.8956372416467,9.649369860997606e-162,1.774044664203597
sh603986,0.51194202721101,1070.96459626616,3.2133818584440372e-161,-1.0838971347301651
sh600406,0.4816963923844242,948.8878900284882,7.091348815893032e-148,2.2278326021598147
sh600030,0.42243879383534133,746.778010542003,7.579611686414233e-124,-0.3629711222004879
sh600566,0.4200782404772794,739.582325519721,6.097511217610912e-123,-1.3179478722088973
sh600566,0.4200782404772794,739.582325519721,6.097511217610912e-123,-1.3179478722088973
SZ300929,0.4143832779387182,722.4611436747148,9.009442831919704e-121,0.680423843991921
SZ002074,0.3779610991304486,620.3764453842658,2.247803168318043e-107,4.932156898520219
SZ300987,0.3020404669334258,441.8355250255073,8.543818450716835e-82,4.230305703177184
SZ300996,0.2856291277505514,408.2296056039092,1.2486267826629307e-76,2.760053732090185
SZ300921,0.2658742837434732,369.76996949011703,1.4441977067308127e-70,1.1545530318903054
SZ002287,0.25960934983515016,358.00174694625304,1.1188216055998685e-68,2.9995044287720276
SZ000988,0.21860457394893373,285.636775646131,1.087835437145145e-56,0.15426244431903413
SZ300750,0.16070518061026018,195.49744096166347,8.922575181834994e-41,10.308567799539333
SZ002643,0.11246289333544912,129.37443768071336,2.616653252526615e-28,1.4291223200113023
sh603019,0.02833223396230944,29.770680768261606,6.102525103540648e-08,0.9586855251799413
SZ300199,0.01849939545859458,19.243882964341356,1.269742644092562e-05,4.44769313906141
sh600702,0.013693756399386192,14.175440310235674,0.00017603229049811944,-3.5044617077679447
SZ300976,0.009938725186859343,10.249303425890087,0.0014095853162668535,11.074737890722275
sh600237,0.008940223720021012,9.21031065593637,0.0024675092656453886,1.1643840075997414
sh600584,0.00012165269891395436,0.1242225175956367,0.7245719382447304,-0.09602994261715736
