日期,融资买入额(元),融资余额(元),融券卖出量,融券余量,融券余额(元),融资融券余额(元)
2017-07-12,13759301,487012733,20600,79100,534716,487547449
2017-07-13,10709254,489321435,0,73200,496296,489817731
2017-07-14,8843825,485846250,0,73200,498492,486344742
2017-07-17,17995554,469811218,46700,98300,637967,470449185
2017-07-18,9968283,472654438,5000,66400,432928,473087366
2017-07-19,18129295,481421693,5700,68100,449460,481871153
2017-07-20,12550809,476176462,63700,122900,820972,476997434
2017-07-21,6010057,474257294,5300,120900,805194,475062488
2017-07-24,10847122,472964222,0,115600,771052,473735274
2017-07-25,10842992,473757567,5400,64600,427006,474184573
2017-07-26,5934114,471873094,200,64800,425088,472298182
2017-07-27,7322621,471914620,0,52100,344381,472259001
2017-07-28,4154518,467730504,0,52100,344381,468074885
2017-07-31,6918894,468720372,100,52200,346608,469066980
2017-08-01,6667913,465735663,0,52200,346608,466082271
2017-08-02,13532029,470556303,0,52200,345042,470901345
2017-08-03,7701916,467233425,3000,55200,364320,467597745
2017-08-04,7823287,465581059,15600,70200,460512,466041571
2017-08-07,5364221,464339177,49600,107700,708666,465047843
2017-08-08,8597911,464584632,0,56800,374880,464959512
2017-08-09,7460632,463988663,3700,60500,399300,464387963
2017-08-10,8904035,465427913,600,54100,354355,465782268
2017-08-11,14103548,465152305,5900,60000,384600,465536905
2017-08-14,7987739,466476746,1000,61000,392840,466869586
2017-08-15,6589133,466779747,7400,68400,440496,467220243
2017-08-16,3658194,464638714,0,68400,441180,465079894
2017-08-17,7230562,463424975,700,69100,450532,463875507
2017-08-18,6678020,462857372,1000,67100,436821,463294193
2017-08-21,7021464,465311069,0,67100,438834,465749903
2017-08-22,3583480,460250013,0,61100,398983,460648996
2017-08-23,3728704,459819186,0,61100,397150,460216336
2017-08-24,1720677,457158842,0,61100,395317,457554159
2017-08-25,5526388,453587457,0,61100,398983,453986440
2017-08-28,13232930,459162930,18000,72200,475798,459638728
2017-08-29,11699833,462036808,103400,175600,1158960,463195768
2017-08-30,5634116,461939563,11600,80500,530495,462470058
2017-08-31,6201056,461238842,0,73900,487001,461725843
2017-09-01,8020526,458586059,0,72100,477302,459063361
2017-09-04,25272068,472352952,0,51000,338130,472691082
2017-09-05,10481025,477379742,10000,61000,402600,477782342
2017-09-06,10748645,484532742,45600,96600,636594,485169336
2017-09-07,9285126,488057795,8200,58900,386384,488444179
2017-09-08,22354141,493764420,52500,111400,740810,494505230
2017-09-11,11588578,493026062,15000,79200,523512,493549574
2017-09-12,9666415,491448577,17800,82000,539560,491988137
2017-09-13,4174158,491027634,10000,82700,543339,491570973
2017-09-14,6299521,490723250,0,72700,477639,491200889
2017-09-15,6242303,488297471,0,72700,476912,488774383
2017-09-18,11471155,495628494,0,72700,477639,496106133
2017-09-19,9380126,500880504,0,61900,404207,501284711
2017-09-20,6980482,494982095,0,61900,404826,495386921
2017-09-21,7548553,493375165,0,61900,404207,493779372
2017-09-22,3794720,484871224,0,61900,400493,485271717
2017-09-25,5507903,482684486,0,61900,396779,483081265
2017-09-26,3142185,480619080,0,53700,344754,480963834
2017-09-27,4056023,480841837,0,53700,344754,481186591
2017-09-28,9004357,484808255,0,53700,347439,485155694
2017-09-29,3602723,477547884,0,22300,143835,477691719
2017-10-09,5558062,477126115,25000,44300,287507,477413622
2017-10-10,5464657,478039842,0,22300,145619,478185461
2017-10-11,4529698,469275184,23700,43000,280360,469555544
2017-10-12,9023085,470094227,100,33100,214819,470309046
2017-10-13,16661026,474238389,75400,108400,714356,474952745
2017-10-16,8760051,474303817,1000,25300,164703,474468520
2017-10-17,4521175,470315233,0,25300,164450,470479683
2017-10-18,3693882,463112037,5000,30300,195132,463307169
2017-10-19,9675159,460661801,0,22300,143166,460804967
2017-10-20,7386640,459983583,24600,46900,302974,460286557
2017-10-23,7123905,453430642,0,42300,273258,453703900
2017-10-24,4351669,453455417,2300,44600,287670,453743087
2017-10-25,2398443,450530609,0,42300,273258,450803867
2017-10-26,7626344,450718617,300,42600,275196,450993813
2017-10-27,4839076,447165475,2000,41600,267072,447432547
2017-10-30,5739224,448450384,25000,66400,421640,448872024
2017-10-31,2723411,445550070,3000,44300,283077,445833147
2017-11-01,3300180,446116910,0,41300,263907,446380817
2017-11-02,3777517,444656378,0,41300,262255,444918633
2017-11-03,5036279,445519102,20700,61700,390561,445909663
2017-11-06,6032555,448803353,2300,61000,386740,449190093
2017-11-07,2552777,448442423,0,58700,374506,448816929
2017-11-08,4347135,444382002,44598,102098,654448,445036450
2017-11-09,1709989,442821444,10000,77500,496775,443318219
2017-11-10,7136429,442855581,0,57500,366850,443222431
2017-11-13,4318550,442971747,1000,58500,373230,443344977
2017-11-14,4842136,443430151,0,41000,259530,443689681
2017-11-15,4716253,442690718,28600,69600,442656,443133374
2017-11-16,3326365,441727286,2500,48100,303030,442030316
2017-11-17,5836586,435333088,2100,23100,143451,435476539
2017-11-20,11804819,439585211,36800,57200,350636,439935847
2017-11-21,3341605,438515835,2500,58300,358545,438874380
2017-11-22,4871675,432664471,0,56300,345682,433010153
2017-11-23,5127397,429312173,0,55500,335220,429647393
2017-11-24,3280087,429595270,3700,37800,228690,429823960
2017-11-27,6929134,432577091,55000,92300,556569,433133660
2017-11-28,3439101,433788962,0,62300,377538,434166500
2017-11-29,4718665,431850941,12000,74300,449515,432300456
2017-11-30,4266050,429875604,0,38300,234396,430110000
2017-12-01,5155528,431650452,0,38300,233630,431884082
2017-12-04,3887843,431859540,25400,63700,385385,432244925
2017-12-05,6104007,432068101,0,59000,351640,432419741
2017-12-06,2924984,431665379,1800,60800,362368,432027747
2017-12-07,1730909,428234791,0,59800,357604,428592395
2017-12-08,2741112,426972287,0,34400,207432,427179719
2017-12-11,6324436,429730238,0,34400,209496,429939734
2017-12-12,3774468,428356353,0,33700,203211,428559564
2017-12-13,5236545,428530532,0,33700,203885,428734417
2017-12-14,2805851,427839740,50200,83900,507595,428347335
2017-12-15,7068767,426669053,5000,38900,237679,426906732
2017-12-18,6644988,430420364,0,33900,205095,430625459
2017-12-19,2658473,430654452,0,33900,205773,430860225
2017-12-20,4601624,429740683,0,33900,205095,429945778
2017-12-21,4564907,430433111,25000,58700,355722,430788833
2017-12-22,10289314,431346159,1200,34900,214635,431560794
2017-12-25,8830096,433689063,10800,45700,276942,433966005
2017-12-26,5884012,433550258,91400,126300,766641,434316899
2017-12-27,7448058,437359537,0,34900,210796,437570333
2017-12-28,3183180,436186658,1000,21300,128439,436315097
2017-12-29,2990931,432500271,0,21300,129078,432629349
2018-01-02,6174206,432565351,0,20200,123220,432688571
2018-01-03,6793222,429796290,20300,40500,248265,430044555
2018-01-04,4779282,429379721,16600,36800,225584,429605305
2018-01-05,7991912,428657470,21700,53200,328244,428985714
2018-01-08,9393218,431725517,3000,54700,338593,432064110
2018-01-09,6854744,435891108,0,54700,335858,436226966
2018-01-10,4975059,431491691,0,53500,329025,431820716
2018-01-11,6233607,434071056,700,51200,314368,434385424
2018-01-12,1072497,430311443,0,51200,313856,430625299
2018-01-15,6760672,429472696,3000,54200,327368,429800064
2018-01-16,3447804,425762259,1000,54400,330208,426092467
2018-01-17,8478648,428682651,1500,55900,341549,429024200
2018-01-18,5253882,428003622,0,54500,332450,428336072
2018-01-19,5563321,428358022,0,43100,263341,428621363
2018-01-22,9707360,421297659,3000,45600,279984,421577643
2018-01-23,5519902,419310559,5100,50700,312312,419622871
2018-01-24,14909283,423587204,1700,51700,320023,423907227
2018-01-25,16392755,426115228,30000,81700,507357,426622585
2018-01-26,5109351,422502338,0,51700,320540,422822878
2018-01-29,7397448,419900250,0,51700,318472,420218722
2018-01-30,2834461,418272675,0,51700,319506,418592181
2018-01-31,11461305,415199916,5300,49000,297430,415497346
2018-02-01,8492887,413411828,0,49000,290570,413702398
2018-02-02,6436403,415542594,13600,59600,351640,415894234
2018-02-05,6374590,411753017,0,59600,346276,412099293
