日期,收盘价,成交量,lev,pred,resid,resid_norm
2018-07-02,5138.7826,55248929.0,2253.16948992,5168.6123572241395,-29.82975722413994,-0.00580482957658881
2018-06-29,5217.7643,57234937.0,2257.10883281,5174.72105745114,43.04324254885978,0.008249365067881619
2018-06-28,5055.1093,47767518.0,2253.96309215,5169.842988387234,-114.733688387234,-0.02269657915947218
2018-06-27,5109.4975,49857841.0,2259.67781204,5178.70474824518,-69.20724824517947,-0.013544824759221325
2018-06-26,5160.2829,51066587.0,2265.93390242,5188.406005990844,-28.123105990844124,-0.0054499155445225924
2018-06-25,5125.0333,47860811.0,2266.59283215,5189.42780183437,-64.3945018343702,-0.012564699205831541
2018-06-22,5160.1228,51689206.0,2274.15016046,5201.146876424196,-41.02407642419621,-0.007950213205041594
2018-06-21,5089.2522,63240478.0,2282.61211074,5214.2687393946735,-125.0165393946736,-0.024564815120514876
2018-06-20,5198.3935,60329417.0,2301.36645169,5243.35091122321,-44.95741122320942,-0.008648327838823555
2018-06-19,5141.7095,82986353.0,2316.01263192,5266.062598678192,-124.35309867819251,-0.024185166174439165
2018-06-15,5483.9446,56448574.0,2367.24350243,5345.505805084084,138.43879491591542,0.02524438246803504
2018-06-14,5586.9314,44419709.0,2386.35264832,5375.138169439151,211.79323056084922,0.037908686432206636
2018-06-13,5607.0173,49234214.0,2385.15694433,5373.284003036506,233.73329696349447,0.041685852648161874
2018-06-12,5693.3461,46645358.0,2388.40918847,5378.3272259980595,315.0188740019403,0.05533105988443954
2018-06-11,5632.3566,43109691.0,2388.6497319,5378.700234326218,253.6563656737817,0.04503556569443449
2018-06-08,5669.3031,52925555.0,2471.98844264,5507.932752396089,161.3703476039109,0.028463877262782242
2018-06-07,5738.0176,47376191.0,2481.67522763,5522.953954489851,215.0636455101494,0.03748047853846761
2018-06-06,5774.2575,48182508.0,2481.17731691,5522.181849239503,252.0756507604965,0.04365507613065343
2018-06-05,5779.0778,47410470.0,2484.15198867,5526.794643444773,252.28315655522692,0.043654570034552385
2018-06-04,5683.1486,46750282.0,2488.17980522,5533.040538905094,150.1080610949066,0.026412834092514593
2018-06-01,5685.1155,53833571.0,2491.66524275,5538.445372560157,146.67012743984287,0.025798970564422635
2018-05-31,5754.4746,56008854.0,2504.33552453,5558.093053746306,196.38154625369316,0.03412675524776722
2018-05-30,5682.5881,68527885.0,2509.50972255,5566.11663166321,116.47146833679017,0.020496201077250375
2018-05-29,5835.4456,56179929.0,2527.17695485,5593.513034813452,241.93256518654835,0.04145914155836674
2018-05-28,5891.2627,57810122.0,2532.805921,5602.241817191236,289.0208828087643,0.049059242054978185
2018-05-25,5917.7978,57793809.0,2532.59508275,5601.914872393182,315.88292760681816,0.053378459062392795
2018-05-24,5992.6209,53711808.0,2538.92036521,5611.723425615935,380.8974743840645,0.0635610829952658
2018-05-23,6013.8472,67845868.0,2538.46898182,5611.023469838043,402.8237301619574,0.06698270121694436
2018-05-22,6092.9069,62266852.0,2535.43692959,5606.321696302996,486.58520369700364,0.07986092872960256
2018-05-21,6072.1991,70722451.0,2523.65578419,5588.052790145577,484.1463098544227,0.07973162636489023
2018-05-18,5995.1497,57868274.0,2516.99260424,5577.720262612514,417.42943738748636,0.0696278588985837
2018-05-17,5973.7785,52997273.0,2523.88610368,5588.409944310659,385.3685556893415,0.06451001751895245
2018-05-16,6004.0696,58338640.0,2520.72185221,5583.503170715971,420.56642928402925,0.07004689440709169
2018-05-15,6020.5697,54721546.0,2522.96717787,5586.984975106177,433.58472489382257,0.0720172253622149
2018-05-14,5967.5541,59798192.0,2520.49479382,5583.151073506546,384.4030264934545,0.06441550760192596
2018-05-11,5991.3424,63847253.0,2514.82354443,5574.3567229248765,416.98567707512393,0.0695980381750714
2018-05-10,6040.5716,58310665.0,2527.16878847,5593.500371288404,447.07122871159663,0.07401141122333466
2018-05-09,6029.2329,54124153.0,2521.1815623,5584.216038625557,445.01686137444267,0.07380986416604385
2018-05-08,6041.8143,62194666.0,2513.3203173,5572.025683417355,469.78861658264486,0.07775621580799742
2018-05-07,6019.1409,64033358.0,2506.04958842,5560.751035741353,458.3898642586473,0.07615536367634247
2018-05-04,5909.2944,55464047.0,2498.02013476,5548.299841020517,360.99455897948246,0.06108928317727451
2018-05-03,5910.6058,67604490.0,2504.08277772,5557.701121756954,352.90467824304596,0.05970702330428565
2018-05-02,5855.3233,63147027.0,2508.7015767,5564.8634478518,290.4598521482003,0.04960611690702037
2018-04-27,5860.9836,55997822.0,2510.96344475,5568.370904363279,292.6126956367207,0.04992552711403606
2018-04-26,5847.9766,62638394.0,2534.81485555,5605.357052215018,242.6195477849824,0.041487776778207766
2018-04-25,5959.422,60382790.0,2537.55737539,5609.6098507240495,349.8121492759501,0.058699006258652285
2018-04-24,5957.1927,67954118.0,2530.9587106,5599.377366214287,357.81533378571294,0.060064421583292574
2018-04-23,5823.9205,63952399.0,2534.73958331,5605.24032829369,218.68017170630992,0.03754861895973853
2018-04-20,5880.8359,72391389.0,2531.3851424,5600.038629807276,280.7972701927238,0.04774784996002418
2018-04-19,6004.7334,75998556.0,2548.60418003,5626.740021896328,377.9933781036725,0.06294923569856949
2018-04-18,5970.6577,76201712.0,2554.80420609,5636.35434125306,334.3033587469399,0.055991044126837135
2018-04-17,5890.8571,71920258.0,2552.28875055,5632.45364911803,258.40345088197046,0.04386517046593618
2018-04-16,6012.4053,70985861.0,2557.69094394,5640.830777210018,371.57452278998244,0.06180130983351745
2018-04-13,6027.1867,54157636.0,2561.15799427,5646.2070980151075,380.9796019848927,0.06321018759629475
2018-04-12,6051.3346,60524240.0,2565.63700379,5653.152653970904,398.18194602909625,0.06580068238650962
2018-04-11,6086.6126,66248859.0,2565.14735516,5652.393360662158,434.21923933784274,0.07134004870588326
2018-04-10,6063.7423,69420990.0,2562.46427351,5648.232732369043,415.50956763095655,0.06852361909096245
2018-04-09,6025.6493,64851820.0,2567.22311023,5655.612213608292,370.0370863917078,0.06141032575389142
2018-04-04,6017.6863,67260198.0,2564.4351945,5651.289020139669,366.39727986033085,0.060886736462206555
