sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate
000001,0.9707981269161629,288.11794854568956,4.6345951034817613e-20,0.08274087181319878,15.727259128186802,0.0052609848377781505,0.5949271386647071,"const       6.249398e+00
vol_sum     2.302942e-09
lev_buy    -8.801916e-10
lev_sell    1.004111e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,19200701.449381962,14296657.952422177,23452663.373594113,1,0.21924161302025122,0.15844443596944838,0.26090228055730913,1
000002,0.9472852807024223,155.7402918100129,9.905080948917102e-17,-0.6867553933846011,19.986755393384602,-0.034360524250569936,-1.4388949072589257,"const       5.035063e+00
vol_sum     3.767996e-09
lev_buy     7.443631e-10
lev_sell   -2.038683e-07
dtype: float64",False,False,False,False,False,True,False,False,False,False,18363805.471549608,8724464.934004754,27622486.221997533,1,0.34499750679641583,0.20965194945105942,0.8745112920940287,1
000006,0.8613904892127213,53.85910531998457,2.7228724740242156e-11,-0.2560316149860933,4.676031614986093,-0.05475403848116513,-1.5088199531234325,"const      -2.141452e+00
vol_sum     2.809769e-09
lev_buy     7.418841e-09
lev_sell   -1.344278e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,2080483.6496859458,1407792.5284088033,4449495.880357926,1,0.09346118745439663,0.08107707920651303,0.22029525641738235,1
000008,0.5899301048374317,12.467941771806611,3.05221881042131e-05,-0.16011977553846135,2.5501197755384615,-0.06278911958347205,-2.6479994185392752,"const      -3.606661e+00
vol_sum     1.477216e-09
lev_buy     1.052152e-08
lev_sell    1.223313e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,4390640.63473369,3647381.0164748356,51280327.49747775,1,0.03247848326103828,0.030856285734301332,0.08443932733033822,1
000009,0.9511399212840901,168.7105888440703,3.697969086535492e-17,-0.04640346715456367,9.696403467154564,-0.004785636995381845,-0.24247105277552586,"const      -3.129377e+01
vol_sum     5.182887e-09
lev_buy     1.047045e-09
lev_sell    1.079308e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,6753375.543581983,2704062.309948855,8780372.803142799,1,0.11414256058758904,0.06640580031357274,0.2702406335102281,1
000012,0.8818934113039314,64.7133772610194,3.4353984658559966e-12,-0.36236534677114474,6.612365346771145,-0.05480116838191492,-2.4279246778438854,"const      -1.875117e+01
vol_sum     5.594695e-09
lev_buy     3.286850e-09
lev_sell    3.882762e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,3568724.689773886,2184733.6701312307,4818915.550618603,1,0.06843802377158342,0.060082854735716965,0.2573518991575554,1
000016,0.8495753799360086,48.94801544441214,7.83629920451367e-11,-0.06381683294533325,4.953816832945333,-0.012882356190668926,-0.9248388400026015,"const      -3.099012e+01
vol_sum     9.431341e-09
lev_buy     7.184434e-09
lev_sell    5.526783e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,1728170.7549849744,1331904.9533610682,1791402.3220319038,1,0.05893734597316583,0.04607057405887694,0.06978538528946941,1
000021,0.9056904838192161,83.2293266289977,1.8662098389665757e-13,-0.14564799741519074,10.55564799741519,-0.013798110495050255,-0.9589566786801474,"const      -7.859898e+01
vol_sum     1.670729e-08
lev_buy     2.043233e-08
lev_sell   -3.638834e-07
dtype: float64",False,False,False,True,False,False,False,False,False,False,1266122.1421588506,671030.0847367467,2992388.7105046534,1,0.08396114281143754,0.059745697638161205,0.10502380682492449,1
000025,0.5756341756472656,11.755964396721941,4.7137948219356596e-05,-1.0292285064740962,13.369228506474096,-0.07698488405487935,-1.9175072736569383,"const      -6.608298e+00
vol_sum     4.143832e-08
lev_buy     9.488485e-08
lev_sell   -5.061910e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,643641.9974279338,378124.44017186534,367766.8011149354,3,0.20892657691202238,0.14248688319292308,0.35599157293397915,1
000027,0.5802588418052381,11.980978906001464,4.10244862455732e-05,-0.2761527055821693,6.286152705582169,-0.043930320899927044,-1.996888587446871,"const      -1.405101e+01
vol_sum     3.029616e-09
lev_buy     1.667586e-08
lev_sell   -2.970628e-07
dtype: float64",False,True,False,False,False,False,False,False,False,False,2314485.378351668,1537545.898429989,4378404.651153284,1,0.05439959301492775,0.04055513837291467,0.13729530217746388,1
000028,0.7485074739943318,25.794264655289744,5.89781118367809e-08,-1.1939486619099995,30.22394866191,-0.03950339762900285,-1.5723147583044375,"const       3.133786e+01
vol_sum     1.759565e-07
lev_buy    -9.508125e-08
lev_sell    9.916670e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,666999.2520306178,386479.30576743436,1420253.391194085,1,0.25503864282604227,0.18221028946642398,0.9945451221538374,1
000030,0.7330143362056584,23.794502009950282,1.2708350854704222e-07,-0.10013138402616129,5.320131384026161,-0.01882122391315532,-0.9659032397134604,"const       2.488137e+00
vol_sum    -4.546163e-11
lev_buy     1.369547e-08
lev_sell   -1.039060e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,740778.6682460557,499380.2642382656,5493510.8072348405,1,0.051842248309994454,0.024278165966355472,0.14463747785411427,1
