sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate
000001,0.8452430244582337,152.92883956912996,7.302686378068224e-13,-0.14303071515757004,15.46303071515757,-0.009249850032139222,-0.6326460277848938,"const     -2.713432e-01
vol_sum    3.400254e-09
dtype: float64",False,False,False,True,False,True,False,False,True,False,17706298.70854911,14099184.206795659,37818203.299411535,1,0.20330237848626953,0.11480981699592488,0.37580580091318777,1
000002,0.6168683981457551,45.081938071639584,2.739458267295263e-07,-1.3372282999863678,20.767228299986368,-0.06439127459234632,-1.5168400374090572,"const      1.197773e+01
vol_sum    2.055313e-09
dtype: float64",False,False,True,False,False,False,False,False,False,False,16199067.132324997,8724464.934004754,33728932.31596421,1,0.3449975067964397,0.209651949451099,0.49894889517865904,1
000006,0.5363517011626193,32.390602252205554,4.213392455328197e-06,-0.47673121574627775,4.756731215746278,-0.10022244144637547,-1.6244167079442993,"const     -2.332379e+00
vol_sum    4.589847e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,4133736.7709982265,3514639.994820241,8040323.47344204,1,0.09346118745438135,0.08107707920649644,0.15290519938837258,1
000008,0.5605096632598607,35.710160745936435,1.95322162622616e-06,-0.1124592995435938,2.3724592995435936,-0.04740199318286656,-1.027755093812228,"const     -1.143756e+00
vol_sum    1.539099e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,4701278.789401127,3018346.7404826176,2830975.3353100056,3,0.03247848326103599,0.030856285734298994,0.04919349550499055,1
000009,0.9766772589178163,1172.5449917458138,2.1290110515982423e-24,-0.1551834199170692,9.31518341991707,-0.01665919101338004,-0.8301483695106598,"const     -3.800314e+01
vol_sum    6.401179e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,6753375.543581974,2704062.309948835,14111260.659059003,1,0.1280629617563267,0.07600153682435817,0.4314162722939826,1
000012,0.8294469498559408,136.17179274336956,2.8720497287233757e-12,-0.9393751312463801,6.71937513124638,-0.13980096555081528,-2.9418586458289813,"const     -2.773583e+01
vol_sum    8.393172e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,3568724.6897738883,2184733.6701312345,12630933.008064616,1,0.0684380237715824,0.060082854735715806,0.12696456198484893,1
000016,0.7792792255214817,98.85711196036556,1.0925176292135776e-10,-0.2598590275174928,4.829859027517493,-0.05380261122260087,-1.5656415560019783,"const     -4.177852e+01
vol_sum    1.524176e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,1558456.2837717691,1230737.5675472054,1946276.7308337714,1,0.05893734597316587,0.04607057405887701,0.13164345787010182,1
000021,0.9628617362595288,725.9393924193373,1.44426838028525e-21,-0.22573579826221035,10.06573579826221,-0.02242615967539922,-1.4185043062138762,"const     -1.233005e+02
vol_sum    3.316472e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,1266122.1421588503,671030.084736746,1663711.0718511795,1,0.0839611428114705,0.05974569763824641,0.4189272013131024,1
000025,0.46502079589378364,24.33848303838143,3.327265166613184e-05,-1.2818213023709308,12.56182130237093,-0.10204103939362667,-1.2557871667891627,"const     -3.275592e+00
vol_sum    7.824979e-08
dtype: float64",False,False,False,True,False,False,False,False,False,False,467955.52682083775,370984.3302444834,912444.2725677533,1,0.20892657691203376,0.14248688319293956,0.3240678941210338,1
000027,0.10420477188811528,3.2571435092561183,0.08187928857928861,-0.12572142955349097,6.085721429553491,-0.020658426615283824,-0.3891803028294567,"const      2.317688e+01
vol_sum   -4.404063e-09
dtype: float64",False,False,False,False,False,False,False,False,True,True,2314485.3783516744,1537545.8984299998,2885351.4106026613,1,0.05439959301492571,0.040555138372909603,0.2028053253738556,1
000028,0.5736910579861143,37.680067295158885,1.2620854113630767e-06,-0.4463749799032115,29.996374979903212,-0.014880964123240595,-0.31405465736870697,"const      5.027318e+00
vol_sum    2.060742e-07
dtype: float64",False,True,False,False,False,False,False,False,False,False,666999.2520306178,386479.30576743436,1411867.618606751,1,0.25503864282602967,0.18221028946640555,0.5431574357402903,1
000030,0.003505163648337306,0.09848980503779634,0.755975722058689,-0.5294095256699736,5.219409525669974,-0.10143092299353872,-1.5614084220008986,"const      3.259731e+00
vol_sum    1.677149e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,740778.6682460571,499380.2642382675,1988598.065301959,1,0.05384964685807535,0.04331562863783807,0.12903487900563293,1
000031,0.2362969747092447,8.663466128525421,0.006458910175429197,-0.27350353942394534,4.413503539423945,-0.0619697111333105,-0.8258687904720765,"const      3.004433e+00
vol_sum    9.996416e-10
dtype: float64",False,False,False,False,False,False,False,False,False,False,4805769.037268347,4040953.9189385036,11300592.08267972,1,0.08015997757722512,0.07378966257892222,0.17248188310660414,1
000034,0.07721556716180211,2.3429479340919395,0.13707215250581123,-0.4062014720148781,14.616201472014879,-0.0277911790414642,-0.5686554162060452,"const      8.133809e+00
vol_sum    6.532179e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,1136540.2909417858,830684.0375093597,1362224.9097768306,1,0.21362496243493512,0.1844984510640435,0.5897711420542774,1
000035,0.94395543627788,471.6024260056612,4.630435023712232e-19,0.15668457474972897,3.9933154252502714,0.03923671387413859,1.5970361116579987,"const     -6.993228e+00
vol_sum    9.593609e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,970976.590537979,557145.2029894041,4881413.191779887,1,0.04193862990930944,0.03542801284180908,0.09038805230780785,1
000036,0.32026975357400433,13.192811629647624,0.0011159450308299336,0.10332513398179621,4.256674866018204,0.02427367305092038,0.48966567846047715,"const     -5.862662e-01
vol_sum    3.413895e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,2444383.728684564,1812486.77987308,17412145.4376578,1,0.04884936121846786,0.03535533905932516,0.3775579425730587,1
000039,0.009231116793819938,0.2608794791682708,0.613520338403889,-0.35520309749782264,13.235203097497823,-0.026837751931813984,-0.47203585095937317,"const      1.838611e+01
vol_sum   -3.151498e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,1534375.9331452306,1168024.5056113964,1947706.89278247,1,0.11202538882947335,0.06386400923374329,0.41797129088014123,1
000040,0.03186829421329851,0.921684759045534,0.34525054452998283,-0.37232250839208003,3.19232250839208,-0.11663060590316507,-1.4237162152009712,"const      3.322599e-01
vol_sum    7.029068e-10
dtype: float64",False,False,False,False,False,False,False,False,False,False,3635025.8302108515,3003856.007324068,4151323.560506855,1,0.04323406551671703,0.02906888370749743,0.08264381404557161,1
000046,0.18602657574633819,6.399157473320956,0.01732690019020627,-0.3546039458949837,1.8446039458949837,-0.19223852723731075,-1.7606699960956154,"const      1.367173e+00
vol_sum    3.317063e-10
dtype: float64",False,False,False,False,False,False,False,False,False,False,18440472.046202645,7424257.452223578,4172801.902490354,3,0.027180540434134932,0.021520999208151828,0.028284271247460618,1
000049,0.8501377968168209,158.83830482443344,4.644201741365012e-13,-3.216007100869817,34.35600710086982,-0.09360829072562378,-2.7822602685652793,"const     -9.420873e+01
vol_sum    2.436423e-07
dtype: float64",False,False,False,False,False,False,False,False,True,False,455695.3630200696,417850.53793353727,411765.64712503715,3,0.3906080750866509,0.3214691316345564,0.8213221049014382,1
