sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation
002307,0.9050911688852488,1522.6495602987568,1.932699373083456e-244,-0.3782993820670608,4.628299382067061,-0.0817361520589679,-11.637024252207624
000767,0.934380452389758,2278.2978217153536,2.0727128234868814e-283,-0.1694588982973299,3.93945889829733,-0.0430157802561594,-10.367651966771607
000505,0.9502032218344316,3046.698735845807,1.627198755809e-311,-0.8118967797229777,8.091896779722978,-0.1003345447704503,-8.9786577985108
600010,0.9785630061812756,7303.7330846382865,0.0,-0.2072564361905828,3.0472564361905827,-0.0680141105714348,-8.198825039643106
000630,0.9141276826328516,1703.2314220183175,2.231466106039979e-255,-0.1412863728161131,3.661286372816113,-0.0385892712094632,-6.469156964821339
600531,0.9296466080491336,2114.232919881689,3.7659561950184894e-276,-0.1873685342068567,6.147368534206857,-0.0304794699006981,-6.252473544500504
600218,0.9418776075662276,2592.8116669029446,4.706812871907368e-296,-1.1872374139769768,15.747237413976976,-0.0753933774392202,-6.096938010241779
600151,0.9172078157371418,1772.5495688338592,3.4833348783868963e-259,-1.4897386428188175,14.179738642818815,-0.1050610790751972,-5.155260095902654
600509,0.917838578646326,1787.385979500771,5.559152791674403e-260,-0.5565487846461057,6.886548784646106,-0.0808167925691542,-4.877435658859545
600633,0.9206055886478448,1855.255195864068,1.4960177883719996e-263,-0.4227672773004425,8.692767277300442,-0.0486343719800737,-4.728930938960925
600855,0.9199860657135068,1839.6517035034576,9.659559927403332e-263,-1.3375604336783835,18.827560433678386,-0.0710426843876055,-4.224758907924309
000008,0.9175335197159498,1780.1822346351005,1.3527589626689128e-259,-0.0310226708283725,2.7510226708283727,-0.0112767775988669,-3.394048896767096
000718,0.9525424168297488,3211.43169356116,3.5162e-317,-0.3593472162680529,5.059347216268053,-0.0710263994359967,-3.087168720799596
600163,0.9454962436600848,2775.5774857452543,9.407287534310452e-303,-0.4445705509541557,9.264570550954156,-0.0479860937438022,-2.89346899415204
002617,0.965409570495988,4465.556903866796,0.0,-1.665665943639434,15.795665943639436,-0.1054508211038839,-2.4931524307067865
002249,0.9345970045081108,2286.371130200632,9.37663658245913e-284,-0.2747782163615717,9.56477821636157,-0.0287281325448335,-2.4353483321370537
600917,0.9195985156200936,1810.950375225948,1.6713454100054207e-259,-0.1441316181679539,8.694131618167955,-0.0165780349893444,-2.1331434556807523
000829,0.9540062536007302,3318.733795917532,1.909e-320,-3.144662501052085,21.614662501052084,-0.1454874671718339,-2.0986148186500224
