sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,rzmr,rzmr_std,lev_ratio,lev_ratio_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate,lev_10%,lev_1%,lev_ratio_last,lev_ratio_rate
000031,0.1436745204293428,5.536748919984813,0.02473274548736711,-0.33960546815331494,4.129605468153315,-0.08223678285305554,-0.8924511181785691,"const      8.083063e-01
vol_sum    2.381026e-09
dtype: float64",False,True,False,False,False,False,False,False,False,False,False,False,False,False,4974446.243839631,4051674.002413469,8155628.40095862,1,0.06892024376045534,0.04107175560435711,0.06300793600809979,2,0.14176599822935865,0.14880368763576984,0.07718927957124468,1
000034,0.07668229310571772,2.740677075283713,0.10730411955429711,0.1745886870002824,14.825411312999718,0.011776313204018405,0.2659036824018746,"const      6.065631e+00
vol_sum    8.649581e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,False,True,1454709.6057358992,1326516.3693575915,1600417.8789895813,1,0.11760102040373754,0.09392261949808768,0.22304708023195494,1,0.1414218097603943,0.15200827619896715,0.10270304320487492,1
000035,0.9451327536031031,568.451725156493,2.2366433310647904e-22,-0.04409935380242391,4.464099353802424,-0.009878667634236463,-0.5687087659537243,"const     -5.389255e+00
vol_sum    8.244801e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,True,False,2047576.018422589,840660.2853594611,766819.4295189787,3,0.053103672189403116,0.04329553446620013,0.0420713679359204,3,0.10256504132861559,0.18954428682283803,0.03996694401503392,1
000036,0.4022950181582361,22.21118445142289,4.2882055070141034e-05,0.1830770523636609,3.7669229476363393,0.04860122038825819,0.9557094617880507,"const     -1.692966e+00
vol_sum    4.205726e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,2449591.2925236714,1852679.3703961943,3951858.7361590825,1,0.05683308895352729,0.03158617992558513,0.10183319694480521,1,0.12257485171787157,0.14872464220097362,0.0666488722270433,1
000039,0.03687498886781959,1.263464886253527,0.2691066152266672,0.1398809716771776,13.220119028322822,0.010580916206389384,0.2623952447703074,"const      8.458014e+00
vol_sum    2.815541e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,1742226.3555983424,931092.7378600809,4585991.335494724,1,0.0931665175908401,0.055966691772125696,0.1404279174523491,1,0.1386875073453539,0.17035756236943092,0.11920985403722412,1
000040,0.24430580739354446,10.66845785354008,0.0025446725291137446,-0.241343826148527,3.281343826148527,-0.07355030101548486,-1.087994608296389,"const     -1.263412e+01
vol_sum    3.836871e-09
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,2285915.774334275,1396585.8065492653,2285915.774334275,2,0.03577708763999816,0.022344215408752758,0.06107372593841741,1,0.04425278263097592,0.06812881370477235,0.018085300483127075,1
000046,0.5074790577727889,34.002227054086056,1.5861655807949343e-06,-0.22771855429374632,1.7277185542937463,-0.13180303801670562,-1.2826542175780131,"const      1.373266e-01
vol_sum    1.024849e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,True,True,False,10379564.363151422,5691953.41438631,11515236.944074169,1,0.02190890230020536,0.017971751311372453,0.027018512172211243,1,0.047581345852859995,0.06683938494637137,0.011841955619159681,1
000049,0.615274774196605,52.77550362362747,2.468238741277518e-08,-1.0698099646929151,36.859809964692914,-0.02902375149838426,-0.6931173743504131,"const     -3.090155e+01
vol_sum    1.218994e-07
dtype: float64",False,False,False,True,False,False,False,True,False,False,False,False,False,False,461420.2020097287,419067.51609523594,3835794.941485689,1,0.3468717342188849,0.31553607037792053,0.972923429669636,1,0.14139236797064772,0.1673010410234576,0.08171900090230251,1
000050,0.6197526989737542,53.78562585700573,2.0279290735909936e-08,-0.5984772295016345,9.698477229501634,-0.06170837084415033,-1.558180939537249,"const     -8.020227e+01
vol_sum    3.006160e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,True,False,1052156.478858682,349011.548225809,1114907.7186127563,1,0.05540758070878359,0.02641858927948175,0.16440802900101972,1,0.14465598072754224,0.16839103725668467,0.15428256083453754,2
000059,0.3859420832550823,20.740859127638835,6.81728244262828e-05,-0.24200583025918299,6.392005830259183,-0.03786070236568763,-1.1001752486024456,"const     -8.871859e+00
vol_sum    1.015022e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,1691342.9096645962,1346350.722047317,2278190.133575181,1,0.05338539126014901,0.026529168807057003,0.11631852818876089,1,0.12830887784793885,0.1684998281223551,0.17117333498034393,3
000060,0.000555009030765885,0.018325468815961227,0.8931404574203863,-0.08744068682948303,4.307440686829483,-0.02029991662957622,-0.3719286621510548,"const      4.000695e+00
vol_sum    5.425882e-11
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,5330325.73145929,1984514.8348675384,10285715.130401848,1,0.016431676725119564,0.010954451150051253,0.0831865373723362,1,0.14354466594512916,0.16471786282965523,0.11564765856011623,1
000061,0.11263383217194489,4.1887065299906805,0.04872724782089695,-0.023768463973228293,6.5537684639732285,-0.003626686555053951,-0.061515348528716526,"const      4.228013e-01
vol_sum    3.090043e-09
dtype: float64",False,True,False,False,False,True,False,False,False,False,False,False,True,False,4292106.152457342,2689272.774660563,5857669.282962837,1,0.08561541917201831,0.06465291950098433,0.14758048651498668,1,0.13213811025555364,0.16996026976891845,0.10933611264728264,1
000062,0.30244791917147484,14.308295548059846,0.0006207943572871106,-0.6236149937853206,12.353614993785321,-0.05048036498620362,-1.1983383165854264,"const     -7.296824e+00
vol_sum    5.191632e-08
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,457055.04138035746,440574.3598965087,680353.7024744558,1,0.10401922899154388,0.07072058472298402,0.18088670487351544,1,0.11335673324327541,0.14542258345307066,0.03374325407553451,1
000063,0.5616432507216567,42.281149553023056,2.2161386585750794e-07,-0.8576925259612338,23.387692525961235,-0.03667281520009562,-1.8747505585521778,"const     -3.602907e+01
vol_sum    5.264878e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,5960061.249608713,4581109.707136017,7275299.9938830165,1,0.19295077092359317,0.09765709216069735,0.6581413222097592,1,0.11339596326348295,0.12088628713516095,0.06279795345744664,1
000066,0.6865542505010462,72.28137661062827,7.984246990757379e-10,-0.21494838943665862,9.84494838943666,-0.02183336884399434,-0.4041656280770461,"const     -2.913616e+01
vol_sum    9.272405e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,4933486.351250118,4200453.399445588,6949450.223430865,1,0.06892024376040067,0.03369269937861727,0.17369513522257904,1,0.12533652110869387,0.13003968852576595,0.12247953737255458,1
000069,0.49668450958139154,32.565238162159154,2.2903554858483525e-06,-0.49569023902749887,6.125690239027499,-0.08091989958444154,-0.8487836935557198,"const     -1.530654e+01
vol_sum    3.889559e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,9863797.696623461,7881065.578076232,7228836.317132114,3,0.08584870412534458,0.059394598001172944,0.0998498873309383,1,0.1355153212807371,0.16700661455225219,0.13101733307287794,1
000070,0.5397788336333491,38.7046550912207,5.037337594912343e-07,-0.08760292028501304,5.597602920285013,-0.015650077637259875,-0.3688417313937528,"const     -1.117229e+01
vol_sum    1.407758e-08
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,931371.9525598758,669301.791190133,1043080.2852943285,1,0.04949747468307824,0.02142046300906105,0.10212737145350291,1,0.12263363117653067,0.20377993442875478,0.05984076990752372,1
000078,0.37672019402020496,19.945723065941536,8.810989135385172e-05,-0.06413864793566182,3.874138647935662,-0.016555589193958806,-0.3431385414865511,"const     -1.354148e-01
vol_sum    6.638843e-10
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,4303619.964149867,2847814.8181907507,27276019.456048615,1,0.051185935568280105,0.043952552735813395,0.0646529195009801,1,0.12162477445140281,0.16630565765189775,0.18278621147682275,3
000088,0.21627270259838616,9.10648284091788,0.004879764842085957,-0.2717776263775331,5.261777626377533,-0.05165129461478937,-1.0435117715637183,"const     -3.912015e+00
vol_sum    4.782374e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,True,False,1573194.981486543,996214.0136125064,3388118.999220994,1,0.03605551275461393,0.032550170938612046,0.0731436941916322,1,0.09649412050758394,0.13834464157346424,0.07394236330958535,1
000089,0.7205246681372621,85.07839990760866,1.1763662759194173e-10,-0.18373601078610058,6.4437360107861,-0.028513894808624506,-0.9256063395763937,"const     -4.222096e+00
vol_sum    1.687357e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,True,False,1636524.6997727503,1302455.9005593972,1636524.6997727503,2,0.04764451699828698,0.03703058924789297,0.07120393247564527,1,0.14055800058044404,0.16292510582007544,0.10577627774137108,1
000090,0.7378472526946692,92.88080933427989,4.0480855478313895e-11,-0.29169841160310384,7.231698411603104,-0.04033608635214655,-1.154715363141677,"const      3.217199e+00
vol_sum    1.757341e-09
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,True,4620148.091908386,4069273.3624523655,14996594.37317779,1,0.12441864811996914,0.07523568735827649,0.24519380090042175,1,0.12274072435533612,0.14140849899110908,0.12096821857563282,1
000099,0.3255930596948583,15.931880779680057,0.00034469496922760973,0.16199967150834826,7.208000328491652,0.022474981149487316,0.8598846261796022,"const      4.275730e+00
vol_sum    4.658257e-09
dtype: float64",False,False,False,False,False,False,False,False,False,True,False,False,True,True,880058.516042428,776043.9594117869,1439813.5602380245,1,0.05412947441090843,0.04442597155407757,0.15789236840329637,1,0.15379002642555578,0.1753138184891177,0.09628007358382311,1
000100,0.01775441195641969,0.5964858500701694,0.44541830896015255,-0.20457447088501457,4.554574470885014,-0.044916264338798494,-0.6897689877507688,"const     -1.048775e+00
vol_sum    1.840593e-10
dtype: float64",False,True,False,False,False,False,False,False,True,False,False,False,False,False,10074358.894952394,8996532.907794932,85779975.00338343,1,0.03435112807463473,0.024066842119948646,0.0791833315793169,1,0.17180457667181132,0.20527481084198898,0.13487777290834602,1
000150,0.9579912929499949,752.5514324856117,2.7118699999649838e-24,-0.10484551824214483,2.2148455182421447,-0.047337621237510744,-1.1200432113282783,"const     -5.707412e+00
vol_sum    3.574756e-09
dtype: float64",False,True,False,True,False,False,False,False,False,False,True,False,False,True,2153883.8732037,1775179.741278979,2961730.2155835824,1,0.02701851217222319,0.023727763414726703,0.04147288270667579,1,0.015168657411930754,0.02368477772177547,0.0053908006048929485,1
