sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params,open,open_std,high,high_std,low,low_std,close,close_std,volume,volume_std,rzmr,rzmr_std,lev_ratio,lev_ratio_std,volume_10%,volume_1%,volume_std_last,volume_std_rate,close_10%,close_1%,close_std_last,close_std_rate,lev_10%,lev_1%,lev_ratio_last,lev_ratio_rate
000001,0.5644486163187263,20.73504573620739,1.6773757660994802e-06,0.2940867501303437,14.045913249869656,0.020937531429867883,0.9739870328571663,"const       1.896724e+01
lev_buy    -1.234787e-09
lev_sell    1.803500e-08
dtype: float64",False,False,False,False,False,False,False,True,False,False,False,False,False,False,10917603.970115913,8500837.924482578,102254772.42284332,1,0.09343446901439204,0.06427019808635501,0.2236515146382931,1,0.12878938160486714,0.14511203640210663,0.14653772656378816,3
000002,0.05966729994353803,1.015254280787306,0.3736841034223803,0.5640501685172872,18.01594983148271,0.031308378064619974,1.0195580334174084,"const       1.356988e+01
lev_buy     8.976571e-10
lev_sell    4.591332e-08
dtype: float64",False,False,False,True,False,False,False,True,True,True,True,False,True,False,14637226.938753735,12882948.002297323,39946353.86630391,1,0.1753567791674468,0.1337763743118237,0.3038914279804259,1,0.13320907068093746,0.16360378388649766,0.09178845597430287,1
000006,0.2737743265944359,6.031719045361709,0.005986122048468007,-0.04844887518663832,4.448448875186639,-0.010891183993792804,-0.385396496645033,"const       1.719547e+00
lev_buy     6.515086e-09
lev_sell    5.268227e-07
dtype: float64",False,True,False,False,True,False,False,False,False,False,False,False,False,False,5155095.592616791,4510463.440780753,5700923.222978105,1,0.048682645778552455,0.04271256193550783,0.043931765272974835,2,0.19331413550062754,0.2557423363939783,0.20820698033497972,2
000008,0.757522101785941,49.985395443650845,1.4280865961546286e-10,0.020660660126363695,2.4993393398736363,0.008266448575729725,0.25037059784807086,"const       5.689289e-01
lev_buy     8.319843e-09
lev_sell   -5.155531e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,5901449.774832005,4166023.182926835,11441261.20223851,1,0.011401754250998661,0.010954451150103827,0.014142135623736547,1,0.11519152910244704,0.15668540062566777,0.1401794054743749,2
000009,0.6614344186553578,31.258200129069916,2.9804709185528364e-08,-0.35108203870749577,15.561082038707497,-0.022561544103051116,-0.31853731984119754,"const      -1.435527e+00
lev_buy     5.227079e-09
lev_sell    5.462108e-07
dtype: float64",False,True,False,True,False,True,False,True,True,False,False,False,False,False,14680459.306039141,9627953.187858082,30456618.86873101,1,0.17484278652558774,0.16018541213375861,0.6576473218983239,1,0.19820835813990967,0.20922309978870487,0.11446768384352304,1
000012,0.6872253702147568,35.15504416386296,8.388886130856287e-09,0.49678048594722846,6.4632195140527715,0.07686269743230824,2.3511275693294897,"const       2.147127e+00
lev_buy     8.618073e-09
lev_sell   -9.718109e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,8738802.59624929,6284396.977771395,25307447.21741383,1,0.0650384501660278,0.060740735064013604,0.2766224864323143,1,0.11818230755115852,0.18842737614293975,0.07513181718762216,1
000016,0.8749846457628212,111.98427919217698,3.559702413643381e-15,-0.050521851893058134,6.260521851893058,-0.008069910638165303,-0.24143640433487878,"const      -2.157520e+01
lev_buy     2.747684e-08
lev_sell   -1.426164e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,True,1606072.3225400536,1337711.77739806,13010785.162695577,1,0.032710854467586,0.022211196685399746,0.21672563300170763,1,0.15705209954333252,0.20650519891166716,0.21689518311974879,3
000021,0.5340837566777257,18.340936229031183,4.930893534894016e-06,0.34974786660794877,10.85025213339205,0.03223407735674518,0.9020515303012085,"const       1.668089e+01
lev_buy    -4.862705e-09
lev_sell   -6.489737e-07
dtype: float64",False,False,False,False,False,False,False,True,True,False,True,False,False,True,1394604.983380349,840696.23435777,7286192.863940928,1,0.10894952959974889,0.09307022582861607,0.14621901381150232,1,0.1342269828519931,0.24495286354913084,0.08724422122703582,1
000025,0.8807508035886018,118.17281190559602,1.6721967615852338e-15,6.855353785634502,24.4946462143655,0.27987151664244114,2.698619475220765,"const      -1.177788e+00
lev_buy     1.066544e-07
lev_sell    3.028942e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,550961.9735610615,472898.62878956547,11869162.622047897,1,0.16084153692377903,0.11394360286744389,2.130462391125498,1,0.1300777252949251,0.24167323026558685,0.05342640182945262,1
000027,0.7231192165816802,41.78660332604851,1.1931225160541425e-09,0.018674887963369358,6.351325112036631,0.002940313656433346,0.12241689352092519,"const       1.169930e+01
lev_buy    -9.406290e-09
lev_sell   -1.409712e-07
dtype: float64",False,True,False,False,False,True,False,True,False,False,False,False,True,False,3228853.0036027804,2378371.397500528,9438893.99241316,1,0.08473488065727283,0.03631503760804114,0.1358307770720687,1,0.11203144646349948,0.1346379567545202,0.11262619114262243,2
000028,0.38390797440178126,9.970146236618097,0.000430853276994038,0.7887807560590048,29.111219243940994,0.027095421509120615,1.7575153541578772,"const       2.878892e+01
lev_buy     4.950669e-09
lev_sell   -3.613855e-06
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,369225.01125709224,259041.55054386854,454584.8055517253,1,0.16385969608175185,0.13007583067589434,0.2691653766739044,1,0.1219782294951917,0.1559341396572017,0.04545004842353638,1
000030,0.6892373081280976,35.48623183697759,7.565924365179498e-09,-0.2655227634821822,5.785522763482182,-0.04589434254033939,-1.178406139379429,"const       1.483545e+00
lev_buy     1.505907e-08
lev_sell   -1.759243e-06
dtype: float64",False,False,False,True,False,False,False,True,True,False,True,False,True,True,1871898.390556576,1774365.7527309419,2664165.1897910363,1,0.054497706373744105,0.03089415528433235,0.09203260291873944,1,0.1679507497906106,0.21705235795979058,0.11256506937115156,1
000031,0.10369570171902165,1.8510802979371996,0.17349528066239786,0.050515823636608115,3.8094841763633918,0.013260541663368059,0.5389139260988649,"const       3.937169e+00
lev_buy    -7.037175e-10
lev_sell    4.293825e-08
dtype: float64",False,False,False,False,True,True,True,False,False,True,False,False,False,False,1664681.0771214382,1502060.8736575632,9131070.512385761,1,0.029664793948383898,0.023277612038299044,0.052153619241621825,1,0.14541467555256912,0.14880368763576984,0.06846657653893594,1
000034,0.07537064828718298,1.3042311174321026,0.2854189546071397,0.34994823946251685,14.920051760537483,0.023454894465453936,0.6161404414647652,"const       2.414938e+01
lev_buy    -2.189503e-08
lev_sell    6.126107e-09
dtype: float64",True,False,False,False,True,False,True,True,True,False,True,False,False,False,1228236.1880949445,965763.3556443291,1590779.793160353,1,0.11760102040373471,0.09037832276403802,0.18646715528477636,1,0.15062700408766397,0.172800592005909,0.11224327171157607,1
000035,0.07241702426021213,1.249130717647445,0.30036153038112434,0.9361327602798388,4.623867239720161,0.20245666922229674,1.6348073043105276,"const      -2.091863e-01
lev_buy     2.105870e-08
lev_sell   -1.560301e-06
dtype: float64",False,False,False,True,False,False,False,False,False,False,False,False,True,False,2311183.897573211,840660.285359454,8609234.703758214,1,0.0479583152330655,0.043295534466191,0.15319921670815992,1,0.13540592166701187,0.20242114486972873,0.05955363550575254,1
000036,0.10190372173805295,1.8154618689259194,0.1791291836216167,0.1427626587202111,4.097237341279789,0.03484363897640809,0.6725960565631005,"const       2.603761e+00
lev_buy     4.617108e-09
lev_sell    1.256208e-07
dtype: float64",False,True,False,True,False,True,True,False,False,False,True,False,True,False,3639945.022838421,2423401.5915173255,3639945.022838421,2,0.05567764362830296,0.02868786566312141,0.05567764362830296,2,0.14228464901819204,0.16649908230166627,0.0933405998842426,1
000039,0.7655299285827004,52.23898633750958,8.344467960403924e-11,0.1724967057367195,13.43750329426328,0.012836961000810436,0.7216273632121485,"const       2.579444e+01
lev_buy    -1.076042e-08
lev_sell   -4.729246e-07
dtype: float64",False,True,False,True,True,True,False,True,False,False,True,False,True,False,1521894.878533436,931092.7378600899,5880867.607620988,1,0.0572712842530916,0.03710858584405475,0.1040192289915245,1,0.14278850464896536,0.17035756236943092,0.11475682348206756,1
000040,0.7184302997569215,84.20011056413804,1.3323770227129738e-10,0.038524549870156743,3.071475450129843,0.012542685265001276,0.5176716499212717,"const       8.263813e+00
lev_buy    -5.689038e-08
lev_sell    0.000000e+00
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,1838604.3323532967,1346323.2431372385,4100358.8086178764,1,0.02549509756797676,0.01581138830086242,0.02880972058178721,1,0.045607057508745455,0.0633122579635464,0.022183329675491855,1
000046,0.001678140928061067,0.026895389102205694,0.9734850518553128,0.004408593913405312,1.4855914060865947,0.00296756826630992,0.16208199426930855,"const       1.537821e+00
lev_buy    -2.823849e-10
lev_sell    2.409780e-09
dtype: float64",True,False,False,True,False,False,True,False,True,False,True,False,True,False,8426219.79020408,6349125.347816529,45789830.41396066,1,0.011401754250991363,0.008944271909999132,0.021908902300206617,1,0.0456567571978212,0.05262843860096242,0.05139103301501302,2
000049,0.30199029929485643,6.922317532029248,0.0031752895456111005,2.9501487513889444,38.25985124861106,0.07710821278992933,1.181863664760648,"const       3.228581e+01
lev_buy     1.411930e-08
lev_sell   -8.352344e-05
dtype: float64",False,False,False,True,False,True,False,True,False,False,True,False,False,False,1187606.3182702844,989460.7199281048,4513252.744502606,1,0.34224260401066253,0.2298471617343464,1.3032843128036928,1,0.15529597734047543,0.17025850129193237,0.1223898912420928,1
000050,0.6676080140351253,32.135937915455,2.2202849188911914e-08,0.4331561274199771,9.496843872580023,0.045610534745192235,2.4540067030191217,"const       2.200197e+01
lev_buy    -1.185455e-08
lev_sell   -7.230926e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,1114907.7186127563,415715.27812214417,8588454.84714062,1,0.06618156843110534,0.026418589279485417,0.22704625079485394,1,0.13943207059805893,0.15192762463517545,0.12716151831999148,1
000059,0.695324983339831,36.51497210172049,5.513019096436936e-09,0.09918176223471686,6.0508182377652835,0.016391462829884497,0.5854796756846931,"const       1.004414e+01
lev_buy    -9.403149e-09
lev_sell   -1.120974e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,1532167.4229004814,1346350.722047317,4425902.687140252,1,0.04604345773288524,0.02146255932948145,0.27471803726730476,1,0.13671286031269628,0.17458158942931193,0.1174458079813663,1
000060,0.846347683238793,88.13119917264764,9.652188762197458e-14,0.014599655835157321,4.475400344164843,0.003262201079774411,0.20330832065102192,"const       7.241177e+00
lev_buy    -2.745021e-09
lev_sell   -6.458915e-08
dtype: float64",False,False,False,False,False,True,False,False,False,False,False,False,True,False,2704429.9267289597,1910383.148173491,4792402.660670565,1,0.016431676725154786,0.010954451150102747,0.023021728866450968,1,0.1373763544302282,0.18235191250344795,0.10049309937133998,1
000061,0.4089263242285853,11.069383489491866,0.00022195548744509782,0.03397717482615814,6.456022825173842,0.005262864730538376,0.14574212815762155,"const      -1.518036e+00
lev_buy     1.659614e-08
lev_sell    2.864642e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,3562533.80382704,2854063.777135809,4771373.889166923,1,0.042071367935946444,0.02481782459253793,0.042071367935946444,2,0.1612191633618265,0.1974992049507882,0.18067729342441868,2
000062,0.39925882399319057,10.63376615259454,0.0002877387854696557,0.14720738335475758,12.082792616645243,0.012183225188518491,0.34433601772079553,"const       1.252761e+01
lev_buy     1.790315e-09
lev_sell   -2.429510e-06
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,624178.723968384,446729.90106992424,1094307.6814889875,1,0.07021395872617031,0.040971860751903115,0.03646916505771704,3,0.15612018570098904,0.23768826035118956,0.08626439034414135,1
000063,0.7453286989726046,46.82608183746175,3.1309786880824745e-10,0.1433757603666308,25.37662423963337,0.005649914622714303,0.3373349143862024,"const       6.238499e+01
lev_buy    -9.262185e-09
lev_sell    6.644683e-07
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,6909342.651577781,6118134.230355579,24078233.041513707,1,0.1312630945848392,0.09765709216067245,0.3757259639683785,1,0.12096173361497393,0.12988476058528325,0.09819082967722507,1
000066,0.029856057583633078,0.4923979838994975,0.6157137050552091,0.9182977188026875,9.871702281197312,0.09302323881381375,1.4219354799103565,"const      -3.723755e+00
lev_buy     8.156312e-09
lev_sell    1.579462e-08
dtype: float64",False,False,False,True,False,False,False,False,False,False,False,False,True,False,5499940.162309569,4200453.399445588,5499940.162309569,2,0.05412947441088562,0.02561970527635552,0.08689073598497214,1,0.12680468671919845,0.13003968852576595,0.10488597448325505,1
000069,0.6326152604144984,27.551074054006307,1.1013815629994027e-07,0.0858794272860468,5.614120572713953,0.015297040057073686,0.9474650626904747,"const       9.358402e+00
lev_buy    -2.140544e-09
lev_sell    3.087427e-08
dtype: float64",False,False,False,False,False,False,False,False,True,False,False,False,True,False,6296752.258722253,5519469.867571175,30831547.454329617,1,0.04949747468306025,0.028840312610920654,0.0831865373723462,1,0.14946934927242855,0.1664096118131597,0.11805205555886349,1
000070,0.3114235037448766,7.2363435101506335,0.0025540836202467125,1.0676662484402373,5.392333751559763,0.19799706354069957,2.3356432979871258,"const       1.252397e+01
lev_buy    -3.680085e-08
lev_sell    5.625077e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,1050788.367377228,953991.0806028733,33154600.99399522,1,0.044497190922613734,0.0214204630090341,0.3882396167317364,1,0.07498545636858137,0.08292317191354442,0.063196657200398,1
000078,0.614270836132701,25.4798814784573,2.4017047318970804e-07,0.14960486049862753,3.6303951395013723,0.04120897443664368,1.1362122296176274,"const       2.031124e+00
lev_buy     4.304520e-09
lev_sell    8.496087e-07
dtype: float64",False,False,False,False,False,False,False,True,True,True,False,False,True,True,3676604.200658221,2939142.630119453,5152770.092917728,1,0.02949576240749229,0.022168773958575708,0.054037024344419794,1,0.13631419707902043,0.17712680271001993,0.10396066654958137,1
000088,0.06666480843674039,1.1428230121713476,0.3315906381583,0.0793223925582538,4.970677607441746,0.01595806423645298,0.4428754202746758,"const       7.554064e+00
lev_buy    -1.370621e-08
lev_sell   -1.866569e-07
dtype: float64",False,False,False,True,False,False,False,False,True,True,True,False,True,False,1573194.9814865603,996214.0136125255,5130547.076823289,1,0.03605551275464069,0.0313166930317571,0.04266145801542928,1,0.12064378893389047,0.13834464157346424,0.09840500395967841,1
000089,0.6902422853827372,35.65327365541044,7.183797849245557e-09,0.05219095763938686,6.5978090423606135,0.007910346799111602,0.6217790929280863,"const       1.158388e+01
lev_buy    -1.406242e-08
lev_sell   -1.232944e-07
dtype: float64",False,False,False,False,False,False,False,False,True,True,True,False,True,False,1646952.6913829364,1468747.480377074,2682495.4228272596,1,0.03701351104665965,0.031066345682011942,0.0689202437604581,1,0.14055800058044404,0.16364439590737145,0.09707915532169095,1
000090,0.5701280256313555,21.22038410040406,1.3596468263606837e-06,0.14194524064313807,6.6280547593568615,0.02141582195632183,0.5206567822747573,"const       2.852110e+00
lev_buy     6.825180e-09
lev_sell    2.410693e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,5564626.217502689,4621313.458551818,5564626.217502689,2,0.08792041856133904,0.05852313072449863,0.08408329203832068,2,0.13160861969562176,0.15366106204636765,0.08116616573672183,1
000099,0.6781357691218922,33.71040104813421,1.3266716600973121e-08,0.1839706790347604,7.80602932096524,0.023567766846667677,0.8472962129641236,"const       1.706185e+00
lev_buy     1.833638e-08
lev_sell    1.482602e-05
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,935630.5505464217,776043.9594117868,6907049.090927963,1,0.05412947441090593,0.04336135735571224,0.10158740079362635,1,0.1689887972367192,0.21538525701440248,0.12093164299310497,1
000100,0.4461860167050109,12.890567018199677,7.83109826164151e-05,0.03001211149109917,4.439987888508901,0.006759503008729661,0.27238643326686424,"const       6.397445e+00
lev_buy    -6.283847e-10
lev_sell    3.973413e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,True,False,False,False,23290583.229054295,20382253.717383385,219881629.94195852,1,0.04242640687119054,0.024295605443413002,0.1454991408909368,1,0.1764562002281132,0.20527481084198898,0.1950411667733451,2
000150,0.9021700214630113,304.31991454462997,3.185669124984112e-18,0.007843554281389054,2.102156445718611,0.003731194363466025,0.05490747748696959,"const       8.641659e-01
lev_buy     1.208475e-07
lev_sell    0.000000e+00
dtype: float64",False,True,False,True,False,False,False,False,False,False,True,False,False,True,2153883.8732037,1775179.741278979,2961730.2155835824,1,0.02701851217222319,0.023727763414726703,0.04147288270667579,1,0.015168657411930754,0.02368477772177547,0.0053908006048929485,1
000151,0.6711382996275796,32.6526706572421,1.871598840878736e-08,-1.2304033875062004,17.1404033875062,-0.07178380576521629,-0.41936683567955585,"const       5.502415e-01
lev_buy     5.073144e-08
lev_sell    1.674365e-05
dtype: float64",True,False,False,False,False,False,False,False,False,False,False,False,True,False,1782858.0959196663,1451497.651255726,11366437.376232866,1,0.13946325680981364,0.11562931568541916,0.21626372788806986,1,0.14866949604231233,0.45425380340273425,0.08366650729255448,1
000155,0.10645267805046044,1.9061585290091132,0.1651508907871203,1.9911371112453793,20.77886288875462,0.09582512392066311,0.7459316008121357,"const       6.602743e+00
lev_buy     7.603929e-09
lev_sell    1.916861e-05
dtype: float64",False,True,False,False,False,True,False,False,False,False,False,False,False,False,5843602.882190516,2058348.287258746,8696972.333569096,1,0.36428011200175237,0.31666832052441296,0.39480374871594504,1,0.16032977705048257,0.17553317564067192,0.1705167022853802,2
000156,0.7819033778723308,57.36197985970607,2.620493149494351e-11,0.2174922456787849,7.562507754321215,0.028759275724974942,1.8960652899934913,"const       1.663765e+01
lev_buy    -1.717305e-08
lev_sell   -3.904231e-07
dtype: float64",False,False,False,False,False,False,False,False,True,False,True,False,True,False,992713.7117700645,822535.0714154097,1261995.4503342316,1,0.05630275304103808,0.04035766823940136,0.05999999999998306,1,0.13945790138667788,0.17534112722731945,0.16547673288457915,2
000157,0.701812751948677,37.6575594850593,3.906835013354958e-09,0.009511996569282033,6.100488003430718,0.0015592189614884566,0.12645626382269834,"const       1.356821e+01
lev_buy    -5.259448e-09
lev_sell   -2.849307e-10
dtype: float64",False,False,False,False,False,True,False,False,True,True,True,False,True,False,5631982.517506916,5276572.152977191,13566880.471991867,1,0.03577708763999903,0.02443987236181846,0.04037325847638605,1,0.10406478835219451,0.12419798411124809,0.12995289765976095,3
000158,0.38392773975045236,9.970979432703242,0.00043063216933760136,0.3617435855090916,5.748256414490909,0.06293101062735547,1.3301917984983935,"const      -4.531453e+00
lev_buy     2.071871e-08
lev_sell    1.229066e-07
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,False,False,5722348.965231702,4660007.820025631,6524993.560280525,1,0.03391164991562159,0.030822070014839234,0.04658325879541151,1,0.12597107488783732,0.14689358467315722,0.08170281055033107,1
000159,0.08742913824930287,1.532885029120071,0.2313479008295593,0.3929588327031919,5.5470411672968085,0.07084116033245326,1.286103556901057,"const       5.862886e+00
lev_buy    -1.152221e-09
lev_sell    1.063359e-05
dtype: float64",False,True,False,False,False,False,False,False,False,False,False,False,True,False,1234197.1434676468,1118451.0714014533,10118791.113623539,1,0.04159326868617399,0.03439029329884962,0.11738824472664093,1,0.19641595317574684,0.2449297002407228,0.15028648095458513,1
000166,0.753831196921793,48.996050677131734,1.8185624711849126e-10,-0.022884836511702034,4.292884836511702,-0.005330875945486048,-0.3549254533191693,"const       1.681119e+00
lev_buy     1.433226e-09
lev_sell   -2.851311e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,False,9381097.909817047,4267808.846589111,101297026.07282455,1,0.011401754250989082,0.008366600265337507,0.07231873892705006,1,0.1513866067921779,0.19739407268931403,0.12822849351151175,1
000301,0.7204173830380949,41.228164518468986,1.393678661785664e-09,-0.2214747987095791,17.81147479870958,-0.012434388573237332,-0.1931371262852052,"const       5.134967e+00
lev_buy     9.178928e-09
lev_sell    3.131194e-08
dtype: float64",False,False,False,False,False,False,False,False,False,False,False,False,True,True,5160920.256053644,2840433.6481646122,24032652.04808811,1,0.17392527130927316,0.15927053443412642,0.7082160687248392,1,0.21953888799465826,0.30081575399223615,0.0657368951771956,1
