sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params
000001,0.7603739581415111,1729.377174421842,0.0,1.0496613172222613,14.75033868277774,0.0711618451478561,2.298445603238863,"const       1.971743e+01
lev_buy    -1.771368e-09
lev_sell    6.762184e-08
dtype: float64"
000002,0.372238087591507,322.8670530774199,7.931533343371841e-111,-3.2696819082198623,23.769681908219862,-0.13755682220926835,-6.4986646589962165,"const       3.305103e+01
lev_buy    -2.182227e-09
lev_sell    1.060000e-07
dtype: float64"
000006,0.7247282930609311,1363.7771203586092,6.258875539449679e-291,0.45932280284989435,4.370677197150106,0.10509190730200692,12.315228753358483,"const       2.437730e+00
lev_buy     4.911155e-09
lev_sell    2.710652e-07
dtype: float64"
000008,0.20718416997576083,110.27998738004254,2.8230339916446375e-43,-0.6917942970032076,3.161794297003208,-0.21879800898461352,-39.54082113354884,"const       2.800930e+00
lev_buy     1.704654e-09
lev_sell   -1.748592e-07
dtype: float64"
000009,0.6324550066095462,936.9512775081166,2.049148285367032e-237,-1.9338138439458987,11.9138138439459,-0.1623169431112592,-2.581109252777251,"const       8.868810e-01
lev_buy     2.792391e-09
lev_sell    1.272671e-06
dtype: float64"
000012,0.5667420716351703,712.2571516925543,1.6161418711270766e-198,-0.02715068216079075,6.847150682160791,-0.003965252616906434,-0.18968137064140986,"const       1.663147e+00
lev_buy     6.112626e-09
lev_sell    7.967776e-07
dtype: float64"
000016,0.5998456929971769,472.19632523604895,5.0310791760930316e-126,-1.2118677121854429,6.331867712185443,-0.19139182422482529,-16.120056238867527,"const       3.786332e+00
lev_buy     2.376691e-09
lev_sell    4.789633e-06
dtype: float64"
000021,0.8303994629307165,1559.4421663617113,3.737408649584823e-246,-3.500348113425188,14.140348113425189,-0.24754327724802425,-4.770750979357228,"const       7.254430e+00
lev_buy     6.271207e-09
lev_sell   -2.368483e-08
dtype: float64"
000025,0.5308861743093725,361.57137863530966,9.40579104177506e-106,-2.922098627825255,16.302098627825256,-0.17924677641427514,-9.003391523137314,"const       1.341820e+01
lev_buy     1.514979e-08
lev_sell    2.522670e-05
dtype: float64"
000027,0.8646180840763021,3477.4551945688518,0.0,-0.5387307264087235,6.7087307264087235,-0.08030292888161776,-8.855634056761824,"const       3.054598e+00
lev_buy     7.720373e-09
lev_sell   -2.116281e-07
dtype: float64"
000028,0.21273249274437322,147.13276139529557,2.745409875139385e-57,-10.06638181711169,41.59638181711169,-0.24200138034531257,-5.454155739340868,"const       4.440134e+01
lev_buy     1.844718e-08
lev_sell   -2.129401e-05
dtype: float64"
000030,0.05037079515849263,28.88169174238568,6.000493743689815e-13,-1.7691541834025823,6.829154183402582,-0.25905904829360765,-29.602196362946295,"const       5.159747e+00
lev_buy     7.034876e-09
lev_sell    2.505657e-06
dtype: float64"
000031,0.6575625244550772,929.3967061572569,5.461888041413878e-226,-0.07049119451186048,4.34049119451186,-0.016240372656668424,-1.438090311623867,"const       5.216844e+00
lev_buy     2.070386e-09
lev_sell   -6.358825e-07
dtype: float64"
000034,0.2926383101275849,132.17840522664915,9.129993307688229e-49,-3.158541238750523,18.428541238750523,-0.1713939914087674,-4.072644708843277,"const       1.298385e+01
lev_buy     1.091788e-08
lev_sell    6.900463e-06
dtype: float64"
000035,0.5245172747808211,352.4487019275476,6.991179445298281e-104,-0.787573966876205,5.487573966876205,-0.1435195173003801,-44.233209984146576,"const       5.622753e+00
lev_buy    -5.230707e-10
lev_sell   -3.530794e-08
dtype: float64"
000036,0.24276183049944433,173.11777687614807,6.103070246523183e-66,-0.7963352790841736,4.7163352790841735,-0.16884619772808165,-8.35363643293836,"const       2.145515e+00
lev_buy     1.011516e-08
lev_sell   -9.266252e-07
dtype: float64"
000039,0.8428173175844094,2919.6220752318213,0.0,-2.3034481987277964,15.733448198727796,-0.14640453698598968,-5.07774691239757,"const       2.485764e-01
lev_buy     1.365513e-08
lev_sell    1.735342e-07
dtype: float64"
000040,0.2746635583871374,157.52695402285295,9.647858252799743e-59,0.059517972482464376,3.160482027517536,0.018831928789423923,0.38763898579969325,"const       2.070081e+00
lev_buy     1.061015e-08
lev_sell    5.632528e-08
dtype: float64"
000046,0.5487087268710124,662.0378446712651,7.108882385128387e-189,-0.26684889916591836,2.1268488991659185,-0.12546678763619168,-2.358426405350737,"const       3.466837e+00
lev_buy     3.772138e-09
lev_sell   -7.570681e-07
dtype: float64"
000049,0.17960762258930563,119.20680054163809,1.5302774961992947e-47,-7.152981624498331,41.55298162449833,-0.1721412361966622,-1.5415617211235855,"const       3.463055e+01
lev_buy     3.324505e-08
lev_sell   -2.127531e-04
dtype: float64"
000050,0.3640953203579841,311.7604073090445,8.850247673650931e-108,-2.1960180855642726,12.336018085564273,-0.17801676929560228,-9.332461526080353,"const       6.450074e+00
lev_buy     4.983366e-09
lev_sell    3.160000e-08
dtype: float64"
000059,0.2366636329043208,168.81594231740638,1.3766919337471189e-64,0.789411076527065,5.830588923472935,0.13539131070431557,12.851751836505631,"const       3.349600e+00
lev_buy     5.081094e-09
lev_sell    7.829307e-06
dtype: float64"
000060,0.7769397434468268,1896.5444442854025,0.0,-0.3693464966617652,5.019346496661766,-0.0735845785716144,-2.855921235215223,"const      -2.408902e+00
lev_buy     6.237521e-09
lev_sell    1.317589e-07
dtype: float64"
000061,0.4301215773879854,410.58957281905515,1.3980546907562595e-133,1.6301498499545648,5.549850150045435,0.2937286243559602,48.661696599971314,"const       3.202223e+00
lev_buy     4.602093e-09
lev_sell    8.755016e-07
dtype: float64"
