sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation,params
000001,0.8298979766484645,5225.221402297226,0.0,-1.224115404871581,15.714115404871581,-0.07789909729771294,-2.6089681285813775,"const      8.906962e+00
vol_sum    1.602879e-09
dtype: float64"
000002,0.04248417534809157,47.47500401780157,9.493506249439085e-12,-10.12099186464934,26.21099186464934,-0.3861354013962166,-21.239094602188352,"const      2.770280e+01
vol_sum   -6.452519e-10
dtype: float64"
000006,0.14697357944421796,175.22567495316548,5.087872228583116e-37,-0.9737287756661521,5.113728775666152,-0.19041463057244506,-25.757283493135045,"const      6.325206e+00
vol_sum   -8.533945e-10
dtype: float64"
000008,0.5603436113581304,1051.4653973265001,2.255359941868557e-149,0.228301984554792,2.301698015445208,0.09918850475727264,12.778688902054876,"const      4.431808e+00
vol_sum   -8.817597e-10
dtype: float64"
000009,0.7146276896910182,2679.4878141522436,1.2743092870816893e-293,-3.4262229206890478,15.036222920689047,-0.2278645999571306,-4.474980862337279,"const      4.327913e+00
vol_sum    1.382904e-09
dtype: float64"
000012,0.5261195663845903,1187.9535344740293,1.0210244140565087e-175,-1.6498925546864358,9.269892554686436,-0.17798399980939641,-11.244201063445416,"const      4.994753e+00
vol_sum    1.005272e-09
dtype: float64"
000016,0.2801104679980574,237.74133160523752,1.5065886584175296e-45,-2.0043334630684866,7.104333463068486,-0.2821282916248106,-26.013504749429746,"const      4.695783e+00
vol_sum    7.906210e-10
dtype: float64"
000021,0.3501165674313921,332.93976708624274,7.925597971188825e-60,-7.637697229796638,19.167697229796637,-0.39846712613571844,-10.69049895605615,"const      1.028621e+01
vol_sum    2.201097e-09
dtype: float64"
000025,0.07621774594374087,51.15383227771061,2.4156564125668027e-12,-3.5460945292635024,16.566094529263502,-0.21405736415420268,-11.027480720487313,"const      1.946219e+01
vol_sum   -1.577233e-08
dtype: float64"
000027,0.6479348530512034,1969.2102406990539,8.4039651807557e-245,-2.3607585084817213,8.940758508481721,-0.2640445445699231,-37.75276569452167,"const      5.480476e+00
vol_sum    9.102280e-10
dtype: float64"
000028,0.14191431268490895,176.96171468373825,1.7685593372214134e-37,-7.601389145247751,40.48138914524775,-0.18777490856289214,-4.20257596870565,"const      4.614615e+01
vol_sum   -5.020076e-08
dtype: float64"
000030,0.04288437380213084,47.94225348776585,7.55684478100395e-12,-1.0764139997418871,6.626413999741887,-0.16244291403824387,-17.59895745021766,"const      5.704352e+00
vol_sum    8.002671e-10
dtype: float64"
000031,0.09701095575206609,101.9540575770627,7.708463072970266e-23,-0.970970908190897,4.810970908190897,-0.2018243150333283,-19.487376101634233,"const      5.918101e+00
vol_sum   -1.219250e-09
dtype: float64"
000034,0.016676617180047204,10.514854860847379,0.0012477311400891412,-6.102563903771495,20.522563903771495,-0.29735874778540744,-7.90388731733988,"const      1.880688e+01
vol_sum    1.886726e-09
dtype: float64"
000035,0.037484291200647,24.14533116907898,1.1447023794319469e-06,0.6240890732825219,4.845910926717478,0.12878674055721187,33.50655749658477,"const      5.377757e+00
vol_sum   -4.221755e-10
dtype: float64"
000036,0.3928265962966654,686.4414945197525,4.3516984932464004e-117,0.05275957046204738,3.7172404295379526,0.01419320903829869,0.5433889612822247,"const      6.811914e+00
vol_sum   -2.475974e-09
dtype: float64"
000039,0.13704513486844871,169.925798247729,3.7138455057086406e-36,-1.6903885900000493,15.93038859000005,-0.10611094515680261,-3.6253566156146166,"const      1.177114e+01
vol_sum    2.682421e-09
dtype: float64"
000040,0.38433721889116246,507.5280958120432,1.0506167817230103e-87,1.1207163516354592,2.1292836483645408,0.526334926065984,7.097592582578849,"const      6.294417e+00
vol_sum   -1.086987e-09
dtype: float64"
000046,0.4365688542658479,829.0785442039905,1.8469454893230595e-135,-2.6815595665687266,4.371559566568727,-0.6134102774387002,-23.933063971389494,"const      6.571455e+00
vol_sum   -3.312188e-09
dtype: float64"
000049,0.48963603035390135,1026.542984297989,1.8096407660844459e-158,-15.561379627977416,52.51137962797742,-0.29634299723647906,-3.273114922140942,"const      3.348098e+01
vol_sum    3.660197e-08
dtype: float64"
000050,0.020986687693920092,22.937130221038213,1.909356056757649e-06,-3.460948971579141,14.41094897157914,-0.2401610732509514,-15.001248802678566,"const      1.536192e+01
vol_sum   -3.197638e-10
dtype: float64"
000059,0.13845817556443163,171.95943789612434,1.5376504728579912e-36,0.8303356425082518,6.119664357491748,0.1356831999277456,13.159773650011912,"const      7.626091e+00
vol_sum   -9.932110e-10
dtype: float64"
000060,0.12783568944292445,156.83304859902057,1.1251117986478095e-33,1.0111192252305194,3.678880774769481,0.27484424941546964,7.628788942401675,"const      6.301977e+00
vol_sum   -5.016779e-10
dtype: float64"
000061,0.02807929358319472,30.883964753769316,3.4576886178457556e-08,-0.6926400487829536,6.542640048782953,-0.1058655288413424,-20.168626014821093,"const      6.073253e+00
vol_sum    2.543411e-10
dtype: float64"
000062,0.43661562308798774,829.2361944163558,1.7666218743641095e-135,-1.8082680391947186,14.488268039194718,-0.12480912378918309,-4.284108127290155,"const      1.999698e+01
vol_sum   -1.509733e-08
dtype: float64"
000063,0.24100518354726175,339.7592984900545,4.1940167923056683e-66,-11.051760864928031,35.11176086492803,-0.3147595162613239,-6.872853164639034,"const      2.377616e+01
vol_sum    1.017784e-09
dtype: float64"
000066,0.17894786944375907,135.12866592279164,2.1428220279700825e-28,-3.16438497155824,15.30438497155824,-0.20676328891614737,-21.33759860754279,"const      1.247232e+01
vol_sum    6.624756e-10
dtype: float64"
000069,0.00039174516169204754,0.4193315941336346,0.5174096630320851,-0.9661273345156829,7.3161273345156825,-0.13205447231047124,-31.349898139425836,"const      7.243987e+00
vol_sum    1.484494e-11
dtype: float64"
000070,0.31639449561035826,286.9558334723591,3.496871669266302e-53,-2.744079735268296,8.384079735268296,-0.3272964740214847,-16.439869123748974,"const      1.208258e+01
vol_sum   -3.235548e-09
dtype: float64"
000078,0.20512396731751925,276.1218554911689,2.4533679778221085e-55,0.10711361428846367,3.4528863857115364,0.031021470828496652,3.6533048655272022,"const      4.721448e+00
vol_sum   -2.401763e-10
dtype: float64"
000088,0.08854247077919997,103.94389282706031,2.3360906951058646e-23,-0.4149467621193219,5.544946762119322,-0.07483331759901804,-11.300624188680395,"const      6.464644e+00
vol_sum   -5.052544e-10
dtype: float64"
000089,0.0025672479786537084,2.7540256038239876,0.09730293554603778,-1.6631023620789804,8.48310236207898,-0.19604883816012314,-68.37655665275217,"const      8.328073e+00
vol_sum    2.363182e-10
dtype: float64"
000090,0.06661183551191163,76.36122538240636,8.97828536281056e-18,0.24829931253470505,5.901700687465295,0.0420725017556501,2.764984717637687,"const      7.084218e+00
vol_sum   -6.953689e-10
dtype: float64"
000099,4.1223381450183894e-05,0.04361613557888232,0.8346096256978404,-0.5226852291156252,7.322685229115625,-0.0713789016954305,-19.01060235672764,"const      7.339692e+00
vol_sum   -3.158060e-11
dtype: float64"
000100,0.8474288838775322,5943.122976311704,0.0,-2.510013962556741,7.53001396255674,-0.33333456950251006,-20.626009338531965,"const      3.005980e+00
vol_sum    1.530825e-10
dtype: float64"
000150,0.08455232315111583,57.17190545580499,1.4476547400588123e-13,-0.10791685171816345,3.4079168517181633,-0.03166651547374321,-3.487838798672866,"const      4.286693e+00
vol_sum   -3.491283e-10
dtype: float64"
000151,0.5457358108162211,1285.4575189441503,1.5078816860668787e-185,-1.1663245829590227,9.726324582959023,-0.11991421559203136,-6.276670058079726,"const      1.445402e+01
vol_sum   -5.723965e-09
dtype: float64"
000155,0.27450557748156157,60.91762610815685,7.125908573455932e-13,-5.6465761842071664,27.166576184207166,-0.20785012236800415,-3.6399119489513554,"const      1.645989e+01
vol_sum    4.954845e-09
dtype: float64"
000156,0.16376278715653914,197.00793189924428,5.284282226066186e-41,-0.2988885709535971,8.408888570953597,-0.03554436099748461,-2.25338971916166,"const      1.066975e+01
vol_sum   -3.326883e-09
dtype: float64"
000157,0.8028381845871861,4357.014342303825,0.0,-2.5745884207333054,9.364588420733305,-0.2749280913438905,-13.217740660543054,"const      3.604768e+00
vol_sum    9.293739e-10
dtype: float64"
000158,0.15304757820059478,112.03639784483981,3.512921617692205e-24,-1.9535829314711455,8.403582931471146,-0.23247023887335494,-13.138512351830588,"const      6.050352e+00
vol_sum    8.167029e-10
dtype: float64"
000159,0.15920323349378307,117.39579491522183,3.590878724925675e-25,-0.355112168041984,6.615112168041984,-0.05368195716431731,-11.257427755189777,"const      5.151080e+00
vol_sum    1.260652e-09
dtype: float64"
000166,0.04802754625591299,53.98210241453231,4.0064170422943275e-13,-0.7565079292211712,5.126507929221171,-0.14756788435048832,-114.70197963545243,"const      4.782734e+00
vol_sum    3.799516e-11
dtype: float64"
000301,0.816350123608836,2707.0926212815084,2.7447648177156948e-226,2.4426985873303053,13.217301412669695,0.18481068949436308,0.8606934064805398,"const      2.604104e+00
vol_sum    1.370773e-08
dtype: float64"
000333,0.7487064898523631,3187.9690950688164,3.5e-323,-11.904808043415244,68.59480804341524,-0.17355261109383693,-1.7693022850964704,"const      3.916994e+01
vol_sum    1.821888e-08
dtype: float64"
000338,0.8405549148586936,5640.7744277706925,0.0,-5.099058973006848,18.55905897300685,-0.27474771110017776,-9.96195643012535,"const      6.617503e+00
vol_sum    2.160156e-09
dtype: float64"
000400,0.8023874551106922,4344.636001977292,0.0,-2.6087555480480376,21.31875554804804,-0.12236903519853425,-4.212177025713219,"const      1.007120e+01
vol_sum    6.498824e-09
dtype: float64"
000401,0.06769163032985803,77.25329624194146,5.934130018359818e-18,-3.7144204173042397,15.414420417304239,-0.24097048846120928,-16.556781791515107,"const      1.321358e+01
vol_sum    7.689907e-10
dtype: float64"
000402,0.33666545076998555,543.0623698735949,1.7770650722697738e-97,-0.6458360091862492,5.9658360091862495,-0.108255742898696,-9.195512813196078,"const      8.659963e+00
vol_sum   -2.931291e-09
dtype: float64"
