sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation
000425,0.29749228516994597,66.62624748265009,6.139667754776105e-36,-0.11630594075011924,6.156305940750119,-0.01889216388358176,-6.251315707246175
000426,0.5246806684730388,177.35170542547135,1.8129953480142688e-77,-0.7988205451838395,8.34882054518384,-0.09568064624944572,-10.003063025775525
000488,0.914380412652972,1715.8509812806724,9.438658868925733e-257,0.1832852326820147,7.136714767317986,0.025682017378830208,1.0099719120363098
000501,0.6362497111517744,281.028286141205,1.9955880870534367e-105,-1.648542348688732,11.688542348688731,-0.14103917319285517,-3.4724939863025823
000503,0.8562813362033298,957.2581902884056,1.4834446105175977e-202,1.754093325347915,8.765906674652085,0.20010403834438886,4.191542817607535
000505,0.9459907234522801,2808.2924950772863,2.4565418826570635e-304,-0.08429772789595269,6.934297727895952,-0.012156635207171992,-0.9372494034182508
000506,0.38354192667885,99.96203400243098,2.536496144682386e-50,0.14995026716081128,2.9100497328391888,0.051528420792490155,14.510219691690667
000513,0.03713212568895985,6.1959641814424895,0.00038924630643907257,-7.845118653151005,43.505118653151,-0.1803263362110793,-5.729509487069891
000516,0.8189624664115778,726.8104408812773,2.104781817557999e-178,-1.8365182288941515,12.886518228894152,-0.1425146960779763,-2.032553463546854
000517,0.5608171797454496,205.16427948360456,9.926080433321509e-86,-0.14041104936368676,2.4804110493636866,-0.05660797608513604,-61.36351816473813
000519,0.9124472760130027,1674.4180611429174,2.0479392725919164e-254,3.070747777477351,24.079252222522648,0.1275267084334584,1.7922395598374632
000528,0.8129832437167392,682.4969687219017,5.275400416042945e-171,0.17605350748987902,7.563946492510121,0.023275350726529937,4.196772324977802
000531,0.8452432927070513,877.522045648921,8.190649724478927e-195,0.5084358156587472,7.641564184341253,0.06653556829380702,6.8614849502063455
000537,0.839770111925562,842.059282889172,3.544706619792143e-191,-0.01314504590394705,22.003145045903945,-0.000597416681866309,-0.012717289536343185
000538,0.5413014133068357,189.59965489525456,3.4651359345783007e-81,-17.72707671509538,107.22707671509538,-0.1653227641577565,-1.509031991351483
000539,0.567091806399741,210.4666799454418,3.11198618548545e-87,0.5321041611213317,4.2078958388786685,0.12645373875583582,69.41615193837886
000540,0.7465349803738125,473.21435921855925,3.3513007136699696e-143,0.02475480874222047,2.5352451912577796,0.009764266126046441,3.0066652278080555
000541,0.507773109897284,165.7410731322284,8.12243626813429e-74,0.17106499954076781,5.408935000459232,0.03162637368100078,12.241895935332932
000543,0.06356686356225605,10.906359121222161,6.085823621554827e-07,-0.13340457298116748,4.063404572981168,-0.03283073850637854,-33.18824813152454
000547,0.2860457942114638,64.37110937558838,5.118405131221293e-35,-4.940301911960347,21.030301911960347,-0.23491350398306454,-8.641513551335052
000550,0.4349677489760533,123.68288395722762,2.0614751277335722e-59,-1.5849102372306234,18.144910237230622,-0.08734737270723039,-1.859362004353365
000551,0.5858683798417308,227.2937276767174,7.228092025545785e-92,0.5285647041682573,10.021435295831743,0.05274341334999243,6.355114533398857
000552,0.7265294986534919,426.84337875168603,2.9548111195111864e-135,-0.1523286255596612,3.162328625559661,-0.048169764624858516,-19.836372944587346
000554,0.07475707055272529,12.981422449395378,3.625059891822482e-08,0.01571134073846281,4.694288659261537,0.0033469055439241725,3.300836193490127
000555,0.5515986181575177,197.6432609399053,1.4703160535034676e-83,-1.4818459500576289,13.641845950057629,-0.10862503179427627,-8.071048799151816
000559,0.029836872051419272,4.941221365934488,0.0021766574190080264,1.0980004283558689,5.421999571644131,0.20250839452259833,78.39115866955068
