日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2017-07-12,998661986,64212899,63144430,529121,218200,126732
2017-07-13,1003792687,114398226,109267525,548153,292400,273368
2017-07-14,956850098,79841371,126783960,558953,258100,247300
2017-07-17,936461100,89500054,109889052,736553,469600,292000
2017-07-18,936525087,53115060,52975877,462453,217100,491200
2017-07-19,935754025,55756031,56527093,414153,170500,218800
2017-07-20,937169514,61240673,59825184,393153,168700,189700
2017-07-21,940671124,70150283,66648673,399953,195100,188300
2017-07-24,942095281,95260467,93836310,1066953,767000,100000
2017-07-25,929788924,58471989,70778346,375353,74800,766400
2017-07-26,927877708,56777048,58688264,540553,300000,134800
2017-07-27,953420795,130369707,104826620,512580,292200,320173
2017-07-28,934778072,71960115,90602838,380653,198173,330100
2017-07-31,929178025,80084346,85684393,340153,89800,130300
2017-08-01,945410177,81896379,65664227,614153,334300,60300
2017-08-02,939323983,72501816,78588010,438159,41000,216994
2017-08-03,931903036,41034345,48483631,474259,77100,41000
2017-08-04,1011074562,324870261,245698735,1280159,936100,130200
2017-08-07,1023112494,176906304,164868372,460759,22000,841400
2017-08-08,1051901564,191850048,163060978,988859,650100,122000
2017-08-09,1078083536,101917169,75735197,487059,30100,531900
2017-08-10,1056109176,124695424,146669784,1084159,627100,30000
2017-08-11,1103591674,304525766,257043268,1205059,747600,626700
2017-08-14,1130278616,205100581,178413639,1181938,529179,552300
2017-08-15,1114862511,136781428,152197533,1000453,232000,413485
2017-08-16,1178962931,210785435,146685015,1223953,501900,278400
2017-08-17,1143535362,208682735,244110304,1079853,287100,431200
2017-08-18,1111513419,115223326,147245269,1160753,363400,282500
2017-08-21,1124255601,94721400,81979218,969053,296500,488200
2017-08-22,1102700575,88806618,110361644,756453,58400,271000
2017-08-23,1083400258,59101292,78401609,777753,80000,58700
2017-08-24,1114799337,139746067,108346988,1379253,686500,85000
2017-08-25,1117002627,113891806,111688516,864953,96400,610700
2017-08-28,1126174171,126800920,117629376,883653,179200,160500
2017-08-29,1113856034,138819133,151137270,829553,106800,160900
2017-08-30,1091333589,63509327,86031772,674453,10900,166000
2017-08-31,1105511732,116692434,102514291,1152535,488982,10900
2017-09-01,1079026447,63274420,89759705,856153,33400,329782
2017-09-04,1101112138,115735590,93649899,597853,85100,343400
2017-09-05,1094810850,60730109,67031397,577753,20000,40100
2017-09-06,1097454439,81144280,79831199,769953,361700,183400
2017-09-07,1074719972,65912552,88647019,499951,27198,297200
2017-09-08,1060384601,85624869,99960240,498551,32100,33500
2017-09-11,1068642465,50744640,42486776,492657,265900,271794
2017-09-12,1058375085,52227162,62494542,240857,49500,301300
2017-09-13,1053265991,28193018,33302112,208957,104200,136100
2017-09-14,1042682260,37886288,48470019,261057,155300,103200
2017-09-15,1046822224,74110971,69971007,505657,446900,202300
2017-09-18,1047394094,78179497,77607627,329457,108700,284900
2017-09-19,1052262444,41146582,36278232,245057,1000,85400
2017-09-20,1053130102,50046006,49132748,270857,84100,58300
2017-09-21,1037793379,36347245,51683968,260157,59800,70500
2017-09-22,1006848131,33679051,64624299,368557,177500,69100
2017-09-25,1002323814,24726333,29250650,290857,18700,96400
2017-09-26,1006672060,33648191,29299945,484157,221800,28500
2017-09-27,1004770458,28464360,30365962,327257,73500,230400
2017-09-28,1007366625,40981702,38385535,406957,188800,109100
2017-09-29,976360787,26991755,57997593,189257,0,217700
2017-10-09,981119675,43942059,39183171,258057,78800,10000
2017-10-10,991988813,50765574,39896436,344457,165200,78800
2017-10-11,988284360,59563795,63268248,307457,128200,165200
2017-10-12,1009076367,114469130,94922074,736659,556002,126800
2017-10-13,1004425388,41971766,46689713,395057,174300,515902
2017-10-16,997884208,96355396,102896576,373957,223200,244300
2017-10-17,977775325,45820842,65929725,280057,75800,169700
2017-10-18,979518100,42430541,40687766,512957,308700,75800
2017-10-19,948196992,36438516,67759624,257357,59600,315200
2017-10-20,946074772,21466369,23396020,166057,0,91300
2017-10-23,937964788,9302271,17412255,176459,25500,15098
2017-10-24,934986094,19276235,22254929,172559,22000,25900
2017-10-25,934684397,18449600,18751297,152659,3500,23400
2017-10-26,932022546,26547394,29209245,148159,0,4500
2017-10-27,914304161,21569258,39287643,148359,900,700
2017-10-30,915869867,40367583,38729290,393359,245900,900
2017-10-31,913160987,20108041,22816921,153559,0,239800
2017-11-01,899827944,13388358,26721401,207159,53600,0
2017-11-02,888995222,15895212,26727934,242559,51900,16500
2017-11-03,891399209,23032568,20628581,287159,97500,52900
2017-11-06,886339640,18237730,23273567,200000,54000,141159
2017-11-07,887482323,42598500,41455817,1020497,875497,55000
2017-11-08,889414445,31948083,30015961,310200,110000,820297
2017-11-09,886237275,17621402,20798572,260200,30000,80000
2017-11-10,879143188,21969622,29063709,466700,258500,52000
2017-11-13,880488460,22162652,20817380,410600,147400,203500
2017-11-14,901633250,86627235,65482445,682700,419400,147300
2017-11-15,886921463,24805089,39516876,285200,22000,419500
2017-11-16,875253183,24689794,36358074,352500,68300,1000
2017-11-17,850571571,26731048,51412660,416514,133414,69400
2017-11-20,842250701,25693901,34014771,470600,219500,165414
2017-11-21,837486878,13215833,17979656,256600,25500,239500
2017-11-22,828571072,33239824,41638929,601000,426500,82100
2017-11-23,819373866,20231590,29428796,243100,24000,381900
2017-11-24,821318455,16999627,15055038,177000,3000,69100
2017-11-27,819497116,11817555,13638894,436300,262300,3000
2017-11-28,818827105,9895787,10565798,290000,30000,176300
2017-11-29,815552143,9887695,13162657,378100,144100,56000
2017-11-30,809534435,17174802,23192510,330400,96200,143900
2017-12-01,800479532,17514614,26569517,479900,216400,66900
2017-12-04,798489367,29146413,31136578,478200,277000,278700
2017-12-05,794418760,21311974,25382581,301000,112500,289700
2017-12-06,797163236,19665650,16921174,533130,333930,101800
2017-12-07,851117011,158620758,104666983,1176600,897400,253930
2017-12-08,842827428,59955795,68245378,340900,46200,881900
2017-12-11,839526394,42017004,45318038,345800,55800,50900
2017-12-12,812023936,45736497,73238955,291200,1200,55800
2017-12-13,820746760,40284850,31562026,631600,361600,21200
2017-12-14,818165512,28534943,31116191,264200,200,367600
2017-12-15,818615609,39925524,39475427,793000,553200,24400
2017-12-18,822389246,39518506,35638790,362600,136800,567200
2017-12-19,819545418,27317254,30161082,272436,42436,132600
2017-12-20,813421160,21745757,27850281,280400,50400,42436
2017-12-21,808625731,24456457,29251886,366900,136900,50400
2017-12-22,809811012,22808074,21622793,285000,0,81900
2017-12-25,817838860,28972633,20885181,334900,49900,0
2017-12-26,815789934,25391779,27440705,729700,442300,47500
2017-12-27,814419452,19821350,24592007,262400,5000,472300
2017-12-28,812258436,18486080,20647096,287400,40000,15000
2017-12-29,804214126,16185652,24229962,352400,75000,10000
2018-01-02,807826368,24457720,20845478,552399,274999,75000
2018-01-03,814054285,33342979,27120002,392500,117500,277399
2018-01-04,810263479,22501890,26292696,255400,10400,147500
2018-01-05,801423293,21053862,29894048,465200,219900,10100
2018-01-08,800683943,19637455,20376805,364400,100200,201000
2018-01-09,809565317,39026909,30145535,534900,300700,130200
2018-01-10,809590178,25558412,25533551,323400,86200,297700
2018-01-11,811002194,20440032,19028016,298100,45000,70300
2018-01-12,805542840,19561590,25020944,209500,21400,110000
2018-01-15,783766027,25247046,47023859,299700,90200,0
2018-01-16,767315239,15593658,32044446,227800,31000,102900
2018-01-17,760677585,20662697,27300351,253100,52400,27100
2018-01-18,758157011,10516691,13037265,170700,0,82400
2018-01-19,765141571,41375295,34390735,662800,502100,10000
2018-01-22,766690890,19669701,18120382,276000,70300,457100
2018-01-23,761368141,16241423,21564172,430300,260300,106000
2018-01-24,765062238,24979091,21284994,332400,142400,240300
2018-01-25,761595112,37251977,40719103,486406,322406,168400
2018-01-26,751847569,15540645,25288188,184000,0,302406
2018-01-29,749438561,17573826,19982834,231100,47100,0
2018-01-30,751985291,15912573,13365843,311100,125000,45000
2018-01-31,744400399,15151666,22736558,344100,158000,125000
2018-02-01,739046637,23270842,28624604,614500,297900,27500
2018-02-02,731877875,7124643,14561176,317500,126000,293000
2018-02-05,724981184,4953064,11849755,308800,110300,119000
