day,open,high,low,close,volume
2021-10-22 14:20:00,4.070,4.070,4.060,4.060,85200
2021-10-22 14:25:00,4.060,4.070,4.050,4.060,23300
2021-10-22 14:30:00,4.050,4.060,4.050,4.060,3700
2021-10-22 14:35:00,4.050,4.060,4.050,4.050,11100
2021-10-22 14:40:00,4.060,4.060,4.050,4.060,13800
2021-10-22 14:45:00,4.050,4.050,4.030,4.030,148600
2021-10-22 14:50:00,4.030,4.050,4.030,4.040,8298
2021-10-22 14:55:00,4.040,4.050,4.040,4.040,49500
2021-10-22 15:00:00,4.040,4.070,4.040,4.070,182000
2021-10-25 09:35:00,4.030,4.040,3.960,4.010,442100
2021-10-25 09:40:00,4.010,4.020,4.000,4.020,73400
2021-10-25 09:45:00,4.020,4.020,4.010,4.010,43600
2021-10-25 09:50:00,4.010,4.020,4.010,4.010,41400
2021-10-25 09:55:00,4.010,4.030,4.010,4.030,71900
2021-10-25 10:00:00,4.030,4.030,4.010,4.010,26400
2021-10-25 10:05:00,4.020,4.020,4.010,4.020,12900
2021-10-25 10:10:00,4.020,4.020,4.010,4.010,71000
2021-10-25 10:15:00,4.010,4.030,4.010,4.010,63300
2021-10-25 10:20:00,4.010,4.020,4.000,4.010,41400
2021-10-25 10:25:00,4.000,4.010,4.000,4.000,14300
2021-10-25 10:30:00,4.000,4.010,4.000,4.000,28200
2021-10-25 10:35:00,4.000,4.010,4.000,4.000,46300
2021-10-25 10:40:00,4.000,4.020,4.000,4.000,27500
2021-10-25 10:45:00,4.000,4.010,4.000,4.010,16700
2021-10-25 10:50:00,4.010,4.010,4.000,4.000,36200
2021-10-25 10:55:00,4.000,4.010,4.000,4.000,72400
2021-10-25 11:00:00,4.000,4.010,4.000,4.000,35400
2021-10-25 11:05:00,4.000,4.010,4.000,4.000,19200
2021-10-25 11:10:00,4.000,4.010,4.000,4.010,20000
2021-10-25 11:15:00,4.010,4.010,4.010,4.010,5600
2021-10-25 11:20:00,4.010,4.010,4.010,4.010,5700
2021-10-25 11:25:00,4.010,4.010,4.010,4.010,41300
2021-10-25 11:30:00,4.010,4.010,4.000,4.000,80000
2021-10-25 13:05:00,4.000,4.010,4.000,4.000,21200
2021-10-25 13:10:00,4.000,4.010,4.000,4.000,7900
2021-10-25 13:15:00,4.000,4.000,3.970,3.980,127200
2021-10-25 13:20:00,3.980,3.990,3.960,3.970,201700
2021-10-25 13:25:00,3.970,3.990,3.960,3.960,212000
2021-10-25 13:30:00,3.960,3.970,3.940,3.960,129500
2021-10-25 13:35:00,3.950,3.950,3.930,3.940,101300
2021-10-25 13:40:00,3.940,3.960,3.940,3.950,33900
2021-10-25 13:45:00,3.960,3.960,3.940,3.940,152400
2021-10-25 13:50:00,3.940,3.950,3.920,3.920,221100
2021-10-25 13:55:00,3.920,3.930,3.920,3.930,170500
2021-10-25 14:00:00,3.930,3.930,3.900,3.900,446800
2021-10-25 14:05:00,3.900,3.920,3.900,3.920,117800
2021-10-25 14:10:00,3.910,3.920,3.910,3.920,27700
2021-10-25 14:15:00,3.910,3.930,3.910,3.910,64700
2021-10-25 14:20:00,3.910,3.920,3.910,3.910,19000
2021-10-25 14:25:00,3.910,3.920,3.910,3.920,82700
2021-10-25 14:30:00,3.920,3.930,3.910,3.920,74100
2021-10-25 14:35:00,3.920,3.940,3.920,3.940,74002
2021-10-25 14:40:00,3.930,3.930,3.920,3.930,116200
2021-10-25 14:45:00,3.920,3.930,3.920,3.930,91833
2021-10-25 14:50:00,3.920,3.930,3.920,3.920,19229
2021-10-25 14:55:00,3.930,3.950,3.920,3.930,151400
2021-10-25 15:00:00,3.930,4.020,3.930,4.020,531500
2021-10-26 09:35:00,4.010,4.010,3.940,3.950,258600
