日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2017-07-12,6103675484,49349985,53786549,37035592,9552200,18960801
2017-07-13,6138946294,61321650,26050840,33112892,4492700,8415400
2017-07-14,6144456781,33810759,28300272,34914692,5711100,3909300
2017-07-17,6134882218,46800919,56375482,33750392,5522900,6687200
2017-07-18,6121212966,36443642,50112894,31596692,3716700,5870400
2017-07-19,6133468307,42833611,30578270,39141644,10772752,3227800
2017-07-20,6138292443,42863570,38039434,40117444,4090200,3114400
2017-07-21,6136730445,39586673,41148671,38193644,3169400,5093200
2017-07-24,6172758783,70806211,34777873,50593744,15472900,3072800
2017-07-25,6222932717,77997014,27823080,47283844,15230600,18540500
2017-07-26,6225608442,36681739,34006014,34285444,5947900,18946300
2017-07-27,6215378513,25907761,36137690,29849544,2985200,7421100
2017-07-28,6213113580,28738610,31003543,29639244,2545700,2756000
2017-07-31,6209222315,43828906,47720171,29163244,2076400,2552400
2017-08-01,6237152905,126437837,98507247,35548044,7946600,1561800
2017-08-02,6231491835,52281260,57942330,30899744,1982100,6630400
2017-08-03,6243923305,51441381,39009911,27776144,916400,4040000
2017-08-04,6229468960,34886711,49341056,29781092,4016500,2011552
2017-08-07,6240031797,49555373,38992536,28626992,3511100,4665200
2017-08-08,6244671247,44473452,39834002,29266192,3674200,3035000
2017-08-09,6228184081,31340942,47828108,21203192,1199700,9262700
2017-08-10,6207268860,50423100,71338321,25043892,5513100,1672400
2017-08-11,6207075179,43184084,43377765,16575592,1029200,9497500
2017-08-14,6147098698,55432528,115409009,21104492,6119400,1590500
2017-08-15,6152829070,45011169,39280797,27112492,10911100,4903100
2017-08-16,6171863383,48491001,29456688,28636592,8478300,6954200
2017-08-17,6180158191,36830139,28535331,21431792,1518400,8723200
2017-08-18,6192643720,68603978,56118449,24862392,6889200,3458600
2017-08-21,6238948917,80299691,33994494,18920392,1764200,7706200
2017-08-22,6238965621,46822023,46805319,23580612,6570900,1910680
2017-08-23,6252107357,48748604,35606868,33256292,11617100,1941420
2017-08-24,6295916589,86031980,42222748,49390366,20763874,4629800
2017-08-25,6303877391,66300540,58339738,41061592,13432600,21761374
2017-08-28,6354452123,108367154,57792422,58084792,22969200,5946000
2017-08-29,6341605000,45888409,58735532,37183792,2485600,23386600
2017-08-30,6387865166,125462602,79202436,57890692,24975600,4268700
2017-08-31,6421054948,71001507,37811725,36068792,3488100,25310000
2017-09-01,6464271076,107350101,64133973,57912092,25979300,4136000
2017-09-04,6468803193,67814082,63281965,37929591,4499500,24482001
2017-09-05,6592812678,171224175,47214690,47354491,20434400,11009500
2017-09-06,6674635373,140518359,62153442,20341192,2401700,29414999
2017-09-07,6701019683,87905751,61521441,18909492,1123800,2555500
2017-09-08,6675017898,27560508,53562293,18141092,983000,1751400
2017-09-11,6716598672,87265606,45684832,28007492,11252400,1386000
2017-09-12,6753303090,86674313,49969895,26606092,9636000,11037400
2017-09-13,6808522734,88637552,33417908,30190092,14011600,10427600
2017-09-14,6862705889,107729602,53546447,24039692,8624700,14775100
2017-09-15,6705554479,51555606,208707016,16754292,1554200,8839600
2017-09-18,6727040404,87287837,65801912,28225592,13120300,1649000
