证券代码,证券简称
002185.SZ,华天科技
002189.SZ,中光学
002191.SZ,劲嘉股份
002192.SZ,融捷股份
002195.SZ,二三四五
002198.SZ,嘉应制药
002202.SZ,金风科技
002203.SZ,海亮股份
002204.SZ,大连重工
002212.SZ,天融信
002214.SZ,大立科技
002215.SZ,诺 普 信
002217.SZ,合力泰
002221.SZ,东华能源
002222.SZ,福晶科技
002223.SZ,鱼跃医疗
002229.SZ,鸿博股份
002230.SZ,科大讯飞
002233.SZ,塔牌集团
002234.SZ,民和股份
002235.SZ,安妮股份
002236.SZ,大华股份
002237.SZ,恒邦股份
002238.SZ,天威视讯
002239.SZ,奥特佳
002240.SZ,盛新锂能
002241.SZ,歌尔股份
002242.SZ,九阳股份
002243.SZ,力合科创
002244.SZ,滨江集团
002249.SZ,大洋电机
002250.SZ,联化科技
002251.SZ,步 步 高
002252.SZ,上海莱士
002254.SZ,泰和新材
002258.SZ,利尔化学
002261.SZ,拓维信息
002262.SZ,恩华药业
002266.SZ,浙富控股
002267.SZ,陕天然气
002268.SZ,卫 士 通
002269.SZ,美邦服饰
002271.SZ,东方雨虹
002273.SZ,水晶光电
002274.SZ,华昌化工
002275.SZ,桂林三金
002276.SZ,万马股份
002277.SZ,友阿股份
002281.SZ,光迅科技
002285.SZ,世联行
002287.SZ,奇正藏药
002288.SZ,超华科技
002291.SZ,星期六
002292.SZ,奥飞娱乐
002293.SZ,罗莱生活
002294.SZ,信立泰
002297.SZ,博云新材
002299.SZ,圣农发展
002301.SZ,齐心集团
002302.SZ,西部建设
002303.SZ,美盈森
002304.SZ,洋河股份
002307.SZ,北新路桥
002308.SZ,威创股份
002310.SZ,东方园林
002311.SZ,海大集团
002313.SZ,日海智能
002317.SZ,众生药业
002318.SZ,久立特材
002320.SZ,海峡股份
002325.SZ,洪涛股份
002326.SZ,永太科技
002332.SZ,仙琚制药
002340.SZ,格林美
002344.SZ,海宁皮城
002351.SZ,漫步者
002352.SZ,顺丰控股
002353.SZ,杰瑞股份
002355.SZ,兴民智通
002366.SZ,台海核电
002367.SZ,康力电梯
002368.SZ,太极股份
002369.SZ,卓翼科技
002370.SZ,亚太药业
002371.SZ,北方华创
002372.SZ,伟星新材
002373.SZ,千方科技
002375.SZ,亚厦股份
002376.SZ,新北洋
002378.SZ,章源钨业
002382.SZ,蓝帆医疗
002383.SZ,合众思壮
002384.SZ,东山精密
002385.SZ,大北农
002387.SZ,维信诺
002389.SZ,航天彩虹
002390.SZ,信邦制药
002393.SZ,力生制药
002396.SZ,星网锐捷
002399.SZ,海普瑞
002400.SZ,省广集团
002401.SZ,中远海科
002402.SZ,和而泰
002405.SZ,四维图新
002407.SZ,多氟多
002408.SZ,齐翔腾达
002409.SZ,雅克科技
002410.SZ,广联达
002411.SZ,延安必康
002412.SZ,汉森制药
002413.SZ,雷科防务
002414.SZ,高德红外
002415.SZ,海康威视
002416.SZ,爱施德
002419.SZ,天虹股份
002421.SZ,达实智能
002422.SZ,科伦药业
002424.SZ,贵州百灵
002425.SZ,凯撒文化
002428.SZ,云南锗业
002429.SZ,兆驰股份
002430.SZ,杭氧股份
002431.SZ,棕榈股份
002434.SZ,万里扬
002436.SZ,兴森科技
002437.SZ,誉衡药业
002439.SZ,启明星辰
002440.SZ,闰土股份
002444.SZ,巨星科技
002446.SZ,盛路通信
002449.SZ,国星光电
002451.SZ,摩恩电气
002456.SZ,欧菲光
002458.SZ,益生股份
002460.SZ,赣锋锂业
002461.SZ,珠江啤酒
002463.SZ,沪电股份
002465.SZ,海格通信
002466.SZ,天齐锂业
002467.SZ,二六三
002468.SZ,申通快递
002474.SZ,榕基软件
002475.SZ,立讯精密
002476.SZ,宝莫股份
002481.SZ,双塔食品
002482.SZ,广田集团
002488.SZ,金固股份
002489.SZ,浙江永强
002491.SZ,通鼎互联
002493.SZ,荣盛石化
002497.SZ,雅化集团
002498.SZ,汉缆股份
002500.SZ,山西证券
002503.SZ,搜于特
002505.SZ,鹏都农牧
002506.SZ,协鑫集成
002507.SZ,涪陵榨菜
002508.SZ,老板电器
002511.SZ,中顺洁柔
002512.SZ,达华智能
002517.SZ,恺英网络
002518.SZ,科士达
002521.SZ,齐峰新材
002522.SZ,浙江众成
002531.SZ,天顺风能
002537.SZ,海联金汇
002538.SZ,司尔特
002544.SZ,杰赛科技
002547.SZ,春兴精工
002548.SZ,金新农
002555.SZ,三七互娱
002556.SZ,辉隆股份
002557.SZ,洽洽食品
002558.SZ,巨人网络
002561.SZ,徐家汇
002563.SZ,森马服饰
002565.SZ,顺灏股份
002567.SZ,唐人神
002568.SZ,百润股份
002570.SZ,贝因美
002572.SZ,索菲亚
002573.SZ,清新环境
002574.SZ,明牌珠宝
002577.SZ,雷柏科技
002579.SZ,中京电子
002583.SZ,海能达
002588.SZ,史丹利
002589.SZ,瑞康医药
002594.SZ,比亚迪
002595.SZ,豪迈科技
002596.SZ,海南瑞泽
002597.SZ,金禾实业
002600.SZ,领益智造
002601.SZ,龙佰集团
002602.SZ,世纪华通
002603.SZ,以岭药业
002607.SZ,中公教育
002608.SZ,江苏国信
002610.SZ,爱康科技
002611.SZ,东方精工
002617.SZ,露笑科技
002621.SZ,美吉姆
002624.SZ,完美世界
002625.SZ,光启技术
002626.SZ,金达威
002631.SZ,德尔未来
002635.SZ,安洁科技
002639.SZ,雪人股份
002643.SZ,万润股份
002646.SZ,青青稞酒
002647.SZ,仁东控股
002648.SZ,卫星化学
002653.SZ,海思科
002657.SZ,中科金财
002662.SZ,京威股份
002665.SZ,首航高科
002670.SZ,国盛金控
002672.SZ,东江环保
002673.SZ,西部证券
002675.SZ,东诚药业
002683.SZ,宏大爆破
002690.SZ,美亚光电
002695.SZ,煌上煌
002697.SZ,红旗连锁
002698.SZ,博实股份
002701.SZ,奥瑞金
002705.SZ,新宝股份
002709.SZ,天赐材料
002714.SZ,牧原股份
002726.SZ,龙大肉食
002727.SZ,一心堂
002733.SZ,雄韬股份
002736.SZ,国信证券
002737.SZ,葵花药业
002739.SZ,万达电影
002745.SZ,木林森
002746.SZ,仙坛股份
002747.SZ,埃斯顿
002750.SZ,龙津药业
002756.SZ,永兴材料
002773.SZ,康弘药业
002783.SZ,凯龙股份
002791.SZ,坚朗五金
002792.SZ,通宇通讯
002796.SZ,世嘉科技
002797.SZ,第一创业
002812.SZ,恩捷股份
002821.SZ,凯莱英
002838.SZ,道恩股份
002839.SZ,张家港行
002841.SZ,视源股份
002912.SZ,中新赛克
002916.SZ,深南电路
002920.SZ,德赛西威
002925.SZ,盈趣科技
002926.SZ,华西证券
002939.SZ,长城证券
002947.SZ,恒铭达
002958.SZ,青农商行
003035.SZ,南网能源
003039.SZ,顺控发展
