日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2019-08-19,7612183,7805645,193462,0,0,0
2019-08-20,22669377,17534309,2477115,0,0,0
2019-08-21,26833420,12446896,8282853,0,0,0
2019-08-22,29123712,6205637,3915345,0,0,0
2019-08-23,36681091,15271458,7714079,0,0,0
2019-08-26,28099280,13264993,21846804,0,0,0
2019-08-27,33501587,15257005,9854698,0,0,0
2019-08-28,29824232,6099010,9776365,0,0,0
2019-08-29,26468614,4354201,7709819,0,0,0
2019-08-30,28718823,7536284,5286075,0,0,0
2019-09-02,32129886,8727268,5316205,0,0,0
2019-09-03,28472762,6317656,9974780,0,0,0
2019-09-04,29224854,6325686,5573594,0,0,0
2019-09-05,39271415,19623947,9577386,0,0,0
2019-09-06,36232972,7807489,10845932,0,0,0
2019-09-09,51223698,26778213,11787487,0,0,0
2019-09-10,52506627,15910096,14627167,0,0,0
2019-09-11,54296262,21735675,19946040,0,0,0
2019-09-12,58024638,10220197,6491821,0,0,0
2019-09-16,62885398,13532078,8671318,0,0,0
2019-09-17,61965260,8088548,9008686,0,0,0
2019-09-18,66941631,9079939,4103568,0,0,0
2019-09-19,65343605,5417690,7015716,0,0,0
2019-09-20,66936517,24912914,23320002,0,0,0
2019-09-23,66482359,4354827,4808985,0,0,0
2019-09-24,65550988,5150694,6082065,0,0,0
2019-09-25,63270051,3276733,5557670,17400,17400,0
2019-09-26,62704727,4672123,5237447,28900,11500,0
2019-09-27,61488170,2498740,3715297,28900,0,0
2019-09-30,62514334,4069343,3043179,28900,0,0
2019-10-08,68655990,8196827,2055171,28900,0,0
2019-10-09,66643545,2675312,4687757,28900,0,0
2019-10-10,68459829,5451608,3635324,28900,0,0
2019-10-11,68491118,2979889,2948600,28900,0,0
2019-10-14,71552961,7749155,4687312,28900,0,0
2019-10-15,68307968,2690112,5935105,28900,0,0
2019-10-16,68550073,2430772,2188667,28900,0,0
2019-10-17,67722951,2562966,3390088,28900,0,0
2019-10-18,64239426,5242085,8725610,28900,0,0
2019-10-21,65065797,3741815,2915444,28900,0,0
2019-10-22,67392047,4301332,1975082,28900,0,0
2019-10-23,67357729,2305259,2339577,28900,0,0
2019-10-24,68363169,3503779,2498339,28900,0,0
2019-10-25,62428577,7467894,13402486,28900,0,0
2019-10-28,60844040,4065070,5649607,28900,0,0
2019-10-29,58934549,2505208,4414699,28900,0,0
2019-10-30,59920253,3189942,2204238,28900,0,0
2019-10-31,64170959,5548298,1297592,28900,0,0
2019-11-01,66126796,4264456,2308619,28900,0,0
2019-11-04,68369799,5075622,2832619,28900,0,0
2019-11-05,74688219,10414973,4096553,28900,0,0
2019-11-06,74524489,8025657,8189387,28900,0,0
2019-11-07,77128691,4023157,1418955,28900,0,0
2019-11-08,70994372,2675944,8810263,28900,0,0
2019-11-11,70970564,9964563,9988371,28900,0,0
2019-11-12,74163372,5296018,2103210,28900,0,0
2019-11-13,73283202,1364199,2244369,28900,0,0
2019-11-14,73742135,3383242,2924309,28900,0,0
2019-11-15,68730190,2493198,7505143,28900,0,0
2019-11-18,68921825,2677314,2485679,28900,0,0
2019-11-19,72655179,4902912,1169558,28900,0,0
2019-11-20,72814334,707855,548700,28900,0,0
2019-11-21,70787630,646017,2672721,28900,0,0
2019-11-22,67470266,1138930,4456294,28900,0,0
2019-11-25,67016123,3097635,3551778,28900,0,0
2019-11-26,66809690,1406725,1613158,28900,0,0
2019-11-27,66712305,854023,951408,28900,0,0
2019-11-28,67128213,1235928,820020,28900,0,0
2019-11-29,66961337,786160,953036,28900,0,0
2019-12-02,67287732,745061,418666,28900,0,0
2019-12-03,67610695,1429178,1106215,28900,0,0
2019-12-04,69552369,2929234,987560,28900,0,0
2019-12-05,71364100,3665056,1853325,28900,0,0
2019-12-06,71218572,1634179,1779707,28900,0,0
2019-12-09,71012690,1213907,1419789,28900,0,0
2019-12-10,69596772,750425,2166343,28900,0,0
2019-12-11,68823975,4955666,5728463,28900,0,0
2019-12-12,71168476,3909166,1564665,28900,0,0
2019-12-13,68806582,2466079,4827973,28900,0,0
2019-12-16,69737913,3408963,2477632,28900,0,0
2019-12-17,67637345,8210025,10310593,28900,0,0
2019-12-18,68312494,5190085,4514936,48900,20000,0
2019-12-19,69381511,3124157,2055140,28900,0,20000
2019-12-20,69430080,2752349,2703780,28900,0,0
2019-12-23,68620934,2560073,3369219,28900,0,0
2019-12-24,64743652,1729768,5607050,28900,0,0
2019-12-25,64413465,1076147,1406334,28900,0,0
2019-12-26,59413755,4615414,9615124,28900,0,0
2019-12-27,60944016,5411438,3881177,28900,0,0
2019-12-30,65260092,5751964,1435888,28900,0,0
2019-12-31,66435936,6196552,5020708,28900,0,0
2020-01-02,66965825,7748704,7218815,28900,0,0
2020-01-03,68062166,6244617,5148276,28900,0,0
2020-01-06,67783268,5827869,6106767,28900,0,0
2020-01-07,84382813,24389265,7789720,0,0,28900
2020-01-08,80138029,5340725,9585509,0,0,0
2020-01-09,82929434,8686496,5895091,0,0,0
2020-01-10,75926258,3607919,10611095,0,0,0
2020-01-13,62099079,3977970,17805149,0,0,0
2020-01-14,62729328,3573208,2942959,0,0,0
2020-01-15,62289344,3644102,4084086,0,0,0
2020-01-16,61277951,4546947,5558340,0,0,0
2020-01-17,58670859,4170790,6777882,0,0,0
2020-01-20,58248931,3191783,3613711,0,0,0
2020-01-21,58612661,2914929,2551199,0,0,0
2020-01-22,56427230,2531713,4717144,0,0,0
2020-01-23,53277229,2788484,5938485,0,0,0
2020-02-03,51818042,1003912,2463099,0,0,0
2020-02-04,47876331,3763944,7705655,0,0,0
2020-02-05,49397048,4150052,2629335,0,0,0
2020-02-06,53249389,7395589,3573408,0,0,0
2020-02-07,49331719,2085444,6003114,0,0,0
2020-02-10,50967147,5742161,4106733,0,0,0
2020-02-11,48661479,1995596,4301264,0,0,0
2020-02-12,50242578,3596759,2015660,0,0,0
2020-02-13,50684104,3582611,3141085,0,0,0
2020-02-14,48806281,1364689,3242512,0,0,0
2020-02-17,47444313,4741257,6103225,0,0,0
2020-02-18,47743412,5105409,4806310,0,0,0
2020-02-19,48865075,6260741,5139078,0,0,0
2020-02-20,50397717,6621034,5088392,0,0,0
2020-02-21,47926505,4447110,6918322,0,0,0
2020-02-24,46015404,4542454,6453555,0,0,0
2020-02-25,45212595,5555613,6358422,0,0,0
2020-02-26,47281287,8363714,6411532,0,0,0
2020-02-27,49712969,7755690,5324008,0,0,0
2020-02-28,48470480,5624330,6866819,0,0,0
2020-03-02,47485994,6504664,7489150,0,0,0
2020-03-03,51906085,14974549,10554458,0,0,0
2020-03-04,53397751,9598605,8106939,0,0,0
2020-03-05,51483356,10298637,12213032,0,0,0
2020-03-06,53777356,6993130,4699130,0,0,0
2020-03-09,53808206,5131180,5100330,0,0,0
2020-03-10,54590229,5847847,5065824,0,0,0
2020-03-11,55804492,7924085,6709822,0,0,0
2020-03-12,56332844,5328290,4799938,0,0,0
2020-03-13,53461202,2576594,5448236,0,0,0
2020-03-16,54061141,3934481,3334542,0,0,0
2020-03-17,51895686,2262139,4427594,0,0,0
2020-03-18,52394052,3116572,2618206,0,0,0
2020-03-19,51476236,2133353,3051169,0,0,0
2020-03-20,51238221,1984477,2222492,0,0,0
2020-03-23,49806310,1094462,2526373,0,0,0
2020-03-24,49220204,2156970,2743076,0,0,0
2020-03-25,50311429,3294889,2137232,0,0,0
2020-03-26,49337260,1338944,2313113,0,0,0
2020-03-27,49077109,2366910,2627061,0,0,0
2020-03-30,46234977,1049409,3891541,0,0,0
2020-03-31,47255679,4314160,3293458,0,0,0
2020-04-01,46836379,1415948,1835248,0,0,0
2020-04-02,45799590,3215845,4252634,0,0,0
2020-04-03,45755114,1985384,2029860,0,0,0
2020-04-07,51019623,7687962,2423453,38800,38800,0
2020-04-08,45489305,2262487,7792805,0,0,38800
2020-04-09,46126240,2345991,1709056,0,0,0
2020-04-10,45250869,1511670,2387041,0,0,0
2020-04-13,45725226,1721417,1195102,0,0,0
2020-04-14,44540058,1186711,2503278,0,0,0
