日期,融资买入额(元),融资余额(元),融券卖出量,融券余量,融券余额(元),融资融券余额(元)
2021-07-12,208098246,224185295,0,0,0,224185295
2021-07-13,209160834,335729004,0,0,0,335729004
2021-07-14,419934148,582748834,0,0,0,582748834
2021-07-15,607179797,976036988,0,0,0,976036988
2021-07-16,461122159,995839225,0,0,0,995839225
2021-07-19,312253229,969595589,25300,25300,774180,970369769
2021-07-20,244857580,1018210808,0,25300,795685,1019006493
2021-07-21,395240766,1084768253,0,12800,438144,1085206397
2021-07-22,351939367,1081639663,12500,25300,842743,1082482406
2021-07-23,270960675,1123937016,0,12800,409216,1124346232
2021-07-26,230601756,1099173069,0,12800,411136,1099584205
2021-07-27,259568713,987266642,12500,12800,384000,987650642
2021-07-28,229008969,929507804,12500,25300,786830,930294634
2021-07-29,440475042,1035086843,0,12800,437888,1035524731
2021-07-30,462727489,1147814878,12500,25300,952039,1148766917
2021-08-02,424721308,1234610910,0,12800,474240,1235085150
2021-08-03,289035504,1265635152,12499,25299,849540,1266484692
2021-08-04,446136272,1423045472,0,12800,466176,1423511648
2021-08-05,831333624,1641292635,12500,25300,995555,1642288190
2021-08-06,606265393,1755917725,0,25300,1037047,1756954772
2021-08-09,543193143,1754552061,0,25300,1136476,1755688537
2021-08-10,579440271,1895325036,0,25300,1125850,1896450886
2021-08-11,1077208014,2341777755,0,25300,1238435,2343016190
2021-08-12,559705823,2278706379,0,25300,1239700,2279946079
2021-08-13,471350630,2085613957,0,25300,1195678,2086809635
2021-08-16,512395626,2052573803,0,25300,1101815,2053675618
2021-08-17,590616960,2035724824,0,25300,1161017,2036885841
2021-08-18,520537337,2037411916,0,25300,1160764,2038572680
2021-08-19,697862006,2291771084,0,25300,1229833,2293000917
2021-08-20,961521339,2468169277,0,12800,673152,2468842429
2021-08-23,1027622545,2454726654,12500,25300,1345201,2456071855
2021-08-24,642476803,2432615808,0,25300,1302950,2433918758
2021-08-25,590707485,2563003925,0,25300,1352538,2564356463
2021-08-26,597390704,2516064975,0,25300,1292324,2517357299
2021-08-27,348611912,2393498802,15000,40300,2038374,2395537176
2021-08-30,476758584,2383689909,0,40300,2095600,2385785509
2021-08-31,668738924,2375286131,0,40300,2305160,2377591291
2021-09-01,642010853,2159032676,0,40300,2074644,2161107320
2021-09-02,459924555,2170530300,0,28300,1444715,2171975015
2021-09-03,399878725,2161958253,12000,40300,1851785,2163810038
2021-09-06,529944765,2297196462,30000,70300,3209195,2300405657
2021-09-07,612074295,2490354912,0,70300,3323784,2493678696
2021-09-08,261805885,2443544496,0,70300,3208492,2446752988
2021-09-09,311709455,2457178324,0,70300,3242236,2460420560
2021-09-10,802996946,2762521867,0,70300,3443997,2765965864
2021-09-13,512556932,2828697348,0,70300,3481959,2832179307
2021-09-14,347578263,2755432900,0,70300,3372291,2758805191
2021-09-15,251509927,2705924620,10000,80300,3674528,2709599148
2021-09-16,223284632,2588970729,0,80300,3476187,2592446916
2021-09-22,173250344,2195051178,0,80300,3431219,2198482397
2021-09-23,315840307,2219324817,0,80300,3622333,2222947150
2021-09-24,950271561,2361858161,0,80300,3984486,2365842647
2021-09-27,134732051,2098649685,0,80300,3586198,2102235883
2021-09-28,484186031,2072471269,45500,125800,5306244,2077777513
2021-09-29,237485560,1973402640,0,95800,3639442,1977042082
2021-09-30,200974660,1888877040,97700,193500,7720650,1896597690
2021-10-08,153580705,1869120218,2300,195800,7334668,1876454886
2021-10-11,121688343,1869773393,5000,200800,7359320,1877132713
2021-10-12,134402116,1701599359,0,200800,6847280,1708446639
2021-10-13,170040353,1707381866,0,200800,7017960,1714399826
2021-10-14,124583280,1722506190,0,200800,6865352,1729371542
2021-10-15,123956409,1714726400,0,190800,6552072,1721278472
2021-10-18,172143496,1724135517,0,190800,6758136,1730893653
2021-10-19,337852928,1836835255,0,190800,6983280,1843818535
2021-10-20,264484995,1862861375,0,190800,7135920,1869997295
2021-10-21,432576895,1894147945,20000,210800,8516320,1902664265
2021-10-22,253157130,1861362535,19600,180200,6982750,1868345285
2021-10-25,248291091,1860107694,97100,231300,9411597,1869519291
2021-10-26,314063266,1865401067,46000,241900,9855006,1875256073
2021-10-27,326483169,1942966251,0,175800,7023210,1949989461
2021-10-28,191876628,1867891179,101500,277300,10226824,1878118003
2021-10-29,154355880,1888003905,0,246900,9340227,1897344132
2021-11-01,131769957,1841926720,20200,246400,8944320,1850871040
2021-11-02,123486694,1840532511,2100,238500,8538300,1849070811
2021-11-03,188781102,1849469900,50800,248400,9327420,1858797320
2021-11-04,213554554,1816166257,0,223100,8747751,1824914008
2021-11-05,233791015,1825002100,138500,351600,14000712,1839002812
2021-11-08,326820600,1923487939,157600,439000,18174600,1941662539
2021-11-09,247138789,1859367474,20200,428800,16937600,1876305074
2021-11-10,250250907,1916003838,102609,531409,21240418,1937244256
2021-11-11,171991319,1858367099,54500,568909,22574309,1880941408
2021-11-12,213731993,1847825227,40200,599109,24060217,1871885444
2021-11-15,157268512,1818812484,30400,613009,23361773,1842174257
2021-11-16,101007542,1819022538,17000,617009,23304430,1842326968
2021-11-17,106260975,1812441459,41299,469709,18220012,1830661471
2021-11-18,142083229,1784971984,29200,414109,16299330,1801271314
