,Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2019-01-02,1.0120120432940292,1.0400400883085288,0.9909910515368305,1.0,0.9798041284573226,3330061.8490999453
2019-01-02,2019-01-03,0.9959960415735585,1.0260259817939266,0.9759759134119418,0.9869869250956844,0.9670539125584271,2506321.8988726214
2019-01-02,2019-01-04,0.9659659333384858,1.0140139384998974,0.9659659333384858,1.0110110116837425,0.9905928566868172,2871770.85813712
2019-01-02,2019-01-07,1.020019960146912,1.030029940220368,1.0140139384998974,1.020019960146912,0.999419845224854,2391382.616574987
2019-01-02,2019-01-08,1.0210209917571986,1.0230230549777717,1.0090089484631695,1.0130130749043156,0.9925545123709227,1670226.1841266428
2019-01-02,2019-01-09,1.0160160017204707,1.0360359618673827,1.0120120432940292,1.0160160017204707,0.9954967018713478,2620605.101050092
2019-01-02,2019-01-10,1.0160160017204707,1.0550550584187128,1.0110110116837425,1.0260259817939266,1.0053045602551136,2942363.775362996
2019-01-02,2019-01-11,1.017017033330757,1.022022023367485,1.0040039584264415,1.017017033330757,0.9964775717170766,2089477.236768338
2019-01-02,2019-01-14,1.0110110116837425,1.0290290766247863,1.0060060216470146,1.0190189285366256,0.9984389753791252,1812959.0216759131
2019-01-02,2019-01-15,1.0120120432940292,1.0210209917571986,0.9969969051691404,1.020019960146912,0.999419845224854,2029091.4392851982
2019-01-02,2019-01-16,1.0210209917571986,1.0250249501836401,1.010009980073456,1.0130130749043156,0.9925545123709227,1548406.1646718842
2019-01-02,2019-01-17,1.0140139384998974,1.020019960146912,0.9839839982795294,0.987987956705971,0.9680346983968037,2131396.246336439
2019-01-02,2019-01-18,0.987987956705971,1.010009980073456,0.987987956705971,1.0040039584264415,0.9837273558181812,1772208.9411081579
2019-01-02,2019-01-21,1.0110110116837425,1.0280280450144996,1.0060060216470146,1.0180180649410437,0.9974583575554532,1778534.3709240472
2019-01-02,2019-01-22,1.0230230549777717,1.024024086588058,0.994995009963272,0.9979979367794269,0.9778425567805694,1420307.225914588
2019-01-02,2019-01-23,0.9989989683897135,1.0030029268161549,0.9919919151324124,0.9919919151324124,0.97195784175031,950286.6006014927
2019-01-02,2019-01-24,0.9939939783529854,1.0160160017204707,0.9829829666692429,1.0060060216470146,0.9856889274949343,1690417.3845594486
2019-01-02,2019-01-25,1.0010010316102866,1.0030029268161549,0.9859858934853979,0.987987956705971,0.9680346983968037,1673313.8479789512
2019-01-02,2019-01-28,1.0,1.0010010316102866,0.9739740182060734,0.9759759134119418,0.9562653523436371,1519677.9947485323
2019-01-02,2019-01-29,0.9799800398530879,0.9799800398530879,0.910910874919773,0.9299299714711031,0.9111493717930194,2014778.8858582024
2019-01-02,2019-01-30,0.9269268766402435,0.9369368567136995,0.9099098433094864,0.912912938140346,0.8944759285332652,1285832.9994804985
2019-01-02,2019-01-31,0.9139139697506325,0.9249249814343752,0.8758757766479722,0.8968969364198754,0.87878335511924,1960036.8925236817
2019-01-02,2019-02-01,0.9049048532727584,0.9469470048018602,0.9039038216624719,0.9359359931181177,0.9170340868232788,1712263.9364447417
2019-01-02,2019-02-11,0.9729729865957869,0.9769769450222283,0.9489489000077287,0.9759759134119418,0.9562653523436371,2131850.604722557
2019-01-02,2019-02-12,0.9759759134119418,1.0210209917571986,0.9709709233752138,1.0060060216470146,0.9856889274949343,3056230.3208583537
2019-01-02,2019-02-13,1.0140139384998974,1.0260259817939266,0.9909910515368305,1.0180180649410437,0.9974583575554532,3224313.678474964
