日期,融资余额(元),融资买入额(元),融资偿还额(元),融券余量,融券卖出量,融券偿还量
2021-04-01,19400790,24515168,5114378,1007934,1007934,0
2021-04-02,30318491,30407846,19490145,777550,6526,236910
2021-04-06,32099272,24743141,22962360,855460,126660,48750
2021-04-07,37347790,16923353,11674835,796247,26826,86039
2021-04-08,33314703,10213527,14246614,747425,31962,80784
2021-04-09,32451752,9260833,9616151,659066,19835,108194
2021-04-12,35741945,9687462,6397269,573983,11976,97059
2021-04-13,32488469,4238508,7491984,530576,2890,46297
2021-04-14,32814488,5605611,5279592,435568,3947,98955
2021-04-15,33386819,4909058,4336727,420107,7932,23393
2021-04-16,36552260,11329822,8164381,407039,49018,62086
2021-04-19,33242885,7287072,10596447,400075,39035,45999
2021-04-20,35666814,9549489,7125560,376588,15870,39357
2021-04-21,35575671,4160130,4251273,358588,4098,22098
2021-04-22,34694214,6596290,7477747,356515,7264,9337
2021-04-23,31534481,2792402,5952135,337652,13334,32197
2021-04-26,30094589,4546256,5986148,315945,14879,36586
2021-04-27,29953799,4321664,4462454,309082,5483,12346
2021-04-28,29196244,1630782,2388337,68600,0,240482
2021-04-29,27913416,1368573,2651401,64500,0,4100
2021-04-30,28847644,3108260,2174032,76800,12300,0
2021-05-06,28855304,2404463,2396803,76800,0,0
2021-05-07,32177667,5702342,2379979,76800,0,0
2021-05-10,49064658,23471207,6584216,142400,75600,10000
2021-05-11,73985067,57922606,33002197,200600,58200,0
2021-05-12,82282810,41038636,32740893,940987,750087,9700
2021-05-13,81919407,30356245,30719648,1002376,106168,44779
2021-05-14,91577221,39338564,29680750,1044873,70185,27688
2021-05-17,92880794,24759656,23456083,956964,27900,115809
2021-05-18,102521256,27423354,17782892,930956,62696,88704
2021-05-19,98192764,21277214,25605706,924704,78288,84540
2021-05-20,88492201,16033070,25733633,880079,36797,81422
2021-05-21,85597681,14557907,17452427,834421,43179,88837
2021-05-24,76635804,14976254,23938131,436374,20571,418618
2021-05-25,69897559,9491773,16230018,322374,9700,123700
2021-05-26,70239401,13972978,13631136,324774,15100,12700
2021-05-27,59489584,13239000,23988817,266539,27365,85600
2021-05-28,60034196,10367554,9822942,260325,8086,14300
2021-05-31,59983683,10286111,10336624,320199,92906,33032
2021-06-01,51742567,13636566,21877682,303045,10222,27376
2021-06-02,46414867,6645867,11973567,309223,21600,15422
2021-06-03,49909344,10246815,6752338,236489,23466,96200
2021-06-04,50605263,9702593,9006674,265946,38000,8543
2021-06-07,48611207,10076211,12070267,198436,10047,77557
2021-06-08,58981295,16853092,6483004,257630,124618,65424
2021-06-09,51771774,4022220,11231741,298556,61980,21054
2021-06-10,68021040,26058101,9808835,305524,24422,17454
2021-06-11,71555443,22805191,19270788,296842,20749,29431
2021-06-15,71401689,6517329,6671083,321441,36941,12342
2021-06-16,61094736,1832362,12139315,372840,58771,7372
2021-06-17,55192528,9169693,15071901,385081,34369,22128
2021-06-18,57255705,11981055,9917878,503159,134447,16369
2021-06-21,51371337,5881848,11766216,491371,17256,29044
2021-06-22,48101554,7164960,10434743,493245,23545,21671
2021-06-23,50278017,12753218,10576755,507897,27935,13283
2021-06-24,52141469,12292202,10428750,499182,13785,22500
2021-06-25,50462388,5472892,6749554,502282,16500,13400
2021-06-28,48468107,4727132,6721413,448469,12287,66100
2021-06-29,41478765,6569432,13558774,502261,66079,12287
2021-06-30,39689527,4140286,5929524,418980,12198,95479
2021-07-01,37781648,2713981,4621860,416917,9400,11463
2021-07-02,39222212,6421811,4981247,426748,28766,18935
2021-07-05,42320740,4412091,1313563,402293,20534,44989
2021-07-06,47676872,12895382,7539250,402864,20392,19821
2021-07-07,56427288,19171478,10421062,492555,102771,13080
2021-07-08,62666012,13734743,7496019,496070,39987,36472
2021-07-09,61721076,10457181,11402117,591696,111266,15640
2021-07-12,61582968,14076923,14215031,592584,23906,23018
2021-07-13,56981869,6643190,11244289,603893,23719,12410
2021-07-14,54734626,10306274,12553517,607230,36901,33564
2021-07-15,51705833,10427186,13455979,591811,24400,39819
2021-07-16,51722082,6841673,6825424,614017,57020,34814
2021-07-19,50022740,3655685,5355027,580920,16003,49100
2021-07-20,50214537,2887875,2696078,578142,16214,18992
2021-07-21,44601001,3143921,8757457,566182,9008,12968
2021-07-22,45218900,5645516,5027617,561068,8943,14057
2021-07-23,44714132,4679242,5184010,574292,18274,5050
2021-07-26,48643376,9455968,5526724,558181,5538,21649
2021-07-27,43026974,8942256,14558658,652165,103143,9159
2021-07-28,41705023,3456714,4778665,653523,26183,24825
2021-07-29,37860852,4232475,8076646,607560,25855,71818
2021-07-30,39797533,5015232,3078551,654042,69204,22722
2021-08-02,38632895,3708813,4916427,650947,22980,12075
2021-08-03,49633647,16589429,5588677,649674,23852,25125
2021-08-04,49112278,2999173,3555222,580635,23431,92470
2021-08-05,48684275,7229390,7657393,489791,20527,111371
2021-08-06,43980052,4657046,9361269,492979,20947,17759
2021-08-09,43542091,1755633,2193594,416761,17603,93821
2021-08-10,42323129,2574788,3793750,415661,18000,19100
2021-08-11,41700978,3139806,4246295,405355,9994,20300
2021-08-12,42634187,6690014,5756805,439249,51294,17400
2021-08-13,44366699,4296767,2564255,504808,88957,23398
2021-08-16,44885099,2293378,1774978,484526,4817,25099
2021-08-17,45211874,1948009,1621234,485842,15300,13984
2021-08-18,44904286,606540,914128,485655,12669,12856
2021-08-19,43836332,561927,1629881,429787,12955,68823
2021-08-20,43355378,1305560,1786514,435131,16599,11255
2021-08-23,45965540,7820498,5210336,428168,9300,16263
2021-08-24,41545926,2262314,6681928,486348,64459,6279
2021-08-25,39852615,1170203,2863514,483678,32600,35270
2021-08-26,39292583,1228722,1788754,437716,9714,55676
2021-08-27,42175961,4508847,1625469,439382,9566,7900
2021-08-30,42752179,2534670,1958452,439131,11049,11300
2021-08-31,42250237,1999367,2501309,439152,11021,11000
2021-09-01,45400051,7091729,3941915,440512,12300,10940
2021-09-02,46630579,2166307,935779,437250,9000,12262
2021-09-03,44268562,1058284,3420301,437589,9357,9018
2021-09-06,44855135,1262755,676182,438315,4526,3800
2021-09-07,45033784,1919070,1740421,434515,800,4600
2021-09-08,44680331,1192649,1546102,438715,5000,800
2021-09-09,45611737,1565306,633900,437972,4200,4943
2021-09-10,45177141,1119959,1554555,442772,9000,4200
2021-09-13,44898513,925521,1204149,440172,6400,9000
2021-09-14,43136492,217264,1979285,440172,0,0
2021-09-15,43095409,697041,774176,369830,0,73942
2021-09-16,43529780,1057794,623423,418230,49400,1000
2021-09-17,43104694,136819,561905,420312,2545,463
2021-09-22,43646275,1013454,471873,417722,0,2590
2021-09-23,43403643,426347,668979,389740,0,27982
2021-09-24,42716649,316181,1003175,397585,8145,300
2021-09-27,44869274,3083690,931065,390602,0,6983
2021-09-28,42116600,281740,3034414,390602,0,0
2021-09-29,41811440,990570,1295730,391902,4300,3000
2021-09-30,40242788,329775,1898427,433202,41300,0
2021-10-08,41855217,2171751,559322,389102,0,44100
2021-10-11,41292694,533361,1095884,389102,0,0
2021-10-12,40811174,824448,1305968,391544,2442,0
2021-10-13,40731122,530797,610849,391627,83,0
2021-10-14,40343595,597448,984975,390227,200,1600
2021-10-15,39971258,732193,1104530,390227,0,0
2021-10-18,39725542,302484,548200,355713,0,34514
2021-10-19,39618148,277112,384506,336920,0,18793
2021-10-20,39264406,1582020,1935762,334453,626,3093
2021-10-21,39153265,642322,753463,334453,0,0
2021-10-22,39147306,281038,286997,341602,10500,3351
2021-10-25,38522907,270529,894928,341602,0,0
2021-10-26,38385434,471378,608851,341602,0,0
2021-10-27,38666003,864804,584235,341602,0,0
2021-10-28,36346154,419114,2738963,341602,0,0
2021-10-29,34756214,336018,1925958,344002,2400,0
2021-11-01,37119316,3164384,801282,344002,0,0
2021-11-02,40957092,5950729,2112953,344002,0,0
2021-11-03,41202735,2832275,2586632,344002,0,0
2021-11-04,41501894,2465390,2166231,333502,0,10500
2021-11-05,44145145,3845514,1202263,276102,0,57400
2021-11-08,45341088,2008100,812157,284102,8000,0
