,证券简称,20211115,20211112,incr,quant
603129.SS,春风动力,26911898,16238895.0,0.6572493387019251,10673003.0
301000.SZ,肇民科技,88830710,65324114.0,0.35984561535729354,23506596.0
300982.SZ,苏文电能,117215487,87364481.0,0.3416835498627868,29851006.0
600105.SS,永鼎股份,266175856,203772434.0,0.3062407450067559,62403422.0
300949.SZ,奥雅设计,50156862,38900958.0,0.28934773277305914,11255904.0
300937.SZ,药易购,73752372,57951549.0,0.27265574902924516,15800823.0
300978.SZ,东箭科技,54225647,43143134.0,0.25687779195642113,11082513.0
000030.SZ,富奥股份,174123750,139540710.0,0.2478347716591094,34583040.0
601799.SS,星宇股份,35749032,28667497.0,0.24702313564382683,7081535.0
600566.SS,济川药业,390228331,313971974.0,0.24287631799900722,76256357.0
000035.SZ,中国天楹,374426056,301579744.0,0.24154908759389349,72846312.0
300993.SZ,玉马遮阳,29888849,24367055.0,0.2266090013750124,5521794.0
300917.SZ,特发服务,43002383,35095566.0,0.22529390179944664,7906817.0
002610.SZ,爱康科技,1819744261,1523102431.0,0.19476157608470124,296641830.0
300922.SZ,天秦装备,98200320,83229559.0,0.17987312656552712,14970761.0
300976.SZ,达瑞电子,125912254,108389158.0,0.1616683469392759,17523096.0
601689.SS,拓普集团,613556517,529517789.0,0.15870803539708844,84038728.0
600116.SS,三峡水利,405415359,353068475.0,0.14826269606766784,52346884.0
002405.SZ,四维图新,2385706741,2081830380.0,0.14596595568943527,303876361.0
300968.SZ,格林精密,65961435,57574866.0,0.1456637172199411,8386569.0
