,证券简称,20211227,20211224,incr,quant
300969.SZ,恒帅股份,80321687,51400171.0,0.5626735366308411,28921516.0
002639.SZ,雪人股份,431333338,342152847.0,0.26064518177164264,89180491.0
300928.SZ,华安鑫创,87318013,70918050.0,0.23125231164703486,16399963.0
300943.SZ,春晖智控,94437446,76741653.0,0.23058915606105068,17695793.0
300979.SZ,华利集团,93110652,76770478.0,0.21284449993915633,16340174.0
002565.SZ,顺灏股份,332198650,273962200.0,0.212571113825192,58236450.0
603169.SS,兰石重装,310511967,261750690.0,0.1862890103556174,48761277.0
300973.SZ,立高食品,38435944,32980833.0,0.16540246269704584,5455111.0
002697.SZ,红旗连锁,184444781,159577180.0,0.1558343179143784,24867601.0
600594.SS,益佰制药,287069770,249104987.0,0.15240474892620282,37964783.0
600809.SS,山西汾酒,1807290115,1572784687.0,0.14910205442507585,234505428.0
300917.SZ,特发服务,43040913,37578920.0,0.14534725851621078,5461993.0
000591.SZ,太阳能,2511574136,2194552802.0,0.14445828494583646,317021334.0
603899.SS,晨光文具,137776305,122375149.0,0.12585198976958956,15401156.0
300751.SZ,迈为股份,798137673,712350438.0,0.12042841616109179,85787235.0
300844.SZ,山水比德,42986801,38367331.0,0.12040112980493745,4619470.0
603129.SS,春风动力,26826596,23977220.0,0.11883679592546592,2849376.0
002635.SZ,安洁科技,331988139,297652326.0,0.11535543317071206,34335813.0
002249.SZ,大洋电机,1095619964,984221570.0,0.11318426398641113,111398394.0
300870.SZ,欧陆通,59322409,53688350.0,0.1049400661409785,5634059.0
