,证券简称,20211223,20211222,incr,quant
002548.SZ,金新农,144279266,102458370.0,0.4081745200514122,41820896.0
600372.SS,中航电子,1224208294,1043792612.0,0.17284629142402852,180415682.0
000723.SZ,美锦能源,3959625131,3423436044.0,0.15662307696378286,536189087.0
300967.SZ,晓鸣股份,77454997,67100949.0,0.15430553746713782,10354048.0
300844.SZ,山水比德,34179264,29826002.0,0.1459552641349653,4353262.0
603568.SS,伟明环保,112183989,98598668.0,0.13778402158536251,13585321.0
600383.SS,金地集团,957711420,841847521.0,0.13763050446756608,115863899.0
300909.SZ,汇创达,61491623,54172896.0,0.13509942315064705,7318727.0
600021.SS,上海电力,462143220,407886592.0,0.13301890541182582,54256628.0
601700.SS,风范股份,366024825,323578219.0,0.13117881089517947,42446606.0
300893.SZ,松原股份,28740477,25436623.0,0.12988571635472201,3303854.0
000620.SZ,新华联,45243892,40174325.0,0.12618922657692444,5069567.0
002355.SZ,兴民智通,288064282,256174457.0,0.12448479592171058,31889825.0
600722.SS,金牛化工,159204817,141640798.0,0.12400395400201014,17564019.0
002635.SZ,安洁科技,285904559,254687822.0,0.12256862835004334,31216737.0
300961.SZ,深水海纳,52883529,47230183.0,0.11969773650887605,5653346.0
600486.SS,扬农化工,174562776,156205343.0,0.1175211593114327,18357433.0
300199.SZ,翰宇药业,311608803,279744328.0,0.11390570535535582,31864475.0
000993.SZ,闽东电力,184743656,166222566.0,0.11142343934216492,18521090.0
600885.SS,宏发股份,288651163,262748875.0,0.09858191781030468,25902288.0
