,证券简称,20210915,20210914,incr,quant
600885.SS,宏发股份,254556150,156140748,0.630299286128692,98415402
600331.SS,宏达股份,367308614,275291309,0.3342543044103148,92017305
601965.SS,中国汽研,175723496,144490430,0.21616010139910302,31233066
600985.SS,淮北矿业,504701921,423711256,0.19114588969050184,80990665
600310.SS,桂东电力,161650869,136886516,0.18091155888575616,24764353
600623.SS,华谊集团,620698664,528261406,0.17498393210273622,92437258
600968.SS,海油发展,541927631,462047569,0.17288276653610102,79880062
600722.SS,金牛化工,202303588,175343649,0.15375486454031773,26959939
603222.SS,济民医疗,32773924,28515911,0.14932060210175302,4258013
600773.SS,西藏城投,1721714664,1499680972,0.14805395023709078,222033692
603659.SS,璞泰来,642707684,560131229,0.14742340852414793,82576455
600172.SS,黄河旋风,538174901,474072097,0.13521741609694438,64102804
600888.SS,新疆众和,584430002,519212568,0.12560835006597904,65217434
600389.SS,江山股份,451235538,401366756,0.12424741524930871,49868782
600067.SS,冠城大通,349008300,311558416,0.12020180510867662,37449884
603077.SS,和邦生物,1190732216,1066557227,0.11642599745845605,124174989
600141.SS,兴发集团,2227481828,1996569023,0.11565480699136343,230912805
600163.SS,中闽能源,374360521,335913766,0.1144542406160276,38446755
601699.SS,潞安环能,1143753535,1026477387,0.11425107799281697,117276148
600777.SS,新潮能源,678633773,609066456,0.11421958361798201,69567317
