,证券简称,20210908,20210907,incr,quant,deviation,close
603222.SS,济民医疗,37939188,24552590.0,0.5452214206322021,13386598.0,0.7840048479525368,14.170000076293945
600121.SS,郑州煤电,84397990,58062731.0,0.4535656271490227,26335259.0,0.7249154409033569,5.96999979019165
000761.SZ,本钢板材,319077633,220393285.0,0.4477647674247424,98684348.0,1.4639452988182993,7.050000190734863
000681.SZ,视觉中国,637315128,470476699.0,0.354615710734699,166838429.0,3.8319609725446333,15.350000381469727
600722.SS,金牛化工,160468409,119031550.0,0.3481166043792592,41436859.0,0.5933611359933609,6.820000171661377
300969.SZ,恒帅股份,71710575,58550813.0,0.2247579721907533,13159762.0,18.120449508076366,57.75
600744.SS,华银电力,267400578,218971090.0,0.2211684108619087,48429488.0,0.6938364229626419,7.480000019073486
601669.SS,中国电建,2615074240,2169557194.0,0.2053492976502744,445517046.0,1.7911292882024106,8.850000381469727
600569.SS,安阳钢铁,194474111,163052666.0,0.1927073366589418,31421445.0,0.24136921125274408,4.179999828338623
600863.SS,内蒙华电,440614794,371286822.0,0.1867234921685423,69327972.0,0.7229883778662766,3.369999885559082
000852.SZ,石化机械,134782655,113984770.0,0.1824619639974709,20797885.0,1.4705071822113065,7.75
600075.SS,新疆天业,1019113076,863311991.0,0.1804690385680047,155801085.0,2.344985977432932,11.640000343322754
600199.SS,金种子酒,344778602,294102026.0,0.172309510033773,50676576.0,1.122679376458857,14.399999618530273
600395.SS,盘江股份,263001840,224593612.0,0.1710121123124375,38408228.0,1.6422205367035958,11.180000305175781
600282.SS,南钢股份,413860844,353684966.0,0.1701397678294305,60175878.0,0.5095729738419168,4.909999847412109
301004.SZ,嘉益股份,18566037,16013225.0,0.1594189802491379,2552812.0,1.2161991035797486,21.360000610351562
002390.SZ,信邦制药,174809528,151009771.0,0.1576040864269636,23799757.0,0.7944357579131838,8.850000381469727
000875.SZ,吉电股份,726617274,629486591.0,0.154301432927584,97130683.0,1.013688485540525,7.380000114440918
600888.SS,新疆众和,516640813,451613120.0,0.1439898225277422,65027693.0,0.9747184882329837,9.949999809265137
300870.SZ,欧陆通,64146148,56107228.0,0.1432777965790788,8038920.0,4.483706807506589,61.86000061035156
