,证券简称,20210922,20210917,incr,quant
600170.SS,上海建工,528123547,285145599,0.8521188783979794,242977948
601985.SS,中国核电,1856629187,1384235765,0.34126659196672327,472393422
603126.SS,中材节能,179878621,137033072,0.31266575560679244,42845549
600163.SS,中闽能源,409159323,316221100,0.293902661776839,92938223
600618.SS,氯碱化工,472481220,370358032,0.2757417935518136,102123188
600548.SS,深高速,87994331,69137484,0.2727441889554443,18856847
600985.SS,淮北矿业,524211229,428950741,0.22207791919865216,95260488
600863.SS,内蒙华电,448797471,369301707,0.21525967113929423,79495764
600121.SS,郑州煤电,87814822,74241123,0.18283261959817065,13573699
600868.SS,梅雁吉祥,389958730,331723051,0.1755551169098586,58235679
601890.SS,亚星锚链,335263825,288113717,0.16365103505294054,47150108
603299.SS,苏盐井神,279515900,242876539,0.1508559087298258,36639361
603077.SS,和邦生物,1313159239,1143267317,0.14860209810406055,169891922
600759.SS,洲际油气,434324996,380207732,0.142336042760961,54117264
600039.SS,四川路桥,734919034,646381707,0.13697375102231968,88537327
603606.SS,东方电缆,754720433,666916211,0.13165705159324737,87804222
603456.SS,九洲药业,153805139,136101595,0.13007594804454725,17703544
603659.SS,璞泰来,598161766,530027459,0.12854863619433732,68134307
603393.SS,新天然气,572622270,509772199,0.12329050333323499,62850071
600188.SS,兖州煤业,262537731,233786155,0.12298237250191302,28751576
