日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2020-10-12,266.60亿,4.77亿,8.08亿,-3.31亿,508.81,502.3,602.47,-100.17,266.80亿
2020-12-21,273.14亿,7.70亿,5.94亿,1.75亿,40.82,36.05,2.26,33.79,273.16亿
2020-12-18,271.39亿,4.81亿,5.36亿,-5408.22万,7.03,3.26,4.95,-1.69,271.40亿
2020-12-17,271.93亿,6.16亿,7.14亿,-9755.67万,8.72,4.96,0.0,4.96,271.94亿
2020-12-16,272.91亿,1.62亿,2.53亿,-9083.28万,3.76,0.16,0.01,0.15,272.91亿
2020-12-15,273.82亿,1.58亿,4.27亿,-2.69亿,3.61,0.01,0.0,0.01,273.82亿
2020-12-14,276.51亿,6.21亿,6.21亿,-17.36万,3.6,0.0,48.09,-48.09,276.51亿
2020-12-11,276.51亿,5.79亿,5.72亿,746.65万,51.69,48.09,0.7,47.39,276.53亿
2020-12-10,276.43亿,6.72亿,7.24亿,-5171.05万,4.3,0.7,0.27,0.43,276.44亿
2020-12-09,276.95亿,3.55亿,3.32亿,2374.11万,3.87,0.0,95.2,-95.2,276.95亿
2020-12-08,276.71亿,5.47亿,5.21亿,2639.18万,99.07,90.22,0.0,90.22,276.75亿
2020-12-07,276.45亿,4.50亿,3.74亿,7543.63万,8.85,0.0,0.2,-0.2,276.45亿
2020-12-04,275.70亿,3.49亿,3.20亿,2922.47万,9.05,0.0,2.94,-2.94,275.70亿
2020-12-03,275.40亿,4.81亿,4.03亿,7844.47万,11.99,4.44,2.99,1.45,275.41亿
2020-12-02,274.64亿,5.34亿,4.22亿,1.12亿,10.54,8.49,102.61,-94.12,274.65亿
2020-12-01,273.52亿,3.45亿,5.82亿,-2.36亿,104.66,102.39,60.0,42.39,273.56亿
2020-11-30,275.89亿,5.15亿,3.36亿,1.79亿,62.27,60.5,0.0,60.5,275.91亿
2020-11-27,274.09亿,2.54亿,2.38亿,1587.14万,1.77,0.0,0.0,0.0,274.09亿
2020-11-26,273.93亿,4.69亿,4.33亿,3644.94万,1.77,0.0,3.19,-3.19,273.94亿
2020-11-25,273.57亿,5.33亿,5.03亿,3046.12万,4.96,3.19,299.84,-296.65,273.57亿
2020-11-24,273.27亿,4.60亿,4.58亿,195.27万,301.61,299.84,0.0,299.84,273.38亿
2020-11-23,273.25亿,4.33亿,3.58亿,7445.86万,1.77,0.0,0.0,0.0,273.25亿
2020-11-20,272.50亿,4.31亿,2.89亿,1.42亿,1.77,0.0,2.5,-2.5,272.50亿
2020-11-19,271.08亿,3.27亿,4.39亿,-1.12亿,4.27,2.5,6.0,-3.5,271.08亿
2020-11-18,272.20亿,3.42亿,3.24亿,1772.57万,7.77,6.0,1.42,4.58,272.20亿
2020-11-17,272.02亿,7.67亿,7.11亿,5611.37万,3.19,1.42,25.0,-23.58,272.02亿
2020-11-16,271.46亿,3.99亿,3.13亿,8609.07万,26.77,25.0,0.0,25.0,271.47亿
2020-11-13,270.60亿,4.22亿,3.23亿,9907.78万,1.77,0.0,0.0,0.0,270.60亿
2020-11-12,269.61亿,11.08亿,8.21亿,2.87亿,1.77,0.0,0.0,0.0,269.61亿
2020-11-11,266.74亿,4.97亿,4.08亿,8843.70万,1.77,0.0,0.8,-0.8,266.74亿
2020-11-10,265.86亿,6.18亿,4.57亿,1.61亿,2.57,0.8,2.39,-1.59,265.86亿
2020-11-09,264.25亿,5.82亿,5.04亿,7752.35万,4.16,2.39,122.5,-120.11,264.25亿
2020-11-06,263.47亿,6.83亿,5.82亿,1.01亿,124.27,122.5,204.86,-82.36,263.52亿
2020-11-05,262.46亿,4.70亿,4.24亿,4642.14万,206.63,204.86,0.0,204.86,262.55亿
2020-11-04,262.00亿,5.72亿,6.77亿,-1.05亿,1.77,0.0,21.64,-21.64,262.00亿
2020-11-03,263.05亿,9.85亿,8.25亿,1.60亿,23.41,21.64,0.0,21.64,263.06亿
2020-11-02,261.44亿,3.69亿,4.94亿,-1.25亿,1.77,0.0,0.0,0.0,261.44亿
2020-10-30,262.70亿,2.61亿,3.33亿,-7115.65万,1.77,0.0,0.8,-0.8,262.70亿
2020-10-29,263.41亿,6.45亿,6.13亿,3191.40万,2.57,0.8,15.19,-14.39,263.41亿
2020-10-28,263.09亿,3.24亿,3.98亿,-7488.37万,16.96,4.0,1.3,2.7,263.09亿
2020-10-27,263.84亿,4.86亿,5.97亿,-1.11亿,14.26,1.3,103.03,-101.73,263.84亿
2020-10-26,264.94亿,4.35亿,5.67亿,-1.32亿,115.99,100.01,4.59,95.42,264.99亿
2020-10-23,266.26亿,5.14亿,10.06亿,-4.92亿,20.57,7.61,0.65,6.96,266.27亿
2020-10-22,271.18亿,7.30亿,3.66亿,3.64亿,13.61,0.0,6.16,-6.16,271.19亿
2020-10-21,267.55亿,4.33亿,4.44亿,-1091.84万,19.77,0.0,7.88,-7.88,267.55亿
2020-10-20,267.65亿,4.85亿,4.12亿,7289.55万,27.65,13.14,0.0,13.14,267.67亿
2020-10-19,266.93亿,7.28亿,5.30亿,1.98亿,14.51,0.0,0.03,-0.03,266.93亿
2020-10-16,264.95亿,4.87亿,3.84亿,1.03亿,14.54,1.03,1.2,-0.17,264.95亿
2020-10-15,263.92亿,5.49亿,7.18亿,-1.70亿,14.71,1.2,0.07,1.13,263.92亿
2020-10-14,265.61亿,7.43亿,6.13亿,1.30亿,13.58,7.07,118.4,-111.33,265.62亿
2020-10-13,264.32亿,3.50亿,5.78亿,-2.28亿,124.91,117.4,501.3,-383.9,264.37亿
