,证券简称,20211116,20211115,incr,quant
300750.SZ,宁德时代,7241175134,7023243596.0,0.03103004117985031,217931538.0
002074.SZ,国轩高科,4888253579,4712943565.0,0.037197562750785895,175310014.0
300142.SZ,沃森生物,9150318734,9020352967.0,0.01440805780832144,129965767.0
600030.SS,中信证券,11808416232,11697534733.0,0.009479048494482445,110881499.0
600704.SS,物产中大,1866972741,1763154548.0,0.05888207197591622,103818193.0
600196.SS,复星医药,5978472827,5877178221.0,0.017235244906826264,101294606.0
600893.SS,航发动力,3199424689,3101325141.0,0.03163149413233346,98099548.0
600019.SS,宝钢股份,2368121642,2273288613.0,0.04171622928021068,94833029.0
300088.SZ,长信科技,2103051726,2011003663.0,0.04577220056510667,92048063.0
000988.SZ,华工科技,2304087523,2212910053.0,0.041202519676022176,91177470.0
601012.SS,隆基股份,9330830610,9244571917.0,0.00933073957068542,86258693.0
000630.SZ,铜陵有色,1717106367,1631421914.0,0.05252133262689518,85684453.0
600566.SS,济川药业,474157849,390228331.0,0.2150779718759066,83929518.0
600406.SS,国电南瑞,1618398298,1535405986.0,0.054052356677473545,82992312.0
600702.SS,舍得酒业,1673508054,1595725174.0,0.048744534000815465,77782880.0
300896.SZ,爱美客,1117191600,1040523652.0,0.07368208099127371,76667948.0
603019.SS,中科曙光,2582302900,2508824651.0,0.02928791734038172,73478249.0
603986.SS,兆易创新,3346625541,3275861011.0,0.021601810871212157,70764530.0
600584.SS,长电科技,3175543814,3109709367.0,0.021170610893297637,65834447.0
002617.SZ,露笑科技,2081992483,2018433937.0,0.031489039514697836,63558546.0
