,证券简称,20211228,20211227,incr,quant
600483.SS,福能股份,292966869,228175747.0,0.2839527112406035,64791122.0
301005.SZ,超捷股份,50427524,40767253.0,0.2369615387134374,9660271.0
002746.SZ,仙坛股份,143878490,119381034.0,0.2052039187397221,24497456.0
002750.SZ,龙津药业,75828900,63922147.0,0.1862696038667162,11906753.0
300910.SZ,瑞丰新材,59163522,51464678.0,0.14959471814824132,7698844.0
002665.SZ,首航高科,520710902,459399510.0,0.13345985501813007,61311392.0
600770.SS,综艺股份,617693425,550016559.0,0.12304514271905775,67676866.0
300982.SZ,苏文电能,78660695,70615509.0,0.11392944855782328,8045186.0
600986.SS,浙文互联,660703695,594425263.0,0.11150002552970228,66278432.0
002222.SZ,福晶科技,589255620,531795195.0,0.10804991383948104,57460425.0
603588.SS,高能环境,352955798,319661020.0,0.10415651554887728,33294778.0
000915.SZ,华特达因,499676757,453971272.0,0.10067924518360272,45705485.0
603018.SS,华设集团,167127890,151870036.0,0.10046651993945654,15257854.0
600594.SS,益佰制药,314254978,287069770.0,0.09469895767847647,27185208.0
000762.SZ,西藏矿业,1679377122,1538143059.0,0.09182114899755889,141234063.0
300902.SZ,国安达,110522611,101241963.0,0.09166799738958042,9280648.0
300130.SZ,新国都,530974574,486841905.0,0.09065092496505622,44132669.0
600548.SS,深高速,155114903,142430903.0,0.08905370767746934,12684000.0
002920.SZ,德赛西威,233971169,215200115.0,0.08722604074816598,18771054.0
600668.SS,尖峰集团,572679755,528263333.0,0.08408007753966151,44416422.0
