日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2021-02-25,217.42亿,18.60亿,14.82亿,3.78亿,165.4,8.05,1.43,6.63,252.99亿
2021-02-24,213.61亿,24.93亿,19.52亿,5.41亿,158.78,2.05,2.8,-0.75,248.37亿
2021-02-23,208.20亿,13.10亿,19.36亿,-6.25亿,159.53,2.14,2.45,-0.31,245.00亿
2021-02-22,214.45亿,42.06亿,27.27亿,14.78亿,159.83,2.72,5.31,-2.59,251.02亿
2021-02-19,199.67亿,22.97亿,21.28亿,1.69亿,162.43,3.19,1.83,1.36,239.62亿
2021-02-18,197.98亿,29.75亿,23.10亿,6.65亿,161.06,2.85,4.46,-1.6,237.78亿
2021-02-10,191.32亿,27.52亿,16.90亿,10.62亿,162.66,3.47,7.04,-3.57,233.63亿
2021-02-09,180.70亿,10.60亿,7.99亿,2.61亿,166.23,4.0,2.57,1.43,221.53亿
2021-02-08,178.68亿,10.51亿,10.46亿,496.01万,164.8,0.9,2.27,-1.37,217.71亿
2021-02-05,178.63亿,14.99亿,8.80亿,6.19亿,166.18,4.72,2.64,2.08,217.06亿
2021-02-04,172.44亿,17.77亿,20.27亿,-2.50亿,164.1,6.5,2.87,3.63,210.52亿
2021-02-03,174.94亿,11.08亿,12.39亿,-1.30亿,160.47,2.59,2.16,0.43,210.08亿
2021-02-02,176.24亿,7.07亿,7.05亿,199.49万,160.04,1.36,1.88,-0.52,210.57亿
2021-02-01,176.35亿,7.23亿,5.75亿,1.47亿,160.61,1.24,0.61,0.63,210.23亿
2021-01-29,174.88亿,6.13亿,9.96亿,-3.83亿,159.98,2.64,1.11,1.53,208.73亿
2021-01-28,178.71亿,5.04亿,7.50亿,-2.46亿,158.45,1.13,2.29,-1.16,211.79亿
2021-03-09,220.07亿,19.62亿,19.37亿,2492.47万,151.58,4.7,3.75,0.95,249.43亿
