日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2020-12-21,311.89亿,2.93亿,4.89亿,-1.96亿,0.0,0.0,0.0,0.0,311.89亿
2020-12-18,313.85亿,3.01亿,2.97亿,385.40万,0.0,0.0,0.0,0.0,313.85亿
2020-12-17,313.81亿,5.01亿,4.24亿,7723.58万,0.0,0.0,0.0,0.0,313.81亿
2020-12-16,313.04亿,2.07亿,2.73亿,-6685.29万,0.0,0.0,0.0,0.0,313.04亿
2020-12-15,313.71亿,3.25亿,1.93亿,1.32亿,0.0,0.0,0.0,0.0,313.71亿
2020-12-14,312.39亿,4.27亿,3.09亿,1.19亿,0.0,0.0,0.0,0.0,312.39亿
2020-12-11,311.20亿,2.92亿,2.53亿,3869.16万,0.0,0.0,0.0,0.0,311.20亿
2020-12-10,310.81亿,4.85亿,3.37亿,1.48亿,0.0,0.0,0.0,0.0,310.81亿
2020-12-09,309.33亿,1.50亿,3.72亿,-2.22亿,0.0,0.0,0.0,0.0,309.33亿
2020-12-08,311.55亿,3.70亿,5.53亿,-1.83亿,0.0,0.0,0.0,0.0,311.55亿
2020-12-07,313.38亿,3.67亿,2.28亿,1.39亿,0.0,0.0,0.0,0.0,313.38亿
2020-12-04,311.99亿,2.47亿,2.73亿,-2508.76万,0.0,0.0,0.0,0.0,311.99亿
2020-12-03,312.24亿,2.79亿,2.06亿,7299.22万,0.0,0.0,0.0,0.0,312.24亿
2020-12-02,311.48亿,1.83亿,1.83亿,-3.55万,0.0,0.0,0.0,0.0,311.48亿
2020-12-01,311.48亿,2.15亿,1.93亿,2172.04万,0.0,0.0,0.0,0.0,311.48亿
2020-11-30,311.27亿,4.87亿,4.28亿,5889.13万,0.0,0.0,0.0,0.0,311.27亿
2020-11-27,310.68亿,1.32亿,2.63亿,-1.31亿,0.0,0.0,0.0,0.0,310.68亿
2020-11-26,311.99亿,3.02亿,6.81亿,-3.79亿,0.0,0.0,0.0,0.0,311.99亿
2020-11-25,315.77亿,5.38亿,5.10亿,2803.85万,0.0,0.0,0.0,0.0,315.77亿
2020-11-24,315.49亿,1.62亿,1.08亿,5420.79万,0.0,0.0,0.0,0.0,315.49亿
2020-11-23,314.95亿,1.55亿,2.22亿,-6713.61万,0.0,0.0,0.0,0.0,314.95亿
2020-11-20,315.62亿,2.61亿,2.59亿,230.70万,0.0,0.0,0.0,0.0,315.62亿
2020-11-19,315.60亿,2.35亿,3.68亿,-1.33亿,0.0,0.0,0.0,0.0,315.60亿
2020-11-18,316.92亿,2.18亿,2.13亿,524.00万,0.0,0.0,0.0,0.0,316.92亿
2020-11-17,316.87亿,5.82亿,2.42亿,3.40亿,0.0,0.0,0.0,0.0,316.87亿
2020-11-16,313.47亿,2.06亿,2.03亿,256.28万,0.0,0.0,0.0,0.0,313.47亿
2020-11-13,313.44亿,1.96亿,2.83亿,-8730.38万,0.0,0.0,0.0,0.0,313.44亿
2020-11-12,314.32亿,2.68亿,2.12亿,5640.15万,0.0,0.0,0.0,0.0,314.32亿
2020-11-11,313.75亿,4.05亿,2.08亿,1.97亿,0.0,0.0,0.0,0.0,313.75亿
2020-11-10,311.78亿,6.06亿,4.10亿,1.96亿,0.0,0.0,0.0,0.0,311.78亿
2020-11-09,309.82亿,6.05亿,4.35亿,1.70亿,0.0,0.0,0.0,0.0,309.82亿
2020-11-06,308.13亿,3.03亿,3.02亿,118.55万,0.0,0.0,0.0,0.0,308.13亿
2020-11-05,308.11亿,2.57亿,2.92亿,-3470.80万,0.0,0.0,0.0,0.0,308.11亿
2020-11-04,308.46亿,3.38亿,2.20亿,1.18亿,0.0,0.0,0.0,0.0,308.46亿
2020-11-03,307.28亿,2.65亿,2.68亿,-318.36万,0.0,0.0,0.0,0.0,307.28亿
2020-11-02,307.31亿,2.19亿,1.56亿,6282.49万,0.0,0.0,0.0,0.0,307.31亿
2020-10-30,306.68亿,2.99亿,2.89亿,981.54万,0.0,0.0,0.0,0.0,306.68亿
2020-10-29,306.58亿,3.60亿,1.99亿,1.61亿,0.0,0.0,0.0,0.0,306.58亿
2020-10-28,304.97亿,2.11亿,1.92亿,1880.43万,0.0,0.0,0.0,0.0,304.97亿
2020-10-27,304.78亿,1.72亿,2.56亿,-8326.46万,0.0,0.0,0.0,0.0,304.78亿
2020-10-26,305.61亿,1.48亿,1.37亿,1048.86万,0.0,0.0,0.0,0.0,305.61亿
2020-10-23,305.51亿,1.91亿,3.67亿,-1.76亿,0.0,0.0,0.0,0.0,305.51亿
2020-10-22,307.27亿,3.39亿,3.60亿,-2158.70万,0.0,0.0,0.0,0.0,307.27亿
2020-10-21,307.48亿,3.31亿,5.05亿,-1.75亿,0.0,0.0,0.0,0.0,307.48亿
2020-10-20,309.23亿,4.95亿,3.23亿,1.72亿,0.0,0.0,0.0,0.0,309.23亿
2020-10-19,307.51亿,3.09亿,3.20亿,-1178.98万,0.0,0.0,0.0,0.0,307.51亿
2020-10-16,307.63亿,2.01亿,1.84亿,1682.70万,0.0,0.0,0.0,0.0,307.63亿
2020-10-15,307.46亿,2.86亿,2.50亿,3539.85万,0.0,0.0,0.0,0.0,307.46亿
2020-10-14,307.10亿,2.33亿,3.37亿,-1.03亿,0.0,0.0,0.0,0.0,307.10亿
2020-10-13,308.14亿,1.24亿,5.07亿,-3.84亿,0.0,0.0,0.0,0.0,308.14亿
2020-10-12,311.97亿,2.82亿,4.17亿,-1.35亿,0.0,0.0,0.0,0.0,311.97亿
2020-12-22,311.41亿,4.38亿,4.85亿,-4765.24万,0.0,0.0,0.0,0.0,311.41亿
2020-12-23,311.84亿,4.92亿,4.49亿,4317.37万,0.0,0.0,0.0,0.0,311.84亿
2020-12-25,308.65亿,2.39亿,4.66亿,-2.28亿,0.0,0.0,0.0,0.0,308.65亿
2020-12-24,310.92亿,1.85亿,2.77亿,-9198.40万,0.0,0.0,0.0,0.0,310.92亿
2020-12-28,304.96亿,2.54亿,6.23亿,-3.69亿,0.0,0.0,0.0,0.0,304.96亿
2020-12-29,303.02亿,2.56亿,4.49亿,-1.93亿,0.0,0.0,0.0,0.0,303.02亿
2020-12-30,301.18亿,9911.22万,2.84亿,-1.85亿,0.0,0.0,0.0,0.0,301.18亿
2020-12-31,300.20亿,8158.45万,1.79亿,-9734.59万,0.0,0.0,0.0,0.0,300.20亿
2021-01-04,299.57亿,1.41亿,2.04亿,-6313.71万,0.0,0.0,0.0,0.0,299.57亿
2021-01-05,298.08亿,1.75亿,3.23亿,-1.48亿,0.0,0.0,0.0,0.0,298.08亿
2021-01-06,301.19亿,4.52亿,1.41亿,3.11亿,0.0,0.0,0.0,0.0,301.19亿
2021-01-07,302.65亿,4.50亿,2.87亿,1.63亿,0.0,0.0,0.0,0.0,302.65亿
2021-01-08,302.49亿,2.39亿,2.54亿,-1573.31万,0.0,0.0,0.0,0.0,302.49亿
2021-01-11,303.11亿,4.20亿,3.58亿,6235.81万,0.0,0.0,0.0,0.0,303.11亿
2021-01-12,303.49亿,2.24亿,1.86亿,3776.29万,0.0,0.0,0.0,0.0,303.49亿
2021-01-13,305.12亿,4.10亿,2.48亿,1.62亿,0.0,0.0,0.0,0.0,305.12亿
2021-01-15,302.66亿,8917.52万,2.40亿,-1.51亿,0.0,0.0,0.0,0.0,302.66亿
2021-01-14,304.16亿,2.28亿,3.23亿,-9540.21万,0.0,0.0,0.0,0.0,304.16亿
2021-01-18,300.11亿,2.19亿,4.74亿,-2.55亿,0.0,0.0,0.0,0.0,300.11亿
2021-01-19,299.42亿,4.17亿,4.86亿,-6904.35万,0.0,0.0,0.0,0.0,299.42亿
2021-01-20,300.00亿,4.92亿,4.33亿,5865.26万,0.0,0.0,0.0,0.0,300.00亿
2021-01-21,297.83亿,1.42亿,3.60亿,-2.18亿,0.0,0.0,0.0,0.0,297.83亿
2021-01-22,295.63亿,1.45亿,3.62亿,-2.18亿,0.0,0.0,0.0,0.0,295.63亿
2021-01-25,295.66亿,2.84亿,2.81亿,303.39万,0.0,0.0,0.0,0.0,295.66亿
2021-01-26,295.08亿,2.48亿,3.06亿,-5769.80万,0.0,0.0,0.0,0.0,295.08亿
2021-01-27,295.43亿,2.52亿,2.17亿,3485.83万,0.0,0.0,0.0,0.0,295.43亿
2021-01-28,295.31亿,2.94亿,3.06亿,-1202.83万,0.0,0.0,0.0,0.0,295.31亿
2021-01-29,294.56亿,2.48亿,3.24亿,-7545.27万,0.0,0.0,0.0,0.0,294.56亿
2021-02-02,294.30亿,1.99亿,1.59亿,4025.06万,0.0,0.0,0.0,0.0,294.30亿
2021-02-01,294.80亿,3.36亿,3.12亿,2379.39万,0.0,0.0,0.0,0.0,294.80亿
2021-02-03,293.42亿,1.38亿,2.27亿,-8839.56万,0.0,0.0,0.0,0.0,293.42亿
2021-02-04,291.23亿,1.85亿,4.05亿,-2.19亿,0.0,0.0,0.0,0.0,291.23亿
2021-02-05,286.91亿,9754.30万,5.29亿,-4.32亿,0.0,0.0,0.0,0.0,286.91亿
2021-02-08,286.17亿,7105.48万,1.45亿,-7415.90万,0.0,0.0,0.0,0.0,286.17亿
2021-02-10,284.97亿,6439.71万,1.09亿,-4487.08万,0.0,0.0,0.0,0.0,284.97亿
2021-02-09,285.42亿,1.17亿,1.92亿,-7442.25万,0.0,0.0,0.0,0.0,285.42亿
2021-02-18,284.53亿,1.69亿,2.14亿,-4444.15万,0.0,0.0,0.0,0.0,284.53亿
2021-02-19,285.65亿,2.13亿,1.01亿,1.12亿,0.0,0.0,0.0,0.0,285.65亿
2021-02-23,285.80亿,2.21亿,2.48亿,-2676.26万,0.0,0.0,0.0,0.0,285.80亿
2021-02-22,286.06亿,2.22亿,1.80亿,4138.01万,0.0,0.0,0.0,0.0,286.06亿
2021-02-24,287.45亿,4.29亿,2.64亿,1.65亿,0.0,0.0,0.0,0.0,287.45亿
2021-02-25,286.82亿,1.22亿,1.84亿,-6229.31万,0.0,0.0,0.0,0.0,286.82亿
2021-02-26,287.03亿,1.50亿,1.30亿,2050.10万,0.0,0.0,0.0,0.0,287.03亿
2021-03-01,286.42亿,1.34亿,1.94亿,-6081.53万,0.0,0.0,0.0,0.0,286.42亿
2021-03-02,286.31亿,1.26亿,1.37亿,-1101.89万,0.0,0.0,0.0,0.0,286.31亿
2021-03-03,285.45亿,1.77亿,2.62亿,-8575.10万,0.0,0.0,0.0,0.0,285.45亿
2021-03-04,285.62亿,1.19亿,1.03亿,1658.54万,0.0,0.0,0.0,0.0,285.62亿
2021-03-05,285.53亿,2.38亿,2.47亿,-898.06万,0.0,0.0,0.0,0.0,285.53亿
2021-03-08,286.27亿,1.91亿,1.17亿,7381.38万,0.0,0.0,0.0,0.0,286.27亿
2021-03-09,283.55亿,2.39亿,5.11亿,-2.72亿,0.0,0.0,0.0,0.0,283.55亿
2021-03-10,284.53亿,2.58亿,1.60亿,9745.61万,0.0,0.0,0.0,0.0,284.53亿
2021-03-11,283.77亿,3.01亿,3.77亿,-7539.56万,0.0,0.0,0.0,0.0,283.77亿
2021-03-15,283.96亿,1.76亿,1.83亿,-756.23万,0.0,0.0,0.0,0.0,283.96亿
2021-03-12,284.03亿,1.89亿,1.63亿,2599.60万,0.0,0.0,0.0,0.0,284.03亿
2021-03-16,283.67亿,1.12亿,1.41亿,-2876.09万,0.0,0.0,0.0,0.0,283.67亿
2021-03-17,283.04亿,9921.04万,1.62亿,-6315.05万,0.0,0.0,0.0,0.0,283.04亿
2021-03-18,282.28亿,4314.03万,1.19亿,-7569.28万,0.0,0.0,0.0,0.0,282.28亿
2021-03-19,281.91亿,6924.96万,1.07亿,-3725.59万,0.0,0.0,0.0,0.0,281.91亿
2021-03-22,281.01亿,2.47亿,3.37亿,-8993.79万,0.0,0.0,0.0,0.0,281.01亿
2021-03-23,280.82亿,1.59亿,1.78亿,-1889.00万,0.0,0.0,0.0,0.0,280.82亿
2021-03-24,280.25亿,1.60亿,2.17亿,-5718.48万,0.0,0.0,0.0,0.0,280.25亿
2021-03-26,279.61亿,1.80亿,2.08亿,-2749.49万,0.0,0.0,0.0,0.0,279.61亿
2021-03-25,279.89亿,1.65亿,2.01亿,-3570.77万,0.0,0.0,0.0,0.0,279.89亿
2021-03-29,280.00亿,1.29亿,9003.29万,3848.23万,0.0,0.0,0.0,0.0,280.00亿
2021-03-30,279.77亿,1.38亿,1.61亿,-2321.57万,0.0,0.0,0.0,0.0,279.77亿
2021-03-31,278.60亿,5916.55万,1.76亿,-1.17亿,0.0,0.0,0.0,0.0,278.60亿
2021-04-01,276.96亿,1.24亿,2.87亿,-1.63亿,0.0,0.0,0.0,0.0,276.96亿
2021-04-06,276.67亿,1.12亿,1.72亿,-6052.96万,0.0,0.0,0.0,0.0,276.67亿
2021-04-02,277.27亿,1.64亿,1.33亿,3098.95万,0.0,0.0,0.0,0.0,277.27亿
2021-04-09,275.27亿,1.60亿,1.52亿,763.84万,0.0,0.0,0.0,0.0,275.27亿
2021-04-08,275.19亿,7932.89万,1.91亿,-1.12亿,0.0,0.0,0.0,0.0,275.19亿
2021-04-07,276.31亿,1.45亿,1.81亿,-3583.26万,0.0,0.0,0.0,0.0,276.31亿
2021-04-12,275.41亿,1.71亿,1.57亿,1425.23万,0.0,0.0,0.0,0.0,275.41亿
2021-04-13,274.71亿,7436.47万,1.44亿,-7002.03万,0.0,0.0,0.0,0.0,274.71亿
2021-04-14,273.42亿,1.43亿,2.72亿,-1.29亿,0.0,0.0,0.0,0.0,273.42亿
2021-04-16,271.81亿,1.53亿,2.27亿,-7432.11万,0.0,0.0,0.0,0.0,271.81亿
2021-04-15,272.55亿,2.12亿,2.99亿,-8683.59万,0.0,0.0,0.0,0.0,272.55亿
2021-04-19,268.41亿,9441.26万,4.35亿,-3.41亿,0.0,0.0,0.0,0.0,268.41亿
2021-04-20,268.99亿,1.32亿,7390.74万,5823.36万,0.0,0.0,0.0,0.0,268.99亿
2021-04-22,268.24亿,1.34亿,2.26亿,-9195.41万,0.0,0.0,0.0,0.0,268.24亿
2021-04-21,269.16亿,2.15亿,1.98亿,1718.05万,0.0,0.0,0.0,0.0,269.16亿
2021-04-23,267.18亿,7650.12万,1.83亿,-1.06亿,0.0,0.0,0.0,0.0,267.18亿
2021-04-26,267.44亿,1.92亿,1.66亿,2605.28万,0.0,0.0,0.0,0.0,267.44亿
2021-04-28,267.40亿,2.22亿,1.57亿,6532.76万,0.0,0.0,0.0,0.0,267.40亿
2021-04-27,266.75亿,6859.31万,1.38亿,-6891.83万,0.0,0.0,0.0,0.0,266.75亿
2021-04-30,269.33亿,1.22亿,1.72亿,-4981.10万,0.0,0.0,0.0,0.0,269.33亿
2021-04-29,269.83亿,4.64亿,2.21亿,2.42亿,0.0,0.0,0.0,0.0,269.83亿
2021-05-07,267.77亿,1.84亿,2.48亿,-6494.22万,0.0,0.0,0.0,0.0,267.77亿
2021-05-06,268.42亿,1.08亿,1.98亿,-9045.61万,0.0,0.0,0.0,0.0,268.42亿
2021-05-10,267.34亿,1.17亿,1.61亿,-4385.51万,0.0,0.0,0.0,0.0,267.34亿
2021-05-11,267.03亿,9109.47万,1.21亿,-3022.17万,0.0,0.0,0.0,0.0,267.03亿
2021-05-12,267.49亿,2.05亿,1.60亿,4525.53万,0.0,0.0,0.0,0.0,267.49亿
2021-05-13,267.50亿,1.86亿,1.84亿,133.07万,0.0,0.0,0.0,0.0,267.50亿
2021-05-14,265.14亿,8418.23万,3.20亿,-2.36亿,0.0,0.0,0.0,0.0,265.14亿
2021-05-17,264.92亿,1.47亿,1.69亿,-2184.30万,0.0,0.0,0.0,0.0,264.92亿
2021-05-18,263.85亿,8809.13万,1.96亿,-1.08亿,0.0,0.0,0.0,0.0,263.85亿
2021-05-19,264.24亿,2.75亿,2.35亿,3995.21万,0.0,0.0,0.0,0.0,264.24亿
2021-05-20,262.78亿,1.10亿,2.56亿,-1.46亿,0.0,0.0,0.0,0.0,262.78亿
2021-05-21,261.73亿,1.18亿,2.23亿,-1.05亿,0.0,0.0,0.0,0.0,261.73亿
