日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2020-10-12,236.45亿,3.95亿,4.54亿,-5887.48万,0.0,0.0,0.0,0.0,236.45亿
2020-12-21,247.67亿,5.79亿,9.03亿,-3.23亿,0.0,0.0,0.0,0.0,247.67亿
2020-12-18,250.90亿,4.71亿,4.26亿,4528.38万,0.0,0.0,0.0,0.0,250.90亿
2020-12-17,250.45亿,6.16亿,4.63亿,1.53亿,0.0,0.0,0.0,0.0,250.45亿
2020-12-16,248.92亿,5.41亿,4.61亿,8028.25万,0.0,0.0,0.0,0.0,248.92亿
2020-12-15,248.12亿,3.96亿,7.41亿,-3.45亿,0.0,0.0,0.0,0.0,248.12亿
2020-12-14,251.57亿,3.48亿,4.09亿,-6131.61万,0.0,0.0,0.0,0.0,251.57亿
2020-12-11,252.18亿,3.01亿,2.02亿,9870.86万,0.0,0.0,0.0,0.0,252.18亿
2020-12-10,251.20亿,3.80亿,3.03亿,7700.18万,0.0,0.0,0.0,0.0,251.20亿
2020-12-09,250.43亿,5.59亿,3.46亿,2.13亿,0.0,0.0,0.0,0.0,250.43亿
2020-12-08,248.30亿,1.65亿,4.52亿,-2.88亿,0.0,0.0,0.0,0.0,248.30亿
2020-12-07,251.18亿,1.65亿,1.25亿,3937.38万,0.0,0.0,0.0,0.0,251.18亿
2020-12-04,250.78亿,2.90亿,2.96亿,-612.44万,0.0,0.0,0.0,0.0,250.78亿
2020-12-03,250.84亿,3.75亿,2.35亿,1.40亿,0.0,0.0,0.0,0.0,250.84亿
2020-12-02,249.45亿,2.54亿,3.36亿,-8134.90万,0.0,0.0,0.0,0.0,249.45亿
2020-12-01,250.26亿,4.07亿,3.27亿,8055.72万,0.0,0.0,0.0,0.0,250.26亿
2020-11-30,249.45亿,4.65亿,6.33亿,-1.69亿,0.0,0.0,0.0,0.0,249.45亿
2020-11-27,251.14亿,3.40亿,4.84亿,-1.45亿,0.0,0.0,0.0,0.0,251.14亿
2020-11-26,252.59亿,5.10亿,4.68亿,4127.41万,0.0,0.0,0.0,0.0,252.59亿
2020-11-25,252.18亿,3.14亿,2.28亿,8629.87万,0.0,0.0,0.0,0.0,252.18亿
2020-11-24,251.31亿,3.38亿,2.61亿,7747.86万,0.0,0.0,0.0,0.0,251.31亿
2020-11-23,250.54亿,1.94亿,2.24亿,-2988.37万,0.0,0.0,0.0,0.0,250.54亿
2020-11-20,250.84亿,3.02亿,3.60亿,-5816.52万,0.0,0.0,0.0,0.0,250.84亿
2020-11-19,251.42亿,3.35亿,2.92亿,4292.18万,0.0,0.0,0.0,0.0,251.42亿
2020-11-18,250.99亿,4.99亿,4.26亿,7250.05万,0.0,0.0,0.0,0.0,250.99亿
2020-11-17,250.27亿,4.43亿,5.22亿,-7892.10万,0.0,0.0,0.0,0.0,250.27亿
2020-11-16,251.06亿,3.72亿,4.41亿,-6885.80万,0.0,0.0,0.0,0.0,251.06亿
2020-11-13,251.74亿,4.31亿,2.74亿,1.57亿,0.0,0.0,0.0,0.0,251.74亿
2020-11-12,250.17亿,7.70亿,4.50亿,3.20亿,0.0,0.0,0.0,0.0,250.17亿
2020-11-11,246.97亿,3.42亿,2.89亿,5246.38万,0.0,0.0,0.0,0.0,246.97亿
2020-11-10,246.45亿,4.15亿,4.48亿,-3335.85万,0.0,0.0,0.0,0.0,246.45亿
