,证券简称,20210909,20210908,incr,quant
600837.SS,海通证券,7174745879,6676085595.0,0.07469351267357438,498660284.0
601899.SS,紫金矿业,5682842723,5326995218.0,0.06680079302447761,355847505.0
601012.SS,隆基股份,9938692100,9610774728.0,0.034119764668361974,327917372.0
601669.SS,中国电建,2868499474,2615074240.0,0.09690938410987515,253425234.0
600150.SS,中国船舶,2474730283,2227277808.0,0.11110085778756162,247452475.0
601216.SS,君正集团,1426032192,1217126626.0,0.17163831727726908,208905566.0
000932.SZ,华菱钢铁,1579321911,1388475741.0,0.13745012920611055,190846170.0
601225.SS,陕西煤业,2217140054,2026672311.0,0.09398053250454663,190467743.0
601600.SS,中国铝业,3172165536,2985013108.0,0.06269735549851396,187152428.0
002466.SZ,天齐锂业,6586715997,6401466033.0,0.028938677959864822,185249964.0
000776.SZ,广发证券,4277470983,4103125789.0,0.04249082357343248,174345194.0
000166.SZ,申万宏源,2620931496,2446893678.0,0.07112602380919641,174037818.0
002352.SZ,顺丰控股,2356225677,2190205110.0,0.07580137871196913,166020567.0
000723.SZ,美锦能源,2758985008,2605512135.0,0.058903150339769894,153472873.0
600111.SS,北方稀土,8237609689,8085372140.0,0.018828762160105095,152237549.0
300079.SZ,数码视讯,1932011313,1782691884.0,0.08376064890414914,149319429.0
000960.SZ,锡业股份,1850562783,1703192007.0,0.08652622569523372,147370776.0
601688.SS,华泰证券,5983429328,5838442350.0,0.02483316085154108,144986978.0
000768.SZ,中航西飞,5303394253,5163306663.0,0.02713137125940257,140087590.0
300059.SZ,东方财富,12358376024,12219025881.0,0.011404357790638864,139350143.0
