,证券简称,20211203,20211202,incr,quant
301003.SZ,江苏博云,37324031,26393445.0,0.4141401776084934,10930586.0
300623.SZ,捷捷微电,920720677,725414481.0,0.26923393606751,195306196.0
601298.SS,青岛港,154216059,122648847.0,0.2573787913391472,31567212.0
600808.SS,马钢股份,466191933,380285051.0,0.22590128582256574,85906882.0
003035.SZ,南网能源,206833527,172440316.0,0.1994499418569844,34393211.0
002600.SZ,领益智造,1540493967,1317499093.0,0.16925618786744767,222994874.0
600188.SS,兖州煤业,313024844,267800566.0,0.1688729739279191,45224278.0
600018.SS,上港集团,669777059,575479024.0,0.16386007320398877,94298035.0
601001.SS,晋控煤业,660905426,582818933.0,0.13398070752104418,78086493.0
000591.SZ,太阳能,2171045285,1920475756.0,0.13047263326140102,250569529.0
000993.SZ,闽东电力,191721813,169975902.0,0.12793525872861666,21745911.0
300906.SZ,日月明,43547384,38711912.0,0.12490914941116826,4835472.0
601669.SS,中国电建,2471070776,2198955382.0,0.12374757406514769,272115394.0
600741.SS,华域汽车,536903766,479161452.0,0.12050701023420385,57742314.0
300886.SZ,华业香料,37580623,33860459.0,0.10986750061480266,3720164.0
002653.SZ,海思科,165759992,149602277.0,0.10800447241855826,16157715.0
300948.SZ,冠中生态,65213049,58893527.0,0.10730418641763473,6319522.0
000887.SZ,中鼎股份,870846709,793119014.0,0.09800256156763876,77727695.0
000301.SZ,东方盛虹,1054843524,961091045.0,0.09754796851738434,93752479.0
300988.SZ,津荣天宇,53657090,49160623.0,0.09146480914206467,4496467.0
