,证券简称,20211224,20211223,incr,quant
603789.SS,星光农机,136837445,106552194.0,0.2842292576349954,30285251.0
000539.SZ,粤电力Ａ,182326225,151829606.0,0.20086081893672314,30496619.0
002565.SZ,顺灏股份,273962200,229220519.0,0.1951905579622215,44741681.0
300750.SZ,宁德时代,6937946877,5973932648.0,0.1613701201205775,964014229.0
000665.SZ,湖北广电,300058907,259949076.0,0.15429880196996737,40109831.0
000812.SZ,陕西金叶,369798189,325181427.0,0.13720575129895107,44616762.0
300893.SZ,松原股份,32614637,28740477.0,0.13479804110418914,3874160.0
000959.SZ,首钢股份,214801130,190634569.0,0.12676903841086662,24166561.0
300918.SZ,南山智尚,45017427,40006202.0,0.1252612032504361,5011225.0
300844.SZ,山水比德,38367331,34179264.0,0.12253239273964467,4188067.0
300991.SZ,创益通,49857718,44579738.0,0.11839414578883356,5277980.0
002475.SZ,立讯精密,2985637267,2683522633.0,0.11258136237973737,302114634.0
603919.SS,金徽酒,343567997,308840485.0,0.11244481758924829,34727512.0
002269.SZ,美邦服饰,120196733,108231038.0,0.1105569642601043,11965695.0
300879.SZ,大叶股份,46542339,42436489.0,0.09675282043243483,4105850.0
603776.SS,永安行,328237047,299434618.0,0.0961893758055723,28802429.0
601700.SS,风范股份,401092774,366024825.0,0.09580756988272587,35067949.0
600855.SS,航天长峰,434218927,398218466.0,0.09040379609116367,36000461.0
603329.SS,上海雅仕,140543843,128937596.0,0.09001445164217259,11606247.0
000811.SZ,冰轮环境,621899774,570564471.0,0.08997283498922948,51335303.0
