,证券简称,20210922,20210917,incr,quant
601985.SS,中国核电,1856629187,1384235765,0.34126659196672327,472393422
600170.SS,上海建工,528123547,285145599,0.8521188783979794,242977948
601669.SS,中国电建,2916367860,2712560484,0.07513468444377747,203807376
603077.SS,和邦生物,1313159239,1143267317,0.14860209810406055,169891922
600438.SS,通威股份,6498042707,6339555088,0.024999801531813803,158487619
600499.SS,科达制造,2575757624,2429845297,0.060050048116293775,145912327
600141.SS,兴发集团,2619669874,2478294857,0.05704527715928687,141375017
600352.SS,浙江龙盛,3215728397,3095048129,0.038991402708490774,120680268
601615.SS,明阳智能,1396704892,1286073127,0.08602291944165619,110631765
600089.SS,特变电工,5848015072,5741442837,0.0185619256388323,106572235
601888.SS,中国中免,7142950622,7037916546,0.014924029762713786,105034076
600519.SS,贵州茅台,24841447786,24737406255,0.004205838313342536,104041531
600618.SS,氯碱化工,472481220,370358032,0.2757417935518136,102123188
600919.SS,江苏银行,2144411513,2045195179,0.04851191466650717,99216334
600490.SS,鹏欣资源,1186740605,1088324621,0.09042888684220984,98415984
601857.SS,中国石油,2755470653,2659494461,0.03608813381920406,95976192
600985.SS,淮北矿业,524211229,428950741,0.22207791919865216,95260488
600150.SS,中国船舶,2685856322,2590877737,0.03665884485540283,94978585
600163.SS,中闽能源,409159323,316221100,0.293902661776839,92938223
600039.SS,四川路桥,734919034,646381707,0.13697375102231968,88537327
