,证券简称,20211228,20211227,incr,quant
002466.SZ,天齐锂业,6068445124,5651577070.0,0.07376136763892704,416868054.0
601012.SS,隆基股份,10620563675,10348317045.0,0.026308300066197,272246630.0
603799.SS,华友钴业,3484557043,3260123667.0,0.06884198236765848,224433376.0
600111.SS,北方稀土,8168676670,7950179602.0,0.027483287037318505,218497068.0
600809.SS,山西汾酒,1949982353,1807290115.0,0.0789536980342529,142692238.0
000762.SZ,西藏矿业,1679377122,1538143059.0,0.09182114899755889,141234063.0
600519.SS,贵州茅台,23233575902,23100199888.0,0.005773803458267279,133376014.0
000001.SZ,平安银行,4082375493,3969029538.0,0.02855759926067858,113345955.0
600703.SS,三安光电,5368067449,5264998308.0,0.0195762913814026,103069141.0
000799.SZ,酒鬼酒,2598211786,2497226066.0,0.040439158222369764,100985720.0
601919.SS,中远海控,10423235919,10323215884.0,0.009688844651115192,100020035.0
300182.SZ,捷成股份,968195164,895258667.0,0.08146974688824771,72936497.0
600770.SS,综艺股份,617693425,550016559.0,0.12304514271905775,67676866.0
300059.SZ,东方财富,10905245948,10837625194.0,0.006239443862428251,67620754.0
600986.SS,浙文互联,660703695,594425263.0,0.11150002552970228,66278432.0
000155.SZ,川能动力,1697428625,1632425931.0,0.03981968968122196,65002694.0
600483.SS,福能股份,292966869,228175747.0,0.2839527112406035,64791122.0
000002.SZ,万  科Ａ,6252058591,6190731777.0,0.009906230185556364,61326814.0
002665.SZ,首航高科,520710902,459399510.0,0.13345985501813007,61311392.0
000723.SZ,美锦能源,4033607411,3972346071.0,0.01542195440806049,61261340.0
