,证券简称,20211210,20211209,incr,quant
600905.SS,三峡能源,2668338118,2160677436.0,0.23495440529050815,507660682.0
600702.SS,舍得酒业,2763748369,2326664499.0,0.18785857186880994,437083870.0
000858.SZ,五 粮 液,9805547504,9546248347.0,0.027162414759666964,259299157.0
600522.SS,中天科技,2405148708,2187336225.0,0.09957887612820016,217812483.0
002340.SZ,格林美,4117406536,3923756081.0,0.04935333670146158,193650455.0
601919.SS,中远海控,10550534658,10359907877.0,0.018400432056274285,190626781.0
603260.SS,合盛硅业,977136099,829613529.0,0.17782083445266483,147522570.0
603185.SS,上机数控,2008807160,1878431038.0,0.06940692490836065,130376122.0
300274.SZ,阳光电源,3541116180,3422191091.0,0.03475115381860472,118925089.0
600096.SS,云天化,3427596483,3314222983.0,0.0342081690283178,113373500.0
300015.SZ,爱尔眼科,2252501020,2139623033.0,0.05275601601733171,112877987.0
002129.SZ,中环股份,6973548234,6862695065.0,0.016153008103967137,110853169.0
601878.SS,浙商证券,2127558646,2022979129.0,0.05169579631387289,104579517.0
000799.SZ,酒鬼酒,2555176936,2452973755.0,0.041665012025373205,102203181.0
600111.SS,北方稀土,8776434801,8686364836.0,0.010369120650644437,90069965.0
600559.SS,老白干酒,1545207943,1456285034.0,0.06106147280505536,88922909.0
000812.SZ,陕西金叶,369096709,280784757.0,0.314518326933253,88311952.0
002241.SZ,歌尔股份,3324010008,3239573653.0,0.026064033124176156,84436355.0
002013.SZ,中航机电,878292782,797809575.0,0.10088022195020652,80483207.0
000932.SZ,华菱钢铁,2032245058,1952064042.0,0.0410749925590812,80181016.0
