,证券简称,20211223,20211222,incr,quant
000723.SZ,美锦能源,3959625131,3423436044.0,0.15662307696378286,536189087.0
603799.SS,华友钴业,3326559444,3143320082.0,0.05829484660162576,183239362.0
600372.SS,中航电子,1224208294,1043792612.0,0.17284629142402852,180415682.0
002385.SZ,大北农,2859491192,2698901129.0,0.059502017793257256,160590063.0
600010.SS,包钢股份,4186811353,4045555395.0,0.034916332668335714,141255958.0
601166.SS,兴业银行,12210608771,12091150257.0,0.009879830409918355,119458514.0
600383.SS,金地集团,957711420,841847521.0,0.13763050446756608,115863899.0
601555.SS,XR东吴证,2193526005,2080565894.0,0.05429297448629611,112960111.0
300207.SZ,欣旺达,2129873250,2020058873.0,0.05436196858803144,109814377.0
000338.SZ,潍柴动力,6243838112,6134043109.0,0.01789928780234784,109795003.0
002475.SZ,立讯精密,2683522633,2578076709.0,0.040901003306802686,105445924.0
600905.SS,三峡能源,2561406870,2463431415.0,0.03977194347828017,97975455.0
000001.SZ,平安银行,3904569977,3807278629.0,0.02555403937577161,97291348.0
002074.SZ,国轩高科,4845198328,4749664712.0,0.020113759979443424,95533616.0
000776.SZ,广发证券,3436261910,3348484310.0,0.026214129102489325,87777600.0
000858.SZ,五 粮 液,9930087763,9844304553.0,0.008713993917818907,85783210.0
603589.SS,口子窖,913741981,835669650.0,0.09342487309429037,78072331.0
002304.SZ,洋河股份,1518981778,1442169043.0,0.053261949681165044,76812735.0
000063.SZ,中兴通讯,5059307058,4985075827.0,0.014890692454054832,74231231.0
600141.SS,兴发集团,2404632618,2330571974.0,0.031777883209025415,74060644.0
