,证券简称,20210915,20210914,incr,quant
000937.SZ,冀中能源,762611572,440151472,0.7326116587427884,322460100
600519.SS,贵州茅台,25387570109,25139071838,0.009884942157027954,248498271
600089.SS,特变电工,6361599372,6124109215,0.03877954305881848,237490157
600141.SS,兴发集团,2227481828,1996569023,0.11565480699136343,230912805
603993.SS,洛阳钼业,3391545020,3163109266,0.07221873630969289,228435754
601899.SS,紫金矿业,5972141206,5749425797,0.038736982937706665,222715409
002756.SZ,永兴材料,1240890942,1018503056,0.2183477847119979,222387886
600773.SS,西藏城投,1721714664,1499680972,0.14805395023709078,222033692
002407.SZ,多氟多,3876369123,3666371669,0.05727664103876218,209997454
600900.SS,长江电力,4835208457,4645857796,0.04075687834505559,189350661
600392.SS,盛和资源,4164981772,3980700191,0.04629376043356492,184281581
600096.SS,云天化,3152561124,2969014211,0.061820826697282616,183546913
601857.SS,中国石油,2813513396,2638459820,0.06634687959735541,175053576
002601.SZ,龙佰集团,1880003934,1709341227,0.09984121619737896,170662707
002340.SZ,格林美,4856655193,4687283221,0.03613435843628543,169371972
601877.SS,正泰电器,1694237687,1534103485,0.10438292042599717,160134202
600585.SS,海螺水泥,3161535924,3001748682,0.053231385744637816,159787242
300339.SZ,润和软件,2369514282,2214679833,0.06991279131767847,154834449
002074.SZ,国轩高科,5509216357,5359918181,0.027854562506054004,149298176
002080.SZ,中材科技,1129738204,994276412,0.13624158268777276,135461792
