日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余量,融券卖出量,融券偿还量,融券净卖出,融资融券余额
2020-10-12,197.98亿,11.77亿,8.99亿,2.79亿,0.0,0.0,0.0,0.0,197.98亿
2020-12-21,228.71亿,6.74亿,6.32亿,4225.43万,0.0,0.0,0.0,0.0,228.71亿
2020-12-18,228.29亿,5.94亿,4.86亿,1.08亿,0.0,0.0,0.0,0.0,228.29亿
2020-12-17,227.21亿,6.70亿,6.07亿,6298.96万,0.0,0.0,0.0,0.0,227.21亿
2020-12-16,226.58亿,3.94亿,4.64亿,-6921.41万,0.0,0.0,0.0,0.0,226.58亿
2020-12-15,227.27亿,2.40亿,3.18亿,-7896.25万,0.0,0.0,0.0,0.0,227.27亿
2020-12-14,228.06亿,5.15亿,4.78亿,3686.49万,0.0,0.0,0.0,0.0,228.06亿
2020-12-11,227.70亿,3.53亿,4.35亿,-8199.54万,0.0,0.0,0.0,0.0,227.70亿
2020-12-10,228.52亿,3.45亿,2.77亿,6777.29万,0.0,0.0,0.0,0.0,228.52亿
2020-12-09,227.84亿,5.91亿,5.66亿,2409.04万,0.0,0.0,0.0,0.0,227.84亿
2020-12-08,227.60亿,3.12亿,3.95亿,-8349.42万,0.0,0.0,0.0,0.0,227.60亿
2020-12-07,228.43亿,4.96亿,4.67亿,2892.06万,0.0,0.0,0.0,0.0,228.43亿
2020-12-04,228.14亿,3.10亿,3.66亿,-5549.21万,0.0,0.0,0.0,0.0,228.14亿
2020-12-03,228.70亿,5.56亿,6.76亿,-1.20亿,0.0,0.0,0.0,0.0,228.70亿
2020-12-02,229.90亿,4.96亿,5.09亿,-1274.55万,0.0,0.0,0.0,0.0,229.90亿
2020-12-01,230.03亿,6.01亿,4.51亿,1.50亿,0.0,0.0,0.0,0.0,230.03亿
2020-11-30,228.53亿,5.28亿,5.16亿,1263.48万,0.0,0.0,0.0,0.0,228.53亿
2020-11-27,228.40亿,1.43亿,2.14亿,-7115.23万,0.0,0.0,0.0,0.0,228.40亿
2020-11-26,229.11亿,4.12亿,3.73亿,3884.01万,0.0,0.0,0.0,0.0,229.11亿
2020-11-25,228.72亿,4.25亿,3.77亿,4809.81万,0.0,0.0,0.0,0.0,228.72亿
2020-11-24,228.24亿,5.82亿,5.30亿,5199.64万,0.0,0.0,0.0,0.0,228.24亿
2020-11-23,227.72亿,6.26亿,5.66亿,6004.47万,0.0,0.0,0.0,0.0,227.72亿
2020-11-20,227.12亿,5.36亿,6.81亿,-1.46亿,0.0,0.0,0.0,0.0,227.12亿
2020-11-19,228.58亿,3.93亿,5.74亿,-1.81亿,0.0,0.0,0.0,0.0,228.58亿
2020-11-18,230.39亿,6.67亿,5.14亿,1.52亿,0.0,0.0,0.0,0.0,230.39亿
2020-11-17,228.86亿,6.71亿,3.79亿,2.92亿,0.0,0.0,0.0,0.0,228.86亿
2020-11-16,225.94亿,3.11亿,3.49亿,-3826.90万,0.0,0.0,0.0,0.0,225.94亿
2020-11-13,226.33亿,5.51亿,4.03亿,1.48亿,0.0,0.0,0.0,0.0,226.33亿
