,证券简称,20211230,20211229,incr,quant
002639.SZ,雪人股份,589342559,395929870.0,0.48850239311320465,193412689.0
002746.SZ,仙坛股份,206601842,151070369.0,0.3675867965874897,55531473.0
300984.SZ,金沃股份,35027758,26753062.0,0.30929902528540465,8274696.0
300860.SZ,锋尚文化,252871943,201343922.0,0.25592041958932343,51528021.0
000537.SZ,广宇发展,737486160,616663061.0,0.19593049534063134,120823099.0
000543.SZ,皖能电力,605268572,514137454.0,0.17725049457299402,91131118.0
300844.SZ,山水比德,49120210,42076854.0,0.16739264774880747,7043356.0
600668.SS,尖峰集团,654292423,560812278.0,0.16668705138442075,93480145.0
000731.SZ,四川美丰,622897809,540269779.0,0.15293846372998776,82628030.0
002791.SZ,坚朗五金,97562739,84700775.0,0.15185178648011188,12861964.0
300943.SZ,春晖智控,94460226,82838824.0,0.14028931651661303,11621402.0
000566.SZ,海南海药,349790698,307420151.0,0.13782618628666277,42370547.0
300058.SZ,蓝色光标,1804075921,1590568921.0,0.1342331018675802,213507000.0
601869.SS,长飞光纤,186704167,164680038.0,0.1337389113305889,22024129.0
600188.SS,兖矿能源,582960417,515413323.0,0.1310542257752232,67547094.0
600366.SS,宁波韵升,1038234326,925520342.0,0.12178444803971678,112713984.0
603517.SS,绝味食品,392003712,351200418.0,0.11618236171917085,40803294.0
000681.SZ,视觉中国,564303321,506031063.0,0.1151554958988752,58272258.0
300942.SZ,易瑞生物,60812169,54834447.0,0.10901399260942668,5977722.0
600351.SS,亚宝药业,440999676,399649610.0,0.1034657984527998,41350066.0
