日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2020-11-26,-59.47亿,-4.74%,-26.02亿,-2.07%,-33.45亿,-2.66%,-1.58亿,-0.13%,61.05亿,4.86%
2020-11-25,-104.35亿,-6.66%,-56.86亿,-3.63%,-47.49亿,-3.03%,16.94亿,1.08%,87.41亿,5.58%
2020-11-24,-42.89亿,-2.88%,-13.12亿,-0.88%,-29.78亿,-2.00%,-3.64亿,-0.24%,46.54亿,3.13%
2020-11-23,-566.84万,0.00%,15.02亿,0.88%,-15.08亿,-0.89%,-13.75亿,-0.81%,13.80亿,0.81%
2020-11-20,18.58亿,1.45%,27.19亿,2.12%,-8.60亿,-0.67%,-19.21亿,-1.50%,6303.49万,0.05%
2020-11-19,-27.55亿,-2.28%,-5.41亿,-0.45%,-22.14亿,-1.83%,-3.99亿,-0.33%,31.55亿,2.61%
2020-11-18,-36.19亿,-2.79%,-10.31亿,-0.79%,-25.87亿,-1.99%,-3.52亿,-0.27%,39.71亿,3.06%
2020-11-17,-72.08亿,-5.19%,-28.43亿,-2.05%,-43.65亿,-3.14%,-5471.54万,-0.04%,72.63亿,5.23%
2020-11-16,16.24亿,1.23%,19.94亿,1.51%,-3.70亿,-0.28%,-13.35亿,-1.01%,-2.88亿,-0.22%
2020-11-13,-26.47亿,-2.34%,-10.06亿,-0.89%,-16.41亿,-1.45%,-1.04亿,-0.09%,27.51亿,2.44%
2020-11-12,-35.75亿,-3.16%,-9.64亿,-0.85%,-26.11亿,-2.31%,1.23亿,0.11%,34.52亿,3.05%
2020-11-11,-67.86亿,-5.05%,-25.52亿,-1.90%,-42.34亿,-3.15%,3.31亿,0.25%,64.55亿,4.80%
2020-11-10,-71.32亿,-4.57%,-38.03亿,-2.44%,-33.30亿,-2.14%,20.30亿,1.30%,51.03亿,3.27%
2020-11-09,24.22亿,1.38%,32.89亿,1.88%,-8.67亿,-0.50%,-31.94亿,-1.82%,7.73亿,0.44%
2020-11-06,-74.44亿,-5.65%,-29.00亿,-2.20%,-45.44亿,-3.45%,11.86亿,0.90%,62.57亿,4.75%
2020-11-05,24.23亿,1.83%,26.09亿,1.97%,-1.86亿,-0.14%,-20.20亿,-1.52%,-4.03亿,-0.30%
2020-11-04,-16.11亿,-1.49%,1.24亿,0.11%,-17.35亿,-1.60%,-3745.08万,-0.03%,16.48亿,1.52%
2020-11-03,1.07亿,0.09%,8.71亿,0.75%,-7.64亿,-0.66%,-8.85亿,-0.76%,7.79亿,0.67%
2020-11-02,-26.89亿,-2.17%,6592.67万,0.05%,-27.55亿,-2.23%,-12.59亿,-1.02%,39.49亿,3.19%
2020-10-30,-94.02亿,-7.43%,-35.78亿,-2.83%,-58.23亿,-4.60%,11.93亿,0.94%,82.09亿,6.49%
2020-10-29,-18.93亿,-1.72%,-1.92亿,-0.18%,-17.01亿,-1.55%,-7.32亿,-0.67%,26.25亿,2.39%
2020-10-28,-10.73亿,-1.03%,1.95亿,0.19%,-12.69亿,-1.22%,-6.96亿,-0.67%,17.70亿,1.70%
2020-10-27,-33.04亿,-3.70%,-11.73亿,-1.31%,-21.30亿,-2.39%,4.05亿,0.45%,28.99亿,3.25%
2020-10-26,-29.73亿,-3.49%,-6.24亿,-0.73%,-23.49亿,-2.76%,-5.91亿,-0.69%,35.64亿,4.18%
2020-10-23,-82.03亿,-8.73%,-35.74亿,-3.80%,-46.28亿,-4.93%,5.66亿,0.60%,76.37亿,8.13%
2020-10-22,-30.68亿,-3.17%,-8.96亿,-0.93%,-21.71亿,-2.24%,-2.45亿,-0.25%,33.12亿,3.42%
2020-10-21,-64.32亿,-6.30%,-24.68亿,-2.42%,-39.63亿,-3.88%,9.59亿,0.94%,54.73亿,5.36%
2020-10-20,-10.63亿,-1.12%,1.37亿,0.14%,-12.00亿,-1.26%,-5.25亿,-0.55%,15.88亿,1.67%
2020-10-19,-71.20亿,-6.21%,-33.01亿,-2.88%,-38.19亿,-3.33%,13.76亿,1.20%,57.44亿,5.01%
2020-10-16,-60.60亿,-5.56%,-22.54亿,-2.07%,-38.05亿,-3.49%,5.37亿,0.49%,55.23亿,5.06%
