日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2021-06-28,-61.62亿,-3.51%,-37.42亿,-2.13%,-24.20亿,-1.38%,11.46亿,0.65%,50.15亿,2.86%
2021-07-01,-96.83亿,-5.76%,-50.12亿,-2.98%,-46.71亿,-2.78%,11.46亿,0.68%,85.38亿,5.08%
2021-06-30,-45.96亿,-2.96%,-23.74亿,-1.53%,-22.22亿,-1.43%,3.50亿,0.23%,42.46亿,2.74%
2021-06-29,-105.23亿,-6.28%,-67.41亿,-4.02%,-37.82亿,-2.26%,16.93亿,1.01%,88.30亿,5.27%
2021-07-05,1.33亿,0.08%,6.93亿,0.42%,-5.60亿,-0.34%,-7.44亿,-0.45%,6.11亿,0.37%
2021-07-02,-57.28亿,-3.53%,-25.76亿,-1.59%,-31.53亿,-1.94%,-7.97亿,-0.49%,65.25亿,4.02%
2021-07-07,14.74亿,0.84%,32.74亿,1.86%,-18.00亿,-1.02%,-18.59亿,-1.05%,3.85亿,0.22%
2021-07-06,-63.80亿,-3.48%,-35.94亿,-1.96%,-27.86亿,-1.52%,7.87亿,0.43%,55.93亿,3.05%
2021-07-09,12.08亿,0.59%,40.03亿,1.96%,-27.95亿,-1.37%,-21.22亿,-1.04%,9.14亿,0.45%
2021-07-08,-51.43亿,-2.53%,-30.51亿,-1.50%,-20.92亿,-1.03%,2.15亿,0.11%,49.28亿,2.43%
2021-07-12,-48.47亿,-2.02%,-34.03亿,-1.42%,-14.44亿,-0.60%,17.65亿,0.74%,30.82亿,1.28%
2021-07-13,-43.91亿,-1.96%,-20.11亿,-0.90%,-23.79亿,-1.06%,6656.00万,0.03%,43.24亿,1.93%
2021-07-16,-43.78亿,-1.98%,-14.11亿,-0.64%,-29.67亿,-1.34%,3.14亿,0.14%,40.64亿,1.83%
2021-07-15,-35.83亿,-1.75%,-12.58亿,-0.61%,-23.25亿,-1.13%,-3.26亿,-0.16%,39.09亿,1.91%
2021-07-14,-110.33亿,-5.13%,-61.34亿,-2.85%,-48.99亿,-2.28%,8.76亿,0.41%,101.57亿,4.73%
2021-07-20,-37.49亿,-2.19%,-6.20亿,-0.36%,-31.29亿,-1.83%,-7.17亿,-0.42%,44.66亿,2.61%
2021-07-19,-101.73亿,-4.89%,-64.70亿,-3.11%,-37.03亿,-1.78%,18.72亿,0.90%,83.02亿,3.99%
2021-07-28,-147.52亿,-6.63%,-76.77亿,-3.45%,-70.75亿,-3.18%,14.35亿,0.65%,133.17亿,5.99%
2021-07-27,-159.17亿,-5.96%,-88.50亿,-3.32%,-70.67亿,-2.65%,24.51亿,0.92%,134.66亿,5.04%
2021-07-26,-153.83亿,-6.34%,-92.74亿,-3.82%,-61.09亿,-2.52%,8.22亿,0.34%,145.61亿,6.00%
2021-07-23,-77.62亿,-3.06%,-28.92亿,-1.14%,-48.70亿,-1.92%,3.84亿,0.15%,73.78亿,2.91%
2021-07-22,-57.86亿,-2.64%,-21.01亿,-0.96%,-36.85亿,-1.68%,10.90亿,0.50%,46.96亿,2.14%
2021-07-21,-7.37亿,-0.36%,10.86亿,0.53%,-18.22亿,-0.89%,-2.16亿,-0.11%,9.52亿,0.46%
2021-07-29,25.68亿,1.23%,19.75亿,0.94%,5.93亿,0.28%,-6.77亿,-0.32%,-18.91亿,-0.90%
2021-07-30,-59.70亿,-2.68%,-32.62亿,-1.47%,-27.08亿,-1.22%,18.58亿,0.83%,41.12亿,1.85%
2021-08-02,-6.34亿,-0.25%,-2.41亿,-0.10%,-3.93亿,-0.16%,8359.94万,0.03%,5.50亿,0.22%
2021-08-04,65.07亿,3.01%,52.25亿,2.42%,12.82亿,0.59%,-28.08亿,-1.30%,-36.99亿,-1.71%
2021-08-03,-117.29亿,-4.93%,-72.15亿,-3.04%,-45.13亿,-1.90%,26.93亿,1.13%,90.36亿,3.80%
2021-08-05,-48.34亿,-2.13%,-18.00亿,-0.79%,-30.35亿,-1.34%,-9.23亿,-0.41%,57.57亿,2.54%
2021-08-06,-41.54亿,-1.93%,-16.01亿,-0.74%,-25.53亿,-1.19%,-5415.73万,-0.03%,42.08亿,1.96%
2021-08-09,-48.68亿,-2.31%,-28.88亿,-1.37%,-19.80亿,-0.94%,14.92亿,0.71%,33.75亿,1.60%
2021-08-10,-50.32亿,-2.26%,-13.79亿,-0.62%,-36.53亿,-1.64%,7797.56万,0.04%,49.54亿,2.22%
2021-08-12,-53.62亿,-2.37%,-31.03亿,-1.37%,-22.59亿,-1.00%,12.01亿,0.53%,41.61亿,1.84%
2021-08-11,-6.52亿,-0.29%,7.56亿,0.34%,-14.08亿,-0.64%,-5.25亿,-0.24%,11.77亿,0.53%
2021-08-19,-49.81亿,-2.55%,-20.79亿,-1.07%,-29.02亿,-1.49%,3.37亿,0.17%,46.44亿,2.38%
2021-08-18,-30.40亿,-1.58%,-7.40亿,-0.39%,-23.00亿,-1.20%,-5.66亿,-0.29%,36.06亿,1.88%
2021-08-17,-200.93亿,-8.87%,-111.33亿,-4.91%,-89.60亿,-3.95%,24.88亿,1.10%,176.05亿,7.77%
2021-08-16,-96.59亿,-4.35%,-62.22亿,-2.80%,-34.37亿,-1.55%,5.30亿,0.24%,91.28亿,4.11%
2021-08-13,-74.14亿,-3.34%,-34.47亿,-1.55%,-39.67亿,-1.79%,3793.72万,0.02%,73.76亿,3.32%
2021-08-20,-71.44亿,-3.48%,-25.33亿,-1.23%,-46.11亿,-2.25%,-6.84亿,-0.33%,78.28亿,3.82%
2021-08-23,20.09亿,0.93%,15.04亿,0.70%,5.05亿,0.23%,-19.69亿,-0.91%,-4018.71万,-0.02%
2021-08-24,-19.09亿,-0.81%,4918.60万,0.02%,-19.58亿,-0.83%,-8.47亿,-0.36%,27.56亿,1.17%
2021-08-25,-25.89亿,-1.13%,-10.00亿,-0.44%,-15.90亿,-0.69%,-4.89亿,-0.21%,30.78亿,1.35%
2021-08-26,-58.55亿,-2.29%,-26.58亿,-1.04%,-31.97亿,-1.25%,9739.88万,0.04%,57.57亿,2.25%
2021-08-27,-35.58亿,-1.37%,1.56亿,0.06%,-37.14亿,-1.43%,-14.26亿,-0.55%,49.84亿,1.92%
2021-08-30,-48.57亿,-1.61%,-23.14亿,-0.77%,-25.43亿,-0.84%,-4.54亿,-0.15%,53.11亿,1.76%
2021-09-01,-134.51亿,-4.06%,-98.82亿,-2.99%,-35.69亿,-1.08%,32.34亿,0.98%,102.17亿,3.09%
2021-08-31,-78.73亿,-2.73%,-28.64亿,-0.99%,-50.10亿,-1.74%,-8541.39万,-0.03%,79.59亿,2.76%
2021-09-02,47.30亿,1.74%,60.18亿,2.22%,-12.88亿,-0.47%,-34.05亿,-1.25%,-13.25亿,-0.49%
2021-09-03,-136.60亿,-4.34%,-71.05亿,-2.26%,-65.56亿,-2.08%,16.35亿,0.52%,120.26亿,3.82%
2021-09-06,-23.02亿,-0.84%,-29.09亿,-1.06%,6.07亿,0.22%,4979.10万,0.02%,22.52亿,0.82%
2021-09-08,-41.41亿,-1.44%,-14.76亿,-0.51%,-26.65亿,-0.93%,-6.39亿,-0.22%,47.80亿,1.66%
2021-09-07,13.37亿,0.48%,17.60亿,0.63%,-4.24亿,-0.15%,-24.77亿,-0.88%,11.40亿,0.41%
2021-09-15,-69.74亿,-2.54%,-22.20亿,-0.81%,-47.54亿,-1.73%,2.02亿,0.07%,67.73亿,2.47%
2021-09-14,-164.43亿,-5.37%,-94.48亿,-3.08%,-69.94亿,-2.28%,20.29亿,0.66%,144.14亿,4.70%
2021-09-13,-64.13亿,-2.15%,-27.85亿,-0.93%,-36.28亿,-1.21%,-10.01亿,-0.33%,74.14亿,2.48%
2021-09-10,-95.15亿,-2.95%,-45.81亿,-1.42%,-49.34亿,-1.53%,-225.28万,0.00%,95.17亿,2.95%
2021-09-09,-15.29亿,-0.51%,8.79亿,0.29%,-24.09亿,-0.80%,-15.02亿,-0.50%,30.31亿,1.00%
2021-09-16,-216.50亿,-7.19%,-140.28亿,-4.66%,-76.22亿,-2.53%,46.87亿,1.56%,169.63亿,5.63%
2021-09-23,-42.50亿,-1.59%,-25.27亿,-0.94%,-17.23亿,-0.64%,2.10亿,0.08%,40.41亿,1.51%
2021-09-22,-8.19亿,-0.37%,16.75亿,0.76%,-24.94亿,-1.12%,-12.62亿,-0.57%,20.81亿,0.94%
2021-09-17,-144.35亿,-5.57%,-79.57亿,-3.07%,-64.78亿,-2.50%,24.34亿,0.94%,120.01亿,4.63%
2021-09-27,-214.82亿,-8.42%,-121.19亿,-4.75%,-93.64亿,-3.67%,38.26亿,1.50%,176.56亿,6.92%
2021-09-24,-195.88亿,-7.87%,-118.37亿,-4.75%,-77.51亿,-3.11%,29.88亿,1.20%,166.00亿,6.67%
2021-09-28,-38.78亿,-2.04%,-5.33亿,-0.28%,-33.45亿,-1.76%,-3.60亿,-0.19%,42.38亿,2.23%
2021-09-29,-170.81亿,-8.22%,-85.12亿,-4.10%,-85.69亿,-4.12%,9.78亿,0.47%,161.03亿,7.75%
2021-09-30,10.56亿,0.57%,16.45亿,0.88%,-5.89亿,-0.32%,-6.62亿,-0.36%,-3.95亿,-0.21%
2021-10-08,-73.59亿,-3.63%,-55.56亿,-2.74%,-18.04亿,-0.89%,19.46亿,0.96%,54.14亿,2.67%
2021-10-11,-47.26亿,-2.43%,-16.08亿,-0.83%,-31.18亿,-1.60%,3.77亿,0.19%,43.49亿,2.23%
2021-10-12,-152.04亿,-7.83%,-79.65亿,-4.10%,-72.38亿,-3.73%,14.16亿,0.73%,137.88亿,7.10%
2021-10-15,-19.04亿,-1.01%,1.20亿,0.06%,-20.23亿,-1.07%,-11.50亿,-0.61%,30.53亿,1.62%
2021-10-14,1.14亿,0.07%,8.09亿,0.50%,-6.94亿,-0.43%,-9.77亿,-0.60%,8.63亿,0.53%
2021-10-13,-39.83亿,-2.43%,-15.24亿,-0.93%,-24.59亿,-1.50%,-2.06亿,-0.13%,41.89亿,2.56%
2021-10-18,5.72亿,0.29%,13.27亿,0.68%,-7.55亿,-0.39%,-10.35亿,-0.53%,4.64亿,0.24%
2021-10-20,-29.40亿,-1.58%,-8.42亿,-0.45%,-20.98亿,-1.13%,-4.63亿,-0.25%,34.03亿,1.83%
2021-10-19,-28.14亿,-1.54%,-6.89亿,-0.38%,-21.25亿,-1.16%,6.12亿,0.34%,22.02亿,1.21%
2021-10-21,-69.01亿,-3.74%,-35.63亿,-1.93%,-33.39亿,-1.81%,8.95亿,0.49%,60.07亿,3.26%
2021-10-22,-115.54亿,-6.27%,-62.60亿,-3.40%,-52.94亿,-2.87%,7.47亿,0.41%,108.07亿,5.87%
2021-10-25,23.56亿,1.28%,27.33亿,1.48%,-3.78亿,-0.20%,-20.68亿,-1.12%,-2.88亿,-0.16%
2021-10-26,-56.52亿,-2.76%,-30.20亿,-1.47%,-26.32亿,-1.28%,14.55亿,0.71%,41.97亿,2.05%
2021-10-27,-79.76亿,-3.75%,-29.56亿,-1.39%,-50.21亿,-2.36%,-4.15亿,-0.20%,83.92亿,3.95%
