64,2019-11-26,5.66万,0.70万,0.00万,0.70万,0.00,0.00,0.00,0.00,5.66万
65,2019-11-25,4.96万,1.00万,0.03万,0.98万,0.00,0.00,0.00,0.00,4.96万
66,2019-11-22,3.98万,0.00万,8.97万,-8.97万,0.00,0.00,0.00,0.00,3.98万
67,2019-11-21,12.95万,9.00万,0.00万,9.00万,0.00,0.00,0.00,0.00,12.95万
68,2019-11-20,3.96万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,3.96万
69,2019-11-19,3.96万,0.00万,0.41万,-0.41万,0.00,0.00,0.00,0.00,3.96万
70,2019-11-18,4.36万,0.00万,0.10万,-0.10万,0.00,0.00,0.00,0.00,4.36万
71,2019-11-15,4.46万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.46万
72,2019-11-14,4.46万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.46万
73,2019-11-13,4.46万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.46万
74,2019-11-12,4.46万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.46万
75,2019-11-11,4.46万,0.51万,0.00万,0.51万,0.00,0.00,0.00,0.00,4.46万
76,2019-11-08,3.96万,0.00万,0.51万,-0.51万,0.00,0.00,0.00,0.00,3.96万
77,2019-11-07,4.46万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.46万
78,2019-11-06,4.46万,0.97万,0.00万,0.97万,0.00,0.00,0.00,0.00,4.46万
79,2019-11-05,3.50万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,3.50万
80,2019-11-04,3.50万,1.53万,0.49万,1.03万,0.00,0.00,0.00,0.00,3.50万
81,2019-11-01,2.47万,0.00万,0.79万,-0.79万,0.00,0.00,0.00,0.00,2.47万
82,2019-10-31,3.26万,0.50万,15.61万,-15.11万,0.00,0.00,0.00,0.00,3.26万
83,2019-10-30,18.36万,1.41万,0.00万,1.41万,0.00,0.00,0.00,0.00,18.36万
84,2019-10-29,16.95万,0.20万,18.22万,-18.02万,0.00,0.00,0.00,0.00,16.95万
85,2019-10-28,34.97万,0.51万,13.29万,-12.78万,0.00,0.00,0.00,0.00,34.97万
86,2019-10-25,47.75万,46.16万,839.16万,-792.99万,0.00,0.00,0.00,0.00,47.75万
87,2019-10-24,840.74万,855.29万,64.41万,790.89万,0.00,0.00,0.00,0.00,840.74万
88,2019-10-23,49.86万,49.30万,16.84万,32.46万,0.00,0.00,0.00,0.00,49.86万
89,2019-10-22,17.40万,16.64万,0.09万,16.55万,0.00,0.00,0.00,0.00,17.40万
90,2019-10-21,0.85万,0.00万,0.26万,-0.26万,0.00,0.00,0.00,0.00,0.85万
91,2019-10-18,1.11万,0.21万,0.00万,0.21万,0.00,0.00,0.00,0.00,1.11万
92,2019-10-17,0.90万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.90万
93,2019-10-16,0.90万,0.29万,0.00万,0.29万,0.00,0.00,0.00,0.00,0.90万
94,2019-10-15,0.61万,0.00万,0.01万,-0.01万,0.00,0.00,0.00,0.00,0.61万
95,2019-10-14,0.62万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.62万
96,2019-10-11,0.62万,0.08万,0.00万,0.08万,0.00,0.00,0.00,0.00,0.62万
97,2019-10-10,0.54万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.54万
98,2019-10-09,0.54万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.54万
99,2019-10-08,0.54万,0.00万,0.36万,-0.36万,0.00,0.00,0.00,0.00,0.54万
100,2019-09-30,0.90万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.90万
101,2019-09-27,0.90万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.90万
102,2019-09-26,0.90万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.90万
103,2019-09-25,0.90万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.90万
104,2019-09-24,0.90万,0.00万,16.76万,-16.76万,0.00,0.00,0.00,0.00,0.90万
105,2019-09-23,17.66万,16.76万,0.00万,16.76万,0.00,0.00,0.00,0.00,17.66万
106,2019-09-20,0.90万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,0.90万
107,2019-09-19,0.90万,0.00万,5.30万,-5.30万,0.00,0.00,0.00,0.00,0.90万
108,2019-09-18,6.20万,5.31万,0.00万,5.31万,0.00,0.00,0.00,0.00,6.20万
109,2019-09-17,0.89万,0.00万,0.76万,-0.76万,0.00,0.00,0.00,0.00,0.89万
110,2019-09-16,1.65万,0.97万,1.40万,-0.43万,0.00,0.00,0.00,0.00,1.65万
111,2019-09-12,2.07万,0.97万,0.00万,0.97万,0.00,0.00,0.00,0.00,2.07万
112,2019-09-11,1.10万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,1.10万
113,2019-09-10,1.10万,0.22万,0.00万,0.22万,0.00,0.00,0.00,0.00,1.10万
114,2019-09-09,0.89万,0.00万,0.53万,-0.53万,0.00,0.00,0.00,0.00,0.89万
115,2019-09-06,1.41万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,1.41万
116,2019-09-05,1.41万,6.61万,14.25万,-7.64万,0.00,0.00,0.00,0.00,1.41万
117,2019-09-04,9.05万,2.44万,12.48万,-10.04万,0.00,0.00,0.00,0.00,9.05万
118,2019-09-03,19.09万,5.18万,0.00万,5.18万,0.00,0.00,0.00,0.00,19.09万
119,2019-09-02,13.91万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.91万
120,2019-08-30,13.91万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.91万
121,2019-08-29,13.91万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.91万
122,2019-08-28,13.91万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,13.91万
123,2019-08-27,13.91万,12.48万,3.44万,9.04万,0.00,0.00,0.00,0.00,13.91万
124,2019-08-26,4.87万,0.00万,0.51万,-0.51万,0.00,0.00,0.00,0.00,4.87万
125,2019-08-23,5.38万,0.00万,0.51万,-0.51万,0.00,0.00,0.00,0.00,5.38万
126,2019-08-22,5.89万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.89万
127,2019-08-21,5.89万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.89万
128,2019-08-20,5.89万,0.00万,0.52万,-0.52万,0.00,0.00,0.00,0.00,5.89万
129,2019-08-19,6.41万,0.55万,1.34万,-0.79万,0.00,0.00,0.00,0.00,6.41万
130,2019-08-16,7.20万,0.00万,24.70万,-24.70万,0.00,0.00,0.00,0.00,7.20万
131,2019-08-15,31.90万,24.70万,0.00万,24.70万,0.00,0.00,0.00,0.00,31.90万
132,2019-08-14,7.20万,0.00万,4.96万,-4.96万,0.00,0.00,0.00,0.00,7.20万
133,2019-08-13,12.17万,0.00万,9.05万,-9.05万,0.00,0.00,0.00,0.00,12.17万
134,2019-08-12,21.22万,4.96万,0.00万,4.96万,0.00,0.00,0.00,0.00,21.22万
135,2019-08-09,16.26万,9.05万,0.00万,9.05万,0.00,0.00,0.00,0.00,16.26万
136,2019-08-08,7.20万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,7.20万
137,2019-08-07,7.20万,0.99万,0.00万,0.99万,0.00,0.00,0.00,0.00,7.20万
138,2019-08-06,6.21万,0.99万,0.00万,0.99万,0.00,0.00,0.00,0.00,6.21万
139,2019-08-05,5.22万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.22万
140,2019-08-02,5.22万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.22万
141,2019-08-01,5.22万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.22万
142,2019-07-31,5.22万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.22万
143,2019-07-30,5.22万,0.00万,0.54万,-0.54万,0.00,0.00,0.00,0.00,5.22万
144,2019-07-29,5.76万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,5.76万
145,2019-07-26,5.76万,0.00万,0.25万,-0.25万,0.00,0.00,0.00,0.00,5.76万
146,2019-07-25,6.01万,1.04万,0.00万,1.04万,0.00,0.00,0.00,0.00,6.01万
147,2019-07-24,4.98万,0.83万,0.00万,0.83万,0.00,0.00,0.00,0.00,4.98万
148,2019-07-23,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
149,2019-07-22,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
150,2019-07-19,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
151,2019-07-18,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
152,2019-07-17,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
153,2019-07-16,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
154,2019-07-15,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
155,2019-07-12,4.15万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,4.15万
156,2019-07-11,4.15万,0.00万,2.73万,-2.73万,0.00,0.00,0.00,0.00,4.15万
157,2019-07-10,6.88万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,6.88万
158,2019-07-09,6.88万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,6.88万
159,2019-07-08,6.88万,0.01万,6.84万,-6.83万,0.00,0.00,0.00,0.00,6.88万
160,2019-07-05,13.71万,0.53万,6.50万,-5.97万,0.00,0.00,0.00,0.00,13.71万
161,2019-07-04,19.68万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,19.68万
162,2019-07-03,19.68万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,19.68万
163,2019-07-02,19.68万,2.12万,13.49万,-11.37万,0.00,0.00,0.00,0.00,19.68万
164,2019-07-01,31.05万,10.84万,2.37万,8.47万,0.00,0.00,0.00,0.00,31.05万
165,2019-06-28,22.58万,13.50万,4.98万,8.52万,0.00,0.00,0.00,0.00,22.58万
166,2019-06-27,14.06万,0.00万,18.50万,-18.50万,0.00,0.00,0.00,0.00,14.06万
167,2019-06-26,32.56万,6.49万,7.21万,-0.72万,0.00,0.00,0.00,0.00,32.56万
168,2019-06-25,33.28万,7.20万,9.87万,-2.67万,0.00,0.00,0.00,0.00,33.28万
169,2019-06-24,35.95万,0.52万,2.24万,-1.72万,0.00,0.00,0.00,0.00,35.95万
170,2019-06-21,37.67万,9.49万,7.32万,2.16万,0.00,0.00,0.00,0.00,37.67万
171,2019-06-20,35.51万,56.30万,89.32万,-33.02万,0.00,0.00,0.00,0.00,35.51万
172,2019-06-19,68.53万,16.49万,29.45万,-12.96万,0.00,0.00,0.00,0.00,68.53万
173,2019-06-18,81.49万,15.82万,3.20万,12.62万,0.00,0.00,0.00,0.00,81.49万
174,2019-06-17,68.87万,0.30万,3.48万,-3.18万,0.00,0.00,0.00,0.00,68.87万
175,2019-06-14,72.04万,7.10万,27.44万,-20.33万,0.00,0.00,0.00,0.00,72.04万
176,2019-06-13,92.38万,60.30万,83.64万,-23.34万,0.00,0.00,0.00,0.00,92.38万
177,2019-06-12,115.71万,14.86万,25.25万,-10.40万,0.00,0.00,0.00,0.00,115.71万
178,2019-06-11,126.11万,108.53万,10.25万,98.28万,0.00,0.00,0.00,0.00,126.11万
