49,512380,银华MSCI,628.95万,0.13万,0.07万,0.06万,0.00,0.00,0.00,0.00,628.95万,详细
50,512960,央调ETF,300.94万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,300.94万,详细
51,159916,深F60,4.74万,1.15万,1.15万,0.00万,0.00,0.00,0.00,0.00,4.74万,详细
52,159910,深F120,16.87万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,16.87万,详细
53,515680,创新央企,494.16万,0.00万,0.00万,0.00万,0.00,0.00,0.00,0.00,494.16万,详细
54,159925,南方300,86.05万,0.00万,0.09万,-0.09万,0.00,0.00,0.00,0.00,86.05万,详细
55,512330,信息ETF,587.99万,20.46万,22.07万,-1.61万,0.00,0.00,0.00,0.00,587.99万,详细
56,159968,ZZ500ETF,92.76万,4.54万,8.37万,-3.83万,2312.99,0.00,0.00,0.00,1.60亿,详细
57,515180,100红利,962.05万,2.71万,8.64万,-5.93万,0.00,0.00,0.00,0.00,962.05万,详细
58,510810,上海国企,69.87万,2.83万,10.27万,-7.44万,0.00,0.00,0.00,0.00,69.87万,详细
59,159905,深红利,975.04万,289.76万,302.52万,-12.76万,0.00,0.00,0.00,0.00,975.04万,详细
60,159805,传媒ETF,489.04万,70.90万,87.70万,-16.79万,0.00,0.00,0.00,0.00,489.04万,详细
61,159993,龙头券商,9247.88万,486.15万,504.62万,-18.47万,0.00,0.00,0.00,0.00,9247.88万,详细
62,510350,工银300,19.05万,0.58万,19.52万,-18.94万,0.00,0.00,0.00,0.00,19.05万,详细
63,159940,金融,1052.63万,31.30万,59.09万,-27.78万,0.00,0.00,0.00,0.00,1052.63万,详细
64,510390,平安300,1178.81万,10.04万,38.40万,-28.36万,1075.98,0.19,24.35,-24.16,6687.81万,详细
65,512580,环保ETF,763.34万,23.26万,59.51万,-36.25万,0.00,0.00,0.00,0.00,763.34万,详细
66,159995,芯片ETF,11.11亿,1.79亿,1.79亿,-37.41万,293.00,111.00,1.00,110.00,11.15亿,详细
67,159806,新能车,1940.22万,26.28万,67.18万,-40.89万,0.00,0.00,0.00,0.00,1940.22万,详细
68,515860,科技100,515.28万,11.46万,62.35万,-50.89万,0.00,0.00,0.00,0.00,515.28万,详细
69,510880,红利ETF,3346.45万,34.24万,85.31万,-51.08万,0.00,0.00,0.00,0.00,3346.45万,详细
70,510310,HS300ETF,2.27亿,504.56万,560.36万,-55.79万,16948.45,1500.87,1963.15,-462.28,5.94亿,详细
71,510590,平安500,50.09万,34.86万,92.38万,-57.52万,2323.08,2.93,5.30,-2.37,1.64亿,详细
72,159948,创业板EF,845.40万,84.61万,142.99万,-58.37万,448.55,0.00,0.00,0.00,2134.98万,详细
73,510230,金融ETF,2937.79万,104.89万,171.00万,-66.11万,0.00,0.00,0.00,0.00,2937.79万,详细
74,510580,ZZ500ETF,236.36万,43.24万,113.02万,-69.78万,80.00,0.00,0.00,0.00,809.88万,详细
75,515980,人工智能,1082.61万,33.65万,125.47万,-91.82万,0.00,0.00,0.00,0.00,1082.61万,详细
76,159902,中小板,2248.61万,237.65万,338.85万,-101.20万,469.07,33.15,20.42,12.73,4344.89万,详细
77,512980,传媒ETF,2650.88万,167.23万,284.73万,-117.50万,0.00,0.00,0.00,0.00,2650.88万,详细
78,512290,生物医药,1.72亿,3108.41万,3233.60万,-125.19万,0.00,0.00,0.00,0.00,1.72亿,详细
79,159939,信息技术,1837.64万,112.49万,258.52万,-146.03万,0.00,0.00,0.00,0.00,1837.64万,详细
80,159994,5GETF,6426.52万,285.84万,477.99万,-192.15万,0.00,0.00,0.00,0.00,6426.52万,详细
81,159920,恒生ETF,232.96亿,2.21亿,2.24亿,-283.65万,0.00,0.00,0.00,0.00,232.96亿,详细
82,512710,军工龙头,1.20亿,418.52万,711.03万,-292.51万,0.00,0.00,0.00,0.00,1.20亿,详细
83,515650,消费50,2077.06万,341.41万,659.14万,-317.74万,0.00,0.00,0.00,0.00,2077.06万,详细
84,159901,深100ETF,2.09亿,1322.52万,1643.40万,-320.89万,395.00,6.83,20.57,-13.74,2.36亿,详细
85,159801,芯片基金,6148.50万,560.91万,993.95万,-433.05万,0.00,0.00,0.00,0.00,6148.50万,详细
86,515050,5GETF,5.14亿,3988.18万,4563.10万,-574.92万,26.00,0.00,0.00,0.00,5.14亿,详细
87,159937,博时黄金,179.58亿,1.11亿,1.17亿,-606.12万,0.00,0.00,0.00,0.00,179.58亿,详细
88,512170,医疗ETF,7736.27万,1498.80万,2140.83万,-642.03万,70.50,0.00,0.00,0.00,7889.96万,详细
89,512010,医药ETF,5099.97万,390.69万,1040.07万,-649.38万,33.32,4.99,52.94,-47.95,5195.04万,详细
