日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-10-29,'000852,中证1000,7385.3049,7385.4126,7234.4992,7276.5124,7267.8506,117.4543,1.6161,158534550,2.42992419491e+11
2021-10-28,'000852,中证1000,7267.8506,7422.0984,7253.1052,7395.4877,7433.5459,-165.6953,-2.229,165925078,2.45016892455e+11
2021-10-27,'000852,中证1000,7433.5459,7501.5395,7408.5783,7490.6891,7508.6886,-75.1427,-1.0007,162086332,2.37450353227e+11
2021-10-26,'000852,中证1000,7508.6886,7583.1259,7492.3915,7547.751,7532.3726,-23.684,-0.3144,161427463,2.47127097235e+11
2021-10-25,'000852,中证1000,7532.3726,7532.3726,7417.1991,7438.4267,7438.4806,93.892,1.2622,150472175,2.2935270807e+11
2021-10-22,'000852,中证1000,7438.4806,7530.5768,7436.1447,7506.8715,7503.5343,-65.0537,-0.867,167656958,2.34923341446e+11
2021-10-21,'000852,中证1000,7503.5343,7548.819,7481.4388,7520.9275,7523.5614,-20.0271,-0.2662,158742478,2.31495317501e+11
2021-10-20,'000852,中证1000,7523.5614,7560.8476,7456.812,7467.3394,7504.0545,19.5069,0.26,155743734,2.3324318457e+11
2021-10-19,'000852,中证1000,7504.0545,7506.093,7408.1219,7420.4762,7429.6256,74.4289,1.0018,152408117,2.1845395443e+11
2021-10-18,'000852,中证1000,7429.6256,7429.6256,7322.697,7344.5733,7350.4129,79.2127,1.0777,144948204,2.1071446024e+11
2021-10-15,'000852,中证1000,7350.4129,7374.3354,7288.2799,7321.5793,7342.2544,8.1585,0.1111,145334937,2.05628057598e+11
2021-10-14,'000852,中证1000,7342.2544,7362.4629,7256.9844,7276.5078,7289.3627,52.8917,0.7256,128930725,1.8077491736e+11
2021-10-13,'000852,中证1000,7289.3627,7297.2977,7147.0115,7213.005,7208.473,80.8897,1.1221,131191523,1.81326973999e+11
2021-10-12,'000852,中证1000,7208.473,7376.7257,7125.5352,7366.1615,7384.8436,-176.3706,-2.3883,156643677,2.10114885163e+11
2021-10-11,'000852,中证1000,7384.8436,7442.3502,7346.8586,7441.6243,7425.6688,-40.8252,-0.5498,150601221,2.06333884117e+11
2021-10-08,'000852,中证1000,7425.6688,7514.2444,7382.015,7501.2411,7405.4623,20.2065,0.2729,159460337,2.20528170938e+11
2021-09-30,'000852,中证1000,7405.4623,7411.2831,7237.5385,7237.5385,7199.1794,206.2829,2.8654,146442233,1.99724657604e+11
2021-09-29,'000852,中证1000,7199.1794,7413.7976,7199.1111,7409.9607,7468.7328,-269.5534,-3.6091,172550145,2.2798870979e+11
2021-09-28,'000852,中证1000,7468.7328,7496.3277,7409.3714,7428.4052,7467.8178,0.915,0.0123,158064850,2.20715356034e+11
2021-09-27,'000852,中证1000,7467.8178,7733.2093,7399.8127,7717.1034,7695.6176,-227.7998,-2.9601,213183646,2.91997510924e+11
2021-09-24,'000852,中证1000,7695.6176,7806.8145,7685.1061,7799.9245,7806.8018,-111.1842,-1.4242,206463409,2.86416524871e+11
2021-09-23,'000852,中证1000,7806.8018,7850.2414,7792.5921,7818.7256,7769.0601,37.7417,0.4858,212400135,2.94020855222e+11
2021-09-22,'000852,中证1000,7769.0601,7774.5051,7633.2787,7640.472,7730.2239,38.8362,0.5024,182733915,2.52891873966e+11
2021-09-17,'000852,中证1000,7730.2239,7786.1863,7575.0786,7740.559,7754.9469,-24.723,-0.3188,214238032,3.02870263383e+11
2021-09-16,'000852,中证1000,7754.9469,7993.222,7749.6579,7974.0826,7972.2325,-217.2856,-2.7255,236666551,3.35038218299e+11
2021-09-15,'000852,中证1000,7972.2325,7988.3699,7862.3113,7900.6932,7916.896,55.3365,0.699,213453916,3.15047723282e+11
2021-09-14,'000852,中证1000,7916.896,8042.5163,7895.1824,7927.8945,7947.4812,-30.5852,-0.3848,243225554,3.53788173973e+11
2021-09-13,'000852,中证1000,7947.4812,7955.9832,7874.9975,7941.2086,7932.6512,14.83,0.1869,230685196,3.31165025672e+11
2021-09-10,'000852,中证1000,7932.6512,7954.4817,7832.9599,7897.3313,7900.2375,32.4137,0.4103,240016301,3.350091042e+11
2021-09-09,'000852,中证1000,7900.2375,7922.4116,7835.1506,7888.8263,7894.2516,5.9859,0.0758,238201734,3.18584828295e+11
2021-09-08,'000852,中证1000,7894.2516,7911.0175,7854.888,7886.269,7878.3488,15.9028,0.2019,254321788,3.3380540338e+11
2021-09-07,'000852,中证1000,7878.3488,7881.8694,7718.5933,7735.221,7735.0996,143.2492,1.8519,228559607,3.14304834649e+11
2021-09-06,'000852,中证1000,7735.0996,7735.5516,7552.9478,7625.7443,7630.8413,104.2583,1.3663,227954100,3.14079151637e+11
2021-09-03,'000852,中证1000,7630.8413,7766.4645,7561.2285,7696.4637,7690.8589,-60.0176,-0.7804,267044514,3.57957527858e+11
2021-09-02,'000852,中证1000,7690.8589,7703.7244,7568.0652,7572.0465,7606.8742,83.9847,1.1041,226086526,3.07631326161e+11
2021-09-01,'000852,中证1000,7606.8742,7743.1788,7495.7642,7738.2681,7728.4217,-121.5475,-1.5727,267723537,3.72375967438e+11
