day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return
2017-12-05,6.71,6.75,6.49,6.52,4352900,6.79,6.74,0.7067518820577163,1,0.0,672802.7738326946,696214.6486442464,True,6.74,0.0044709388971684305
2017-12-21,6.53,6.57,6.47,6.51,3566521,6.62,6.55,0.6547455168097307,1,0.0,739523.8957464335,470857.5065087615,True,6.87,0.05206738131699851
2018-01-02,6.57,6.65,6.56,6.64,3021888,6.53,6.56,0.5616709775275384,0,0.0,475354.1397872513,455975.6031192756,True,6.87,0.04566210045662089
2018-01-23,6.48,6.55,6.45,6.49,4985926,6.44,6.47,0.6310991697496948,0,0.0,782528.2790381861,431047.7589742235,True,6.57,0.01388888888888884
2018-05-02,5.76,5.79,5.59,5.66,3195400,5.8,5.76,0.7125523214371847,1,1.0,539242.0143657385,528678.0501870002,True,5.83,0.012152777777777901
2018-05-21,5.77,5.82,5.77,5.81,3288577,5.69,5.75,1.1473714659964491,0,1.0,716067.1167509547,350574.2954852014,True,5.84,0.012131715771230622
2018-07-11,4.91,4.95,4.8,4.88,4570800,4.92,4.95,1.2709679983703563,1,1.0,1270522.1272884312,362175.0225571784,True,5.1,0.038696537678207577
2018-08-23,4.83,4.84,4.76,4.8,1214720,4.83,4.79,0.6479717813051147,0,0.0,640874.1204077684,817622.539923822,True,4.96,0.0269151138716357
2018-08-27,4.84,4.88,4.82,4.87,2170399,4.79,4.81,1.0363845338287314,0,0.0,533653.7463650301,657514.3849778415,True,4.96,0.024793388429751984
2018-09-03,4.82,4.84,4.79,4.84,1662210,4.84,4.82,0.5776480637813213,0,2.0,326994.51949387154,433105.16214777174,True,4.96,0.029045643153526868
2018-09-04,4.85,4.95,4.84,4.91,2797033,4.82,4.84,0.6827193916532808,0,2.0,657059.3600636285,433105.16214777174,True,4.96,0.022680412371134162
2018-09-17,4.88,4.9,4.83,4.89,1677633,4.86,4.86,0.6191805810249975,0,0.0,278155.6863125988,200890.74816794586,True,5.1,0.04508196721311464
2018-12-03,4.73,4.76,4.67,4.74,6268110,4.59,4.61,0.5508175792528596,0,0.0,870847.4496611796,991737.2190316421,True,4.78,0.010570824524312794
2018-12-13,4.64,4.71,4.61,4.67,3920907,4.64,4.63,1.508256780962129,0,1.0,1038321.2384260085,895105.402769774,True,4.66,0.004310344827586299
2019-01-03,4.29,4.35,4.28,4.3,2598295,4.34,4.28,0.6767520650490448,0,1.0,467140.1306944425,699729.4747274198,True,4.59,0.06993006993006978
2019-01-04,4.28,4.42,4.25,4.4,4044669,4.29,4.3,0.5566627346009594,0,1.0,1043146.1275880358,699729.4747274198,True,4.59,0.07242990654205594
2019-01-28,4.5,4.55,4.46,4.47,3279880,4.51,4.48,0.5221979857984871,1,0.0,541964.353659177,465967.20021750056,True,4.66,0.03555555555555556
2019-06-11,5.1,5.21,5.1,5.2,7452136,5.06,5.1,0.8298622570050131,0,1.0,1352671.9321998758,1472650.2215849913,True,5.21,0.021568627450980538
2019-07-17,4.78,4.82,4.76,4.79,2528200,4.78,4.79,0.5791094352444583,0,0.0,916503.4221372829,1103024.0878444687,True,4.97,0.039748953974895196
2019-07-22,4.74,4.76,4.6,4.62,3471430,4.72,4.73,0.9415645248342379,0,0.0,736143.3928334621,819912.4270219665,True,4.97,0.048523206751054815
2019-10-14,4.43,4.46,4.4,4.41,2760400,4.38,4.37,0.5454036502071438,0,0.0,594737.1126049464,565972.2166878928,True,4.43,0.0
2019-10-28,4.29,4.42,4.28,4.37,4936530,4.27,4.29,2.201628400635328,0,0.0,1477460.9607871054,482579.561039267,True,4.47,0.04195804195804187
2019-11-11,4.33,4.33,4.09,4.19,3083789,4.34,4.33,0.992007524154098,1,1.0,709582.077903935,369842.6961778348,True,4.22,-0.025404157043879994
2020-02-17,3.86,4.06,3.84,4.01,12891670,3.89,3.85,0.9101976672528884,0,1.0,3082839.759777626,1220881.363444036,True,4.11,0.06476683937823835
2020-04-28,3.93,3.95,3.7,3.84,4292822,3.95,3.93,1.6993787335722819,1,2.0,1012931.8588082978,452479.18108982575,True,4.13,0.05089058524173029
