day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-02-02,16.65,16.95,16.27,16.61,2599605,17.51,16.48,0,3.0,0.5427398031888286,17.2,0.033033033033033066,18.25
2018-07-06,13.84,14.0,13.52,13.74,868800,13.9,13.73,0,3.0,0.2689286311215109,14.16,0.023121387283236983,14.056000000000001
2018-08-07,12.94,13.25,12.77,13.21,1212200,13.42,12.87,0,3.0,0.9248631298506829,13.35,0.0316846986089645,13.712
2019-05-28,14.5,15.09,14.28,14.66,4851658,14.78,14.59,0,3.0,1.8508165979518552,14.77,0.018620689655172384,15.446
2019-07-22,15.06,15.11,14.3,14.35,2638171,15.1,15.05,1,3.0,0.2694199228145242,15.03,-0.0019920318725100694,14.464
2020-05-25,15.38,15.59,15.24,15.43,2730140,15.9,15.44,1,3.0,0.2649035793527261,16.42,0.06762028608582571,15.952
2020-08-27,16.53,16.88,16.43,16.81,3246157,16.78,16.52,0,3.0,0.4296803089682397,19.59,0.18511796733212327,16.988
2020-11-27,22.89,23.0,22.4,22.78,10515521,23.84,22.6,0,3.0,0.24103306709614336,24.27,0.0602883355176933,19.474
2021-04-13,27.28,27.5,26.26,27.23,6531821,29.55,27.17,0,3.0,1.139935051964136,30.33,0.11180351906158337,28.632
2021-10-18,29.0,29.78,29.0,29.55,4811530,29.45,28.99,0,3.0,0.3592981883490549,37.63,0.2975862068965518,31.42
2022-03-08,31.61,31.79,29.7,30.0,4757218,33.0,31.49,1,3.0,0.5728209957469332,34.16,0.08067067383739324,33.196
2022-04-26,31.93,32.55,31.0,31.46,4674142,32.24,31.46,0,3.0,0.23196517536087868,38.23,0.19730660820544932,31.78
