day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return
2017-08-02,25.8,25.85,24.93,25.02,8557886,26.04,25.74,1,3.0,0.44610036049913604,26.99,0.07873701039168668
2018-04-23,20.65,20.92,19.92,20.08,8793414,21.0,20.94,1,3.0,0.3092036119990835,20.4,0.015936254980079667
2018-10-11,10.11,10.31,9.61,9.67,5814765,10.75,10.61,1,3.0,1.3718390347469085,9.66,-0.0010341261633919352
2019-01-24,9.99,10.08,9.96,10.01,2581594,10.02,10.02,1,3.0,0.34440865618710115,9.64,-0.03696303696303693
2019-01-25,9.3,9.6,9.3,9.45,10022639,9.99,10.01,1,3.0,2.8823451712391646,9.79,0.035978835978836
2019-07-22,16.57,16.57,15.5,15.55,10156891,16.69,16.56,1,3.0,0.5301682299196973,16.41,0.05530546623794219
2019-08-02,15.34,15.47,15.0,15.26,7133505,16.15,15.7,1,3.0,0.3214765774530892,16.28,0.06684141546526878
2020-01-23,14.9,15.4,14.56,14.59,5968681,15.06,14.91,1,3.0,0.31268516634868626,13.13,-0.10006854009595612
2020-02-04,11.82,12.5,11.82,12.38,11452010,13.13,13.13,1,3.0,10.950339142231034,12.99,0.04927302100161546
2020-10-20,28.5,28.59,27.67,28.59,10932206,28.66,28.69,1,3.0,0.3329567342248725,28.46,-0.0045470444211261896
2021-04-26,25.0,25.22,23.73,23.73,16666442,25.21,24.88,1,3.0,1.4455785886512666,23.96,0.009692372524231052
2021-05-06,19.97,21.49,19.16,20.6,18140585,22.5,21.25,1,3.0,0.21154932593212328,20.5,-0.004854368932038944
2021-11-29,19.5,19.67,19.33,19.43,5702165,19.8,19.74,1,3.0,0.4126007675189507,20.2,0.03962943901183724
2022-03-08,19.12,19.2,18.19,18.22,9913912,19.47,19.2,1,3.0,0.8566793386686964,18.4,0.009879253567508295
2022-03-09,18.21,18.4,16.44,17.29,12919350,19.12,18.22,1,3.0,0.30315358861365715,17.98,0.03990746096009268
