day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,high_max,pre_close,postive_return,chg1,chg,chg_max,vol_chg,vol_chg_max,vol_chg_comp
2019-10-11,3.73,3.78,3.68,3.77,16219578,32933199.0,25700.0,7267925.0,0.016172506738544534,16219578.0,115155773.0,0.1201329258955008,4.03,3.71,0.08042895442359255,0.01072386058981234,0.016172506738544534,0.03631284916201105,2.483338559545815,0.5531381419537074,4.489544963893753
2020-02-05,3.13,3.22,3.1,3.18,8506440,58703400.0,14900.0,1872262.0,0.01273885350318471,8506440.0,150830953.0,0.06965169620705539,3.34,3.14,0.06709265175718859,0.015974440894568787,0.01273885350318471,0.10112359550561789,2.469413373220838,0.6544608022539937,3.7732028636643515
2020-08-12,3.58,3.65,3.52,3.61,31056162,87590368.0,1743689.0,19931457.0,0.016901408450704203,31056162.0,454267729.0,0.1790202270180107,3.64,3.55,0.016759776536312776,0.008379888268156277,0.016901408450704203,0.03603603603603611,1.7856538906662238,0.7510403501815592,2.377573841717763
2020-11-03,3.36,3.44,3.33,3.4,15374990,90881697.0,3273645.0,6029138.0,0.002949852507374562,15374990.0,478541584.0,0.11584617783176607,4.65,3.39,0.3839285714285716,0.011904761904761862,0.002949852507374562,0.052795031055900665,1.5872396894466259,0.5360429772349009,2.9610306577173513
2021-03-03,3.83,3.98,3.82,3.96,29494898,212190188.0,163739.0,9841840.0,0.03394255874673635,29494898.0,893040384.0,0.0855588216629438,4.39,3.83,0.14621409921671003,0.03394255874673635,0.03394255874673635,0.04166666666666663,0.7241971808803842,0.3425889206180047,2.113895509446093
2021-08-26,6.49,7.03,6.44,7.03,122643660,450677897.0,111400.0,78960671.0,0.10015649452269182,122643660.0,1830380836.0,0.09559344823671556,6.67,6.39,0.027734976887519247,0.08320493066255774,0.10015649452269182,0.05970149253731338,0.4759314617462471,0.18412403651288511,2.5848415598521877
2021-09-08,6.29,6.59,6.22,6.58,72724741,456151104.0,121900.0,46362272.0,0.04113924050632911,72724741.0,1777992011.0,0.09953215180192934,8.48,6.32,0.34817170111287754,0.04610492845786962,0.04113924050632911,0.06040268456375841,1.327819083089803,0.4609544262383928,2.880586469090747
2021-11-01,5.27,5.43,5.25,5.35,34273422,378147761.0,43700.0,8875578.0,0.011342155009451682,34273422.0,1912921561.0,0.048495106745599155,5.49,5.29,0.041745730550284854,0.015180265654648917,0.011342155009451682,0.0345423143350605,0.6142512534685423,0.20449353433132123,3.003768581129465
2021-11-30,5.22,5.6,5.1,5.46,117330680,405385491.0,166200.0,55066921.0,0.032136105860113506,117330680.0,2115014901.0,0.08772541359094264,5.63,5.29,0.07854406130268199,0.04597701149425282,0.032136105860113506,0.0730223123732252,2.768448139514773,0.2026064576029737,13.664165359130882
2022-02-25,4.65,4.77,4.65,4.71,18863523,334016886.0,217400.0,6344444.0,0.017278617710583255,18863523.0,2010113351.0,0.07140849094056577,5.14,4.63,0.10537634408602137,0.012903225806451424,0.017278617710583255,0.02494802494802484,1.0768422504052615,0.24668275046471522,4.365292053768023
2022-05-06,4.5,4.72,4.44,4.58,92244832,300215107.0,262100.0,17524739.0,0.017777777777777892,92244832.0,2242796601.0,0.041480505130891625,,4.5,,0.017777777777777892,0.017777777777777892,0.10024449877750619,1.0689762733893122,0.3548327849720061,3.0126197991362247
