,count,mean,std,min,25%,50%,75%,max,mv_tatal,mv_on_trade
000001,20.0,0.030661598804091417,0.0285787237932362,-0.006606606606606613,0.009552584045646684,0.024492470512598508,0.047258886830394864,0.08614232209737827,2877.8976539579,2877.8388903798
000002,18.0,0.028818247487155533,0.022385550163347576,-0.0012371134020618957,0.011636513518216485,0.025791718141214393,0.0431182028445824,0.0724637681159419,2133.2578936598,1783.1710611970002
000006,8.0,0.019506558847176336,0.029284588580497622,-0.00391389432485334,0.0035338142818562845,0.012533104637315384,0.017553743766063556,0.08839779005524862,58.859785808000005,58.859785808000005
000008,12.0,0.01593899910398644,0.009401357188929161,0.0028571428571428914,0.010817845947156235,0.01716980459740325,0.019901990199019892,0.0338164251207731,67.5733287642,65.4626025668
000009,10.0,0.0511816443683488,0.05791813843169225,0.0050675675675675436,0.018571454917654995,0.02264153730990459,0.05595421344713997,0.1773255813953487,307.70023389560004,304.3856454395
000012,7.0,0.04277090545176976,0.041757744324106734,-0.01132686084142387,0.02894656963004183,0.031890660592255315,0.0472888716890264,0.1263616557734204,189.46170534470002,120.7213731795
000016,17.0,0.033742396951506506,0.03389847458700335,-0.0024999999999999467,0.011551155115511635,0.021406727828746197,0.04451038575667643,0.10120068610634636,125.69474524549999,83.3411751103
000021,14.0,0.014176691098493002,0.008648884211910604,0.0029325513196480912,0.007865231096035874,0.01287025254249563,0.01888308359621438,0.03285870755750264,168.5434624806,168.4814503915
000025,10.0,0.031045728340144997,0.029315090864961955,-0.03526280771789747,0.01935531651905653,0.03581220942204111,0.04461406936980933,0.07267115600448926,54.1409268008,49.332958640200005
000027,7.0,0.019367382976290592,0.01719223444646539,0.007194244604316502,0.009270425082906208,0.014059753954305698,0.019858113024496693,0.056060606060606144,289.2493032632,289.2493032632
000028,15.0,0.02251294171483633,0.015106242286255825,-0.0014792899408284654,0.014769013635120842,0.01793248945147674,0.03113375189148948,0.0579004329004329,122.016190155,104.804083125
000030,12.0,0.04157101360742852,0.03604039196187743,-0.0039215686274509665,0.02332676739678291,0.03343339230267872,0.04980500789592257,0.11663807890222988,99.2182560281,96.5092934235
000031,13.0,0.01789065207812995,0.011895725245219561,0.002962962962962834,0.008310249307479367,0.014962593516209655,0.02686567164179099,0.03712871287128716,164.5944285386,72.604737974
000034,10.0,0.042558139657531545,0.049213010508128506,-0.020159151193634095,0.012399612612890576,0.028047725556487824,0.05692932280507912,0.15015277171540808,98.9764853952,80.7337803906
000035,6.0,0.029214985454035558,0.02078392847475014,0.011261261261261257,0.017539943609022557,0.023498013902681136,0.03017005958291963,0.069084628670121,112.0557134309,108.9285360982
000036,11.0,0.030167492969786058,0.04887862560671703,0.0,0.0011235955056179137,0.006821282401091366,0.026731562083863958,0.14386792452830166,60.5445070878,60.37074915270001
000039,15.0,0.021941916644508494,0.02537635416941557,-0.008113590263691739,0.006195226220163885,0.020242914979757165,0.02630747420919588,0.08999158957106812,475.2608061977,202.8306868785
000040,14.0,0.021301302857077185,0.024269555816358153,-0.019035532994923776,0.0058835248720744415,0.020809253616335677,0.030051728779662334,0.0657439446366781,45.6470268164,32.5524578611
000046,13.0,0.03575298212745511,0.03166716478814741,0.004444444444444251,0.012448132780082943,0.024875621890547484,0.04790419161676662,0.09900990099009888,80.5411076903,80.50075809149999
000049,13.0,0.027429829994608676,0.03361044646329663,-0.022118380062305376,0.005328098710039475,0.020418084589207464,0.04504257072232898,0.09670164917541246,113.30280000629999,112.6179303369
000050,10.0,0.0192963486984399,0.024576819944020882,-0.02477596204533472,0.006379056047197684,0.014521914093255206,0.03473280575363574,0.06321839080459779,227.83321942540002,220.23423073330002
000059,15.0,0.02740381695550078,0.018866775334622974,0.0036674816625918982,0.014592046178957596,0.020676691729323293,0.03900771133420622,0.0597938144329897,100.44499467940001,100.44499467940001
000060,7.0,0.021568353462280365,0.009323835576264223,0.009661835748792313,0.013763876387638763,0.024193548387096753,0.028457799381352178,0.03267973856209161,157.316925602,157.3027026022
000061,9.0,0.02543179639366043,0.027047653758234303,0.004842615012106588,0.008130081300812941,0.017738359201773912,0.030947775628626717,0.09168443496801704,111.8299388223,111.82813480969999
000062,7.0,0.0197303377256132,0.014656873518103318,-0.005145797598627877,0.01540853564003386,0.018324607329842868,0.027226808712983552,0.03966286564204258,124.7769853065,124.6151715543
000063,22.0,0.0014249646348215017,0.0381486564595955,-0.09980525803310614,0.003049499695295832,0.010091874076791907,0.02227768364313082,0.0515706806282723,1104.9260584088001,908.5405901517
000066,16.0,0.03020904585235002,0.056462197830905496,-0.10014104372355426,0.006427557127549388,0.02559117936293953,0.04859048256408033,0.13732833957553048,317.41863508299997,289.2946943885
000069,12.0,0.036517792249935954,0.03302741806792699,0.006818181818181612,0.01745109598102801,0.02649389305995531,0.046879949318973824,0.12811387900355875,469.14259473,403.57770946089994
000070,14.0,0.03897251659981985,0.0341784833667984,0.004950495049504955,0.017024568763963244,0.026158728949842835,0.05453506793993329,0.12048192771084332,46.02965264310001,45.3820259503
000078,8.0,0.018495042755358765,0.014004880373974049,0.006329113924050667,0.00768545118760583,0.014519140989729173,0.02217083991277541,0.043902439024390505,104.2565793909,99.3434616798
000088,11.0,0.029023519139187236,0.02863391202397387,-0.01526717557251911,0.00812924391546499,0.024216524216524427,0.04462562904885037,0.08023255813953489,111.3335021866,111.3335021866
000089,22.0,0.020251105722226822,0.03383502395864922,-0.00754310344827569,0.0019250716190852835,0.005764533382484949,0.027268288721168377,0.1327014218009479,129.4035548444,129.4018444559
000090,4.0,0.027819781049058856,0.013990387321001458,0.016014234875444844,0.01627628599158848,0.02550855085508552,0.0370520459125559,0.04424778761061954,133.601000313,133.5867473598
000099,8.0,0.009603411845319695,0.00968625193697762,-0.013062409288824406,0.010886670744592208,0.012466677459392339,0.01343764249885998,0.018292682926829285,56.4760676012,51.703663390900005
000100,8.0,0.038111120976965396,0.03510901773421422,0.0,0.009652594547053639,0.038500244187595234,0.05235259767836903,0.106280193236715,627.1696867812,599.8258492117
000150,14.0,0.033608395968960834,0.051083809293427825,-0.04972375690607744,0.0022783035401331975,0.023825178406496117,0.06190476190476191,0.15714285714285725,13.9553914493,12.8152451168
000151,5.0,0.02311847174969679,0.02135692289618208,0.0022650056625141968,0.00837320574162681,0.015748031496062964,0.03473684210526318,0.0544692737430168,38.0554172175,30.066158765900003
