day,open,high,low,close,volume,vol_chg,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum,high_max,positive_return
2019-01-15,7.3,7.38,7.2,7.33,10750215,0.03162040429498658,151,0,5,0,5.0,0.008253094910591452,150,0,1,0,1.0,8.17,0.11917808219178094
2019-01-16,7.33,7.55,7.32,7.53,11741487,0.0922095046471163,152,0,6,0,6.0,0.027285129604365688,151,0,2,0,2.0,8.17,0.11459754433833558
2019-03-12,8.9,9.49,8.89,9.37,59888628,1.0831779233318697,170,0,5,0,5.0,0.08574739281575883,173,0,2,0,2.0,9.77,0.09775280898876404
2019-03-19,8.92,9.05,8.77,8.92,11556367,-0.1889394534035388,0,177,0,5,-5.0,-0.0022371364653243075,0,157,0,1,-1.0,9.36,0.049327354260089606
2019-05-31,7.92,8.2,7.85,8.11,9127361,0.5032975050893016,194,0,5,0,5.0,0.029187817258883086,195,0,6,0,6.0,8.17,0.031565656565656575
2019-07-26,7.77,7.82,7.71,7.8,3916539,-0.16182546240386453,0,225,0,5,-5.0,0.0038610038610038533,214,0,1,0,1.0,8.26,0.06306306306306309
2019-12-17,7.37,7.66,7.35,7.58,18748866,0.618499314362223,258,0,5,0,5.0,0.032697547683923744,258,0,3,0,3.0,7.84,0.06377204884667576
2019-12-24,7.41,7.48,7.38,7.46,6124735,-0.24275074009635844,0,278,0,5,-5.0,0.006747638326585648,261,0,1,0,1.0,7.99,0.07827260458839413
2020-02-04,6.32,6.88,6.32,6.78,19052535,0.5347418106238817,272,0,5,0,5.0,0.05607476635514019,274,0,1,0,1.0,7.77,0.22943037974683533
2020-02-05,6.78,7.06,6.71,6.95,19201398,0.007813290987262356,273,0,6,0,6.0,0.025073746312684442,275,0,2,0,2.0,7.77,0.14601769911504414
2020-02-06,7.04,7.54,7.04,7.54,29384745,0.5303440405745456,274,0,7,0,7.0,0.08489208633093526,276,0,3,0,3.0,7.77,0.10369318181818166
2020-02-07,7.71,7.77,7.22,7.32,32437960,0.10390476418971817,275,0,8,0,8.0,-0.02917771883289122,0,260,0,1,-1.0,7.49,-0.02853437094682232
2020-06-17,6.83,6.94,6.77,6.93,10705900,0.18061115338384015,317,0,5,0,5.0,0.01167883211678844,322,0,4,0,4.0,7.06,0.03367496339677878
2020-09-17,7.09,7.17,7.09,7.14,4273071,-0.16921616954941077,0,373,0,5,-5.0,0.0014025245441795509,353,0,1,0,1.0,7.38,0.04090267983074747
2021-12-23,7.73,7.8,7.67,7.77,12433513,-0.13790568607236042,0,537,0,5,-5.0,0.003875968992248069,498,0,2,0,2.0,8.6,0.11254851228978002
2022-02-09,7.83,8.1,7.73,8.09,12700163,0.06498014550293174,500,0,5,0,5.0,0.03851091142490359,511,0,4,0,4.0,8.44,0.07790549169859506
2022-02-16,7.96,8.05,7.9,7.93,8137107,-0.08415984278865551,0,554,0,5,-5.0,-0.002515723270440362,0,490,0,4,-4.0,8.44,0.06030150753768848
2022-03-11,7.8,8.16,7.59,8.15,21011598,0.054021490972322894,509,0,5,0,5.0,0.03689567430025442,519,0,2,0,2.0,8.33,0.06794871794871793
2022-04-19,7.52,7.75,7.51,7.75,8809906,-0.1983566226413257,0,578,0,5,-5.0,0.026490066225165476,531,0,1,0,1.0,7.82,0.039893617021276695
2022-04-20,7.73,7.82,7.57,7.62,7455734,-0.1537101530935744,0,579,0,6,-6.0,-0.01677419354838705,0,514,0,1,-1.0,7.7,-0.0038809831824062613
