day,open,high,low,close,volume,lev_buy,lev_sell,rzmr,incre,vol_,vol_sum,lev_ratio,lev_ratio_max,lev_ratio_is_max,high_max,positive_return,vol_chg
2017-12-05,8.82,8.98,8.4,8.5,21989652,757510819,120000,33056031,-0.047085201793722,-21989652.0,-118535693.0,0.1729866443758094,0.25003343466374367,1.0,9.79,0.040000000000000036,0.36901168815492813
2018-02-07,8.29,8.31,7.45,7.91,16243952,697046367,120000,17711913,-0.018610421836228297,-16243952.0,-97311449.0,0.1383717888006239,0.2463869782024372,1.0,10.65,0.04235294117647048,2.5305243809918814
2018-11-02,6.25,6.41,6.25,6.37,9298053,394779164,107361,11012240,0.029079159935379684,9298053.0,305508380.0,0.18710265077528931,0.2629061475193001,1.0,6.41,0.06472081218274117,0.5915030851897036
2019-01-08,7.35,7.48,7.34,7.43,12888046,454719493,366900,20064023,0.006775067750677488,12888046.0,595456236.0,0.21009355581179165,0.29655454582809826,1.0,7.58,0.0779392338177014,0.21774727126740245
2019-02-20,8.08,8.17,7.92,8.01,25730780,467171811,88900,41879615,-0.0219780219780219,-25730780.0,683408709.0,0.20231294897997182,0.30740664222904707,1.0,8.28,0.028473804100227706,0.9426228861280548
2019-04-18,11.69,11.77,11.33,11.44,72249208,912757175,285100,169038908,-0.03459915611814346,-72249208.0,1448425502.0,0.20256835604403148,0.30078708471788307,1.0,12.35,0.3872832369942196,0.31194798702541426
2019-10-30,8.24,8.5,8.12,8.16,15003769,440006795,22500,23231108,-0.018050541516245522,-15003769.0,1477058889.0,0.18632388498400312,0.18632388498400312,1.0,8.7,0.07040572792362765,0.8602914816997138
2019-11-01,8.36,8.97,8.3,8.89,46051721,454909210,120300,54043018,0.057074910820451796,46051721.0,1552577367.0,0.1359037333404828,0.18632388498400312,1.0,8.97,0.05418138987043575,0.9639569897403779
2020-06-18,8.55,8.61,8.51,8.56,6651950,367832642,2000,8783772,0.0011695906432749315,6651950.0,1912011655.0,0.15426177117763165,0.2173374484621046,1.0,8.73,0.03591470258136931,0.2448162860683003
2021-03-19,9.58,9.78,9.45,9.47,11760470,371645222,13100,16607123,-0.019668737060041352,-11760470.0,2275857800.0,0.14686571883566016,0.25501612062456125,1.0,10.3,0.02966507177033506,0.4969203843002905
2022-02-09,8.05,8.15,8.05,8.09,4154701,262982940,2300,3041955,0.0012376237623761277,4154701.0,2452691908.0,0.09039158293220136,0.20579312450621715,1.0,8.38,0.00589622641509413,0.36243594252949607
