,count,mean,std,min,25%,50%,75%,max,mv_tatal,mv_on_trade
000001,15.0,0.053487984893277024,0.03319804216027719,0.00860759493670904,0.03638977712684899,0.044673539518900185,0.06114819495032087,0.14472777394900072,2877.8976539579,2877.8388903798
000002,12.0,0.06645921552083173,0.03296481877244621,0.03157147924796022,0.04225683232407024,0.0595890688781624,0.07757644224155547,0.1360638667129468,2133.2578936598,1783.1710611970002
000006,11.0,0.05277291053626098,0.0289388291342586,0.014598540145985162,0.03446079553733106,0.042592592592592515,0.06812987736900777,0.116083916083916,58.859785808000005,58.859785808000005
000008,9.0,0.04835539086594235,0.03883749764523772,0.011111111111111072,0.018382352941176405,0.04807692307692313,0.05985037406483795,0.13247863247863245,67.5733287642,65.4626025668
000009,10.0,0.10723990407008765,0.050214216841256105,0.015555555555555545,0.085329905404875,0.10702767473580888,0.12252100462181104,0.1957671957671958,307.70023389560004,304.3856454395
000012,7.0,0.05442476565905431,0.022899310241242213,0.009615384615384581,0.049429008551211684,0.057613168724279795,0.06906165184705704,0.07676348547717837,189.46170534470002,120.7213731795
000016,5.0,0.09715026734517349,0.04498249153131717,0.04044943820224711,0.06074766355140171,0.1071428571428572,0.13864818024263448,0.13876319758672695,125.69474524549999,83.3411751103
000021,6.0,0.06526933704467823,0.03845835312390879,0.01969365426695835,0.04562454430532448,0.0604816322918853,0.07313500060122813,0.13293413173652713,168.5434624806,168.4814503915
000025,11.0,0.09645875096931172,0.07636350936870381,0.0019430051813471572,0.039751946030098684,0.07801950487621889,0.14373386786753806,0.22272470322215931,54.1409268008,49.332958640200005
000027,11.0,0.07259823000367618,0.06715279312700288,0.014897579143389184,0.03266946191474496,0.042402826855123754,0.101847645009844,0.22912621359223295,289.2493032632,289.2493032632
000028,13.0,0.04749492615622637,0.045060158305445304,0.008083832335329388,0.024164889836531644,0.03604505632040045,0.05134699516463259,0.18124769287559994,122.016190155,104.804083125
000030,11.0,0.08474849378931579,0.07302916687427284,0.017094017094017255,0.03840442290519053,0.06991869918699178,0.0998098426362416,0.27902946273830165,99.2182560281,96.5092934235
000031,12.0,0.0687419594655508,0.029552904059367165,0.024347826086956514,0.042814579786410845,0.07429792429792437,0.09698892918495888,0.1092896174863387,164.5944285386,72.604737974
000034,7.0,0.07784388204304338,0.0319547539352633,0.03796867584243002,0.06075581395348828,0.07500864154856557,0.0877713920817369,0.1348754448398577,98.9764853952,80.7337803906
000035,8.0,0.07067044114043011,0.04209646109690161,0.025210084033613578,0.03928154047101318,0.06892698446086298,0.0830350573064117,0.1581108829568787,112.0557134309,108.9285360982
000036,9.0,0.05356343488904786,0.04073288917518379,0.010638297872340496,0.02130325814536338,0.045698924731182755,0.05464480874316924,0.1382575757575757,60.5445070878,60.37074915270001
000039,11.0,0.08318408328751271,0.0690050951072284,0.0092592592592593,0.03300359991654944,0.04898266767143933,0.15225824345534889,0.18208955223880596,475.2608061977,202.8306868785
000040,8.0,0.09934794060976432,0.047831408777431104,0.03813559322033888,0.05940520446096659,0.09323692851730236,0.142701124746065,0.15923566878980888,45.6470268164,32.5524578611
000046,12.0,0.051440279527918076,0.055448978056737624,0.007361963190184007,0.01942831367316611,0.03163112917945743,0.05345883624572151,0.2046263345195729,80.5411076903,80.50075809149999
000049,11.0,0.05035756424694638,0.02886061646838453,0.015518028297581088,0.025056934525208407,0.043800253914515475,0.07521892462859492,0.09602552944589515,113.30280000629999,112.6179303369
000050,9.0,0.04298323033485923,0.04449481499358019,0.0031847133757962887,0.00905660377358486,0.033507073715562274,0.05784061696658105,0.14537444933920707,227.83321942540002,220.23423073330002
000059,15.0,0.07636430878551316,0.08385410057336237,0.01553398058252431,0.02355456156721014,0.041543026706231556,0.08543139038555725,0.30307262569832405,100.44499467940001,100.44499467940001
000060,12.0,0.04211120834145077,0.023469548343732202,0.013861386138613874,0.019752905427017853,0.03916908467422853,0.058242981962358276,0.08474576271186463,157.316925602,157.3027026022
000061,11.0,0.0960302663922375,0.08134782366383747,0.005181347150259086,0.029414846011320606,0.05950413223140494,0.16937071144817628,0.21748400852878458,111.8299388223,111.82813480969999
000062,14.0,0.09400815277166867,0.087575482621289,0.007628294036061023,0.04434627153294313,0.06079294438669436,0.11338999788169907,0.3002502085070893,124.7769853065,124.6151715543
000063,14.0,0.0819089125559259,0.04045036890135628,0.02985074626865658,0.05420706610314624,0.07680665026949551,0.09250348701111727,0.17480916030534366,1104.9260584088001,908.5405901517
000066,7.0,0.06534872279753283,0.02794766617062599,0.025439127801332395,0.04817276650459845,0.06749311294765836,0.08250350588378763,0.10315627405696692,317.41863508299997,289.2946943885
000069,13.0,0.058742226165637415,0.04458410919582482,0.004566210045662045,0.026912181303116123,0.04881450488145034,0.07274969173859436,0.1681818181818182,469.14259473,403.57770946089994
000070,10.0,0.08883617882754033,0.0785340122876626,0.024107142857142883,0.034548331882368555,0.0653514123253297,0.09904743287650974,0.2772727272727271,46.02965264310001,45.3820259503
000078,7.0,0.07486579884040603,0.0863958824068823,0.01969365426695835,0.030635085892764202,0.052795031055900665,0.06160037878787883,0.2671009771986972,104.2565793909,99.3434616798
000088,10.0,0.10309142814295247,0.07889447666152921,0.00547195622435015,0.050896182495344555,0.08061926378179085,0.1550964187327823,0.25,111.3335021866,111.3335021866
000089,12.0,0.04047285127171374,0.04888829343033848,0.0029940119760480943,0.008823208637801283,0.014904698581560294,0.05233867658457464,0.14891304347826106,129.4035548444,129.4018444559
000090,12.0,0.07073384676186867,0.05956192416130124,0.011217948717948678,0.021394437131574406,0.05822293175752957,0.08881248667403235,0.19847328244274798,133.601000313,133.5867473598
000099,7.0,0.03533791195823177,0.016596302652876097,0.010540184453228019,0.026661606904189172,0.032983508245876925,0.04493745642185176,0.060643564356435586,56.4760676012,51.703663390900005
000100,13.0,0.06768613354600594,0.053486566278182934,0.012396694214876103,0.0239043824701195,0.062130177514792884,0.08292682926829298,0.2101806239737274,627.1696867812,599.8258492117
000150,6.0,0.09373001549597386,0.03029048236318335,0.054441260744985565,0.0777596910963051,0.09061622683885451,0.10565996724427285,0.1425576519916143,13.9553914493,12.8152451168
000151,14.0,0.10600956541719415,0.0933170424145583,0.0286885245901638,0.05244336569579289,0.07774430180770231,0.12146321376281116,0.39187574671445646,38.0554172175,30.066158765900003
000155,0.0,,,,,,,,265.5192311801,228.4729970932
000156,8.0,0.05993938950470812,0.05197572745351609,0.011627906976744207,0.03221345466268111,0.043205215892839655,0.0682381086405855,0.1518105849582172,138.7846356648,117.2226242318
000157,16.0,0.05186567894495185,0.029660155337679423,0.020000000000000018,0.027425842131724443,0.04435435435435431,0.066504243087873,0.1063829787234043,510.26595340800003,415.48722804690004
000158,3.0,0.13337007966294756,0.13997642522012688,0.011290322580645107,0.05698130756317765,0.1026722925457102,0.1944099582040988,0.2861476238624874,90.96129233959999,89.734078419
000159,6.0,0.09508235907848916,0.07768702194230064,0.011111111111111072,0.04524620346913644,0.0729915057246383,0.13750646987781728,0.21839080459770122,27.8317188113,27.8317188113
000166,6.0,0.11854034375221538,0.0692546662021642,0.013422818791946511,0.08302277432712213,0.1310166886253843,0.1495538430779395,0.2130281690140845,1014.1178024399001,912.6880892811
000301,6.0,0.06605572041920553,0.044523091776987704,0.013944223107569709,0.043304671511506465,0.0634843577036791,0.07079892699546902,0.1456061577934573,952.6307888858,774.5639459724
000333,17.0,0.03467883808219311,0.024686563380348744,0.0010016694490817546,0.017664670658682713,0.030478955007256836,0.05542857142857138,0.07567495677616698,3800.099819897,3717.2102458633003
000338,17.0,0.04875392057152845,0.03696801805252794,0.01403887688984895,0.024767801857585203,0.04190844616376532,0.05322128851540597,0.15875754961173416,1021.0071314124001,590.8222047403
000400,14.0,0.06696103863901923,0.037847117523733605,0.010781671159029615,0.03474533061399748,0.07941853078026595,0.0951134710944127,0.12421052631578955,187.2463782041,187.2332118886
000401,11.0,0.06810904124492483,0.03666694663935784,0.008759124087591275,0.050156190381650534,0.057653061224489655,0.08287089003518766,0.13717188823031323,288.94777212400004,153.63329368590001
000402,12.0,0.07095344289480188,0.10048511306360025,0.01109570041608876,0.021359932070704524,0.03716760781622097,0.070243106511161,0.3758992805755397,182.92250688779998,182.8551335839
000403,10.0,0.13369721920083966,0.19496658086567994,0.016200294550809957,0.03391757182489308,0.08146808153521956,0.12611456357090567,0.6731483504478915,142.4894317897,117.1865961442
000404,9.0,0.04077410849422794,0.02237752140592345,0.012224938875305513,0.030181086519114775,0.036800000000000166,0.04714640198511155,0.07674943566591419,31.389420245900002,31.379083009699997
000413,15.0,0.08935532729906118,0.13127483301014198,0.025641025641025772,0.03099239695878353,0.049469964664311084,0.06237962446551404,0.5451713395638629,99.6996730052,86.095747255
000415,8.0,0.06530773519897598,0.07753289179033604,0.010204081632653184,0.01936090225563908,0.035991630984819056,0.07048895507570119,0.24137931034482762,131.7303103842,85.0371101138
000417,11.0,0.0652940335052259,0.05691389115845494,0.009876543209876631,0.03813158851326792,0.04815864022662897,0.07131786676934915,0.20942408376963328,37.0444995,37.0038039225
