day,open,high,low,close,volume,pre_open,pre_close,vol_chg,down,down_cnt,volatility,vol_0.1,vol_test,high_max,positive_return,vol_increase,vol_decrease,vol_inc,vol_dec,vol_colsum,close_chg,close_increase,close_decrease,close_inc,close_dec,close_colsum
2018-01-19,16.71,17.36,16.52,16.66,24071806,17.05,16.98,-0.20210811946385954,1,2.0,14600693.260808432,565277.9288942441,False,17.38,0.04009575104727703,0,41,0,5,-5,-0.018845700824499434,0,36,0,1,-1
2018-05-23,23.87,24.01,23.21,23.52,5849163,23.77,23.77,-0.22185930400320875,0,1.0,2255538.125994473,2034603.8657675334,True,23.89,0.0008378718056136769,0,80,0,5,-5,-0.010517458981909922,0,71,0,1,-1
2019-01-17,13.74,13.82,12.51,13.65,2784004,13.65,13.74,0.07356741233991482,0,1.0,374834.7112963447,244982.4191851856,False,14.95,0.08806404657933031,149,0,5,0,5,-0.0065502183406113135,0,161,0,1,-1
2019-05-13,14.25,14.36,14.15,14.28,1548950,14.2,14.47,-0.5454765534331714,0,1.0,1188231.512902439,572946.375382136,False,14.44,0.013333333333333197,0,200,0,5,-5,-0.013130615065653162,0,197,0,1,-1
2020-02-13,16.55,16.64,15.81,15.99,27819925,15.94,16.46,-0.1762751625002965,0,2.0,14598219.48996592,910869.178594229,False,18.75,0.13293051359516617,0,303,0,5,-5,-0.028554070473876147,0,284,0,1,-1
2020-02-14,16.0,16.19,15.48,15.64,22986391,16.55,15.99,-0.17374360283142387,1,1.0,12431338.604458574,944041.4963683579,False,18.75,0.171875,0,304,0,6,-6,-0.021888680425265816,0,285,0,2,-2
2020-06-04,24.11,25.16,24.08,24.81,36868509,24.08,24.07,-0.09537784898799428,0,0.0,20625388.406960476,2908468.1494262205,False,31.98,0.3264205723766074,0,344,0,5,-5,0.030743664312422148,311,0,2,0,2
2020-06-05,24.97,24.97,23.65,24.21,31197307,24.11,24.81,-0.15382238538585868,0,0.0,9857228.2057,2908468.1494262205,False,31.98,0.2807368842611133,0,345,0,6,-6,-0.024183796856106277,0,318,0,1,-1
2020-06-08,24.51,24.84,23.9,24.35,24776109,24.97,24.21,-0.20582539383928233,0,0.0,8059068.875072655,2908468.1494262205,False,31.98,0.3047735618115055,0,346,0,7,-7,0.0057827344072698406,312,0,1,0,1
2020-07-21,31.0,32.3,30.7,31.9,26072789,31.4,30.94,-0.05335730657369575,0,2.0,21628902.57476419,5358979.571380987,False,35.26,0.1374193548387097,0,362,0,5,-5,0.031027795733677976,329,0,2,0,2
2020-07-22,31.89,32.62,31.3,31.76,23206902,31.0,31.9,-0.10991869722874681,0,1.0,9720843.407122865,5358979.571380987,False,35.26,0.10567576042646598,0,363,0,6,-6,-0.004388714733542187,0,331,0,1,-1
2020-08-10,32.52,32.69,31.5,32.16,16051097,32.84,32.53,-0.14714468145294513,1,1.0,8652132.02182846,5441624.514977693,False,33.33,0.024907749077490715,0,371,0,5,-5,-0.011374116200430495,0,338,0,3,-3
2021-08-10,20.46,20.54,20.16,20.35,15245045,20.21,20.44,-0.058462424578399896,0,2.0,6578132.817002299,1989094.9978632089,False,21.12,0.032258064516129004,0,511,0,5,-5,-0.0044031311154598685,0,470,0,1,-1
