day,open,high,low,close,volume,pre_open,pre_close,down,down_cnt,vol_chg,high_max,positive_return,quant
2018-01-22,48.08,48.08,43.24,46.18,4098388,50.11,48.03,1,3.0,1.0893183135526212,46.68,0.010827197921178033,49.796
2018-09-10,54.78,55.79,54.2,54.33,1951985,55.78,54.78,1,3.0,0.5166290484866614,55.06,0.013436407141542484,53.336
2018-12-06,53.01,53.1,51.3,52.2,918759,53.06,53.7,1,3.0,0.515036434723388,53.76,0.029885057471264354,49.932
2018-12-19,49.52,49.97,47.81,47.81,983275,49.6,49.6,1,3.0,1.1200181110596046,49.53,0.03597573729345327,51.0
2019-01-04,49.05,50.0,48.15,49.3,665486,49.45,49.48,1,3.0,0.3524186550314894,50.98,0.034077079107505126,49.576
2019-09-25,49.85,51.06,47.15,47.78,9286293,50.3,50.06,1,3.0,0.6980957460989923,48.16,0.007953118459606445,46.3
2020-02-28,48.17,48.88,46.05,46.62,7308265,51.33,50.23,1,3.0,0.20446741002091096,49.5,0.061776061776061875,45.698
2020-05-26,32.66,34.13,32.66,33.75,6037356,46.0,45.82,1,3.0,1.3058542787555,33.65,-0.002962962962963056,45.82
2020-09-24,33.2,33.2,31.9,31.92,4495579,33.78,33.27,1,3.0,0.46911705835352624,33.84,0.06015037593984962,33.758
2020-11-02,32.06,32.06,29.8,31.2,7810655,32.91,32.02,1,3.0,0.9573795667211229,31.74,0.017307692307692246,33.047999999999995
2020-11-23,32.06,32.06,31.49,31.7,3450700,32.2,32.15,1,3.0,1.4868995806280272,31.98,0.00883280757097804,31.682
2021-05-10,26.4,26.45,25.38,25.46,4202305,26.76,26.42,1,3.0,0.7806309213227576,25.66,0.00785545954438338,26.7
2022-01-07,33.0,33.65,32.3,33.02,5562339,33.05,33.12,1,3.0,0.6306077674581951,33.49,0.014233797698364636,28.758
2022-03-03,30.07,30.28,29.1,29.23,3012734,30.58,30.05,1,3.0,0.6029145506734379,30.2,0.03318508381799523,31.048
2022-04-25,20.35,20.48,19.21,19.21,3265363,20.77,20.58,1,3.0,0.21067522585017762,20.47,0.06559083810515354,21.689999999999998
2022-04-26,19.23,19.55,18.81,18.85,4035178,20.35,19.21,1,3.0,0.23575173724942688,20.68,0.09708222811671074,21.634
