,count,mean,std,min,25%,50%,75%,max,mv_tatal,mv_on_trade
000001,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,2877.8976539579,2877.8388903798
000002,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,2133.2578936598,1783.1710611970002
000006,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,58.859785808000005,58.859785808000005
000008,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,67.5733287642,65.4626025668
000009,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,307.70023389560004,304.3856454395
000012,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,189.46170534470002,120.7213731795
000016,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,125.69474524549999,83.3411751103
000021,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,168.5434624806,168.4814503915
000025,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,54.1409268008,49.332958640200005
000027,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,289.2493032632,289.2493032632
000028,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,122.016190155,104.804083125
000030,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,99.2182560281,96.5092934235
000031,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,164.5944285386,72.604737974
000034,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,98.9764853952,80.7337803906
000035,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,112.0557134309,108.9285360982
000036,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,60.5445070878,60.37074915270001
000039,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,475.2608061977,202.8306868785
000040,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,45.6470268164,32.5524578611
000046,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,80.5411076903,80.50075809149999
000049,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,113.30280000629999,112.6179303369
000050,12.0,0.11085925658740553,0.06104465793710213,0.037634408602150504,0.07115563839701777,0.1043045705279747,0.15087452471482898,0.22222222222222232,227.83321942540002,220.23423073330002
