,count,mean,std,min,25%,50%,75%,max,总市值,流通市值
000001,6.0,0.08134562272692998,0.033009532006452756,0.03333333333333344,0.06240762436914199,0.08143074581430743,0.10749919015225157,0.1196236559139785,2877.8976539579,2877.8388903798
000002,2.0,0.03818326301250635,0.07063709502409961,-0.01176470588235301,0.01320927856507667,0.03818326301250635,0.06315724745993603,0.08813123190736571,2133.2578936598,1783.1710611970002
000006,17.0,0.0700167705599522,0.10685121830416311,-0.011702127659574568,0.0017985611510793476,0.05306122448979589,0.06832298136645965,0.3712374581939797,58.859785808000005,58.859785808000005
000008,21.0,0.0748842915332305,0.11974133930623847,-0.060518731988472685,0.011764705882353121,0.03476482617586907,0.08709677419354844,0.48559670781892983,67.5733287642,65.4626025668
000009,9.0,0.12553360979914246,0.1178561803898662,-0.004132231404958553,0.07239819004524883,0.09687034277198214,0.1442263806481059,0.3902439024390243,307.70023389560004,304.3856454395
000012,27.0,0.07351464040876245,0.07299205410297871,-0.014056224899598457,0.0143897203606832,0.043939393939393945,0.11477006405916368,0.2189638318670577,189.46170534470002,120.7213731795
000016,18.0,0.07574919066568195,0.06528185904423395,-0.0034843205574913716,0.01640174951994877,0.0707950631458093,0.12100102728692924,0.2406779661016949,125.69474524549999,83.3411751103
000021,17.0,0.10200364097788586,0.08076193262983125,0.012274368231046884,0.03512396694214881,0.07657657657657668,0.17368694747789903,0.24109867751780256,168.5434624806,168.4814503915
000025,20.0,0.04868225416823076,0.06900663664833262,-0.04329004329004327,0.013896228711273495,0.027287360180148545,0.05576145552560646,0.22301474084640982,54.1409268008,49.332958640200005
000027,9.0,0.09048075616069912,0.12333075657634854,-0.014084507042253502,0.008928571428571619,0.03897685749086466,0.08135593220338966,0.35354691075514877,289.2493032632,289.2493032632
000028,16.0,0.05803594004254565,0.053951679681662604,-0.007085267529929107,0.01889562965786845,0.047201022195423104,0.07688301497680988,0.16542713567839185,122.016190155,104.804083125
000030,12.0,0.07658798602953167,0.0860054803445779,0.0,0.022511427225312686,0.04029567475776663,0.10235597735597751,0.2754919499105546,99.2182560281,96.5092934235
000031,19.0,0.09574221464730417,0.09250360869561679,-0.015358361774744145,0.030233090300792242,0.0604651162790697,0.16786567458578072,0.2902584493041749,164.5944285386,72.604737974
000034,16.0,0.10679386974333568,0.08937377683204448,0.006760563380281637,0.015694341514451315,0.09393530473662803,0.17889186659860473,0.2890295358649788,98.9764853952,80.7337803906
000035,14.0,0.1061519382264136,0.1098797348650041,0.0038461538461538325,0.028587519711646803,0.07147870726227379,0.14046480572068587,0.39490445859872625,112.0557134309,108.9285360982
000036,24.0,0.07134223920678807,0.05916802144061398,-0.0021276595744680327,0.02601948122643949,0.059026522001205395,0.10645012137325172,0.21965317919075145,60.5445070878,60.37074915270001
000039,10.0,0.0643098063264134,0.046425208687059835,0.0010172939979653517,0.040737364847875324,0.04861126682661765,0.0913864006514658,0.1607142857142858,475.2608061977,202.8306868785
000040,20.0,0.0732858369473249,0.08061878281122399,-0.0678899082568808,0.03694448500095476,0.04845130479276816,0.08983208955223876,0.28358208955223874,45.6470268164,32.5524578611
000046,15.0,0.084337034987707,0.10238427665772616,-0.04166666666666685,0.037794117647058756,0.05747126436781613,0.09288858624258067,0.4012738853503184,80.5411076903,80.50075809149999
